index,County,Precinct,Registered Voters,Kristie King (I) (Rep)_Election Day Votes,Kristie King (I) (Rep)_Advanced Voting Votes,Kristie King (I) (Rep)_Absentee by Mail Votes,Kristie King (I) (Rep)_Provisional Votes,Kristie King (I) (Rep)_Choice Total,Total,
0,Fayette,Blackrock,2699,162,705,385,9,1261,1261,
1,Fayette,Brooks,2567,557,1035,387,1,1980,1980,
2,Fayette,Europe,3310,168,804,424,9,1405,1405,
3,Fayette,Fayetteville East,2147,152,622,289,4,1067,1067,
4,Fayette,Fayetteville West,2362,180,741,341,0,1262,1262,
5,Fayette,Flint,1732,180,479,211,0,870,870,
6,Fayette,Hopeful,2309,247,649,261,0,1157,1157,
7,Fayette,Morning Creek,3059,197,937,540,1,1675,1675,
8,Fayette,Rareover,3045,184,1510,288,3,1985,1985,
9,Fayette,Sandy Creek,4848,243,1646,480,5,2374,2374,
10,Fayette,Shakerag East,1689,228,603,188,2,1021,1021,
11,Fayette,Shakerag West,1236,65,573,186,1,825,825,
12,Fayette,Starrsmill,3572,449,1281,487,0,2217,2217,
13,Fayette,Whitewater,3564,357,1552,538,9,2456,2456,
14,Fayette,Woolsey,2542,351,1049,441,0,1841,1841,
15,Fayette,McIntosh,3323,239,1413,474,2,2128,2128,
16,Fayette,Oak Grove,1344,156,551,158,1,866,866,
17,Fayette,Kedron,4862,445,1861,613,2,2921,2921,
18,Fayette,Aberdeen,1805,163,765,216,0,1144,1144,
19,Fayette,Windgate,1011,144,421,109,2,676,676,
20,Fayette,Flat Creek,2117,232,707,279,3,1221,1221,
21,Fayette,Braelinn,1876,210,870,265,2,1347,1347,
22,Fayette,Kenwood,1014,105,236,131,0,472,472,
23,Fayette,Banks,1624,193,426,263,0,882,882,
24,Fayette,Harps Crossing,1646,181,620,256,2,1059,1059,
25,Fayette,Willow Pond,3100,286,1061,448,8,1803,1803,
26,Fayette,Dogwood,3092,286,1297,449,3,2035,2035,
27,Fayette,Oak Ridge,2225,212,620,356,3,1191,1191,
28,Fayette,Jeff Davis,2876,153,781,360,5,1299,1299,
29,Fayette,Murphy,3224,220,1119,517,4,1860,1860,
30,Fayette,Fielding Ridge,3497,329,1546,420,0,2295,2295,
31,Fayette,Willowbend,2007,178,874,230,0,1282,1282,
32,Fayette,Camp Creek,1895,183,841,258,2,1284,1284,
33,Fayette,Rising Star,3833,424,1972,479,2,2877,2877,
34,Fayette,Spring Hill,3299,189,1139,428,1,1757,1757,
35,Fayette,Antioch,1956,320,612,273,1,1206,1206,
