index,County,Precinct,Registered Voters,Dave Roberson (Rep)_Election Day Votes,Dave Roberson (Rep)_Advanced Voting Votes,Dave Roberson (Rep)_Absentee by Mail Votes,Dave Roberson (Rep)_Provisional Votes,Dave Roberson (Rep)_Choice Total,Total,
0,Floyd,Alto Park,3360,391,1334,405,10,2140,2140,
1,Floyd,Armuchee,1269,302,434,130,2,868,868,
2,Floyd,Barkers,2355,427,1010,231,6,1674,1674,
3,Floyd,Cave Spring,1617,460,371,180,2,1013,1013,
4,Floyd,Chulio,1155,298,366,118,10,792,792,
5,Floyd,Etowah,4946,655,2171,564,9,3399,3399,
6,Floyd,Everett Springs,421,190,77,38,4,309,309,
7,Floyd,Floyd Springs,1666,433,623,160,23,1239,1239,
8,Floyd,Fosters Mill,971,296,294,83,0,673,673,
9,Floyd,Garden Lakes,2261,277,759,252,6,1294,1294,
10,Floyd,Glenwood,3635,586,1210,366,1,2163,2163,
11,Floyd,Howell,1492,436,445,136,1,1018,1018,
12,Floyd,East Lindale,3398,495,1278,368,2,2143,2143,
13,Floyd,Mt Alto North,5096,429,1649,555,9,2642,2642,
14,Floyd,Mt Alto South,3923,469,1245,407,5,2126,2126,
15,Floyd,North Carolina,1865,294,628,162,4,1088,1088,
16,Floyd,Riverside,826,176,255,64,4,499,499,
17,Floyd,East Rome,4238,389,1233,456,4,2082,2082,
18,Floyd,North Rome,3369,248,933,487,7,1675,1675,
19,Floyd,South Rome,1600,139,297,143,5,584,584,
20,Floyd,Texas Valley,762,273,232,79,7,591,591,
21,Floyd,Vanns Valley,896,165,230,101,3,499,499,
22,Floyd,Watters,3566,710,1320,339,10,2379,2379,
23,Floyd,West Lindale,2929,538,959,261,0,1758,1758,
24,Floyd,Town Rome,3034,265,939,359,2,1565,1565,
