index,County,Precinct,Registered Voters,Lee Hawkins (I) (Rep)_Election Day Votes,Lee Hawkins (I) (Rep)_Advanced Voting Votes,Lee Hawkins (I) (Rep)_Absentee by Mail Votes,Lee Hawkins (I) (Rep)_Provisional Votes,Lee Hawkins (I) (Rep)_Choice Total,Total,
0,Hall,Tadmore,0,291,788,300,0,1379,1379,
1,Hall,Glade,0,179,601,140,0,920,920,
2,Hall,Lula,0,594,1303,337,9,2243,2243,
3,Hall,Clermont,0,443,1764,369,1,2577,2577,
4,Hall,Quillians,0,246,1486,326,1,2059,2059,
5,Hall,Bark Camp,0,533,2538,724,3,3798,3798,
6,Hall,Chestatee,0,535,1526,534,2,2597,2597,
7,Hall,Fork,0,560,1284,470,0,2314,2314,
8,Hall,Whelchel,0,224,1106,285,0,1615,1615,
9,Hall,Gainesville III,0,162,331,127,0,620,620,
10,Hall,Gillsville,0,335,392,94,2,823,823,
11,Hall,Big Hickory,0,402,1923,495,1,2821,2821,
