index,County,Precinct,Registered Voters,Linda Dixon Thompson (I) (Dem)_Election Day Votes,Linda Dixon Thompson (I) (Dem)_Advanced Voting Votes,Linda Dixon Thompson (I) (Dem)_Absentee by Mail Votes,Linda Dixon Thompson (I) (Dem)_Provisional Votes,Linda Dixon Thompson (I) (Dem)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,109,383,206,0,698,698,
1,Liberty,Lyman Hall School,4542,379,1168,661,0,2208,2208,
2,Liberty,Lewis Frasier School,4317,298,1469,708,0,2475,2475,
3,Liberty,Memorial Dr East,1976,147,498,307,2,954,954,
4,Liberty,Button Gwinnett,2304,127,202,126,0,455,455,
5,Liberty,Town of Allenhurst,2398,212,850,378,0,1440,1440,
6,Liberty,Hinesville,1984,135,563,277,0,975,975,
7,Liberty,Liberty County Complex,4379,266,1518,613,0,2397,2397,
8,Liberty,Walthourville,3016,220,963,387,0,1570,1570,
9,Liberty,Fleming West,505,57,153,99,0,309,309,
10,Liberty,Fleming East,3239,308,911,332,0,1551,1551,
11,Liberty,Gum Branch,3193,267,800,379,0,1446,1446,
12,Liberty,Hinesville Lodge 271,2646,243,731,412,0,1386,1386,
