,Precinct,County,Registered Voters,Jerry A. Mancil (I) (Rep)_Election Day Votes,Jerry A. Mancil (I) (Rep)_Advanced Voting Votes,Jerry A. Mancil (I) (Rep)_Absentee by Mail Votes,Jerry A. Mancil (I) (Rep)_Provisional Votes,Jerry A. Mancil (I) (Rep)_Choice Total,Regina H. Johnson (Dem)_Election Day Votes,Regina H. Johnson (Dem)_Advanced Voting Votes,Regina H. Johnson (Dem)_Absentee by Mail Votes,Regina H. Johnson (Dem)_Provisional Votes,Regina H. Johnson (Dem)_Choice Total,Total,calc_participation
0,Sterling Elementary,Glynn,4578.0,401.0,1492.0,357.0,1.0,2251.0,108.0,339.0,258.0,1.0,706.0,2957.0,64.6
17,Howard Coffin Park,Glynn,3320.0,140.0,353.0,119.0,0.0,612.0,184.0,567.0,386.0,2.0,1139.0,1751.0,52.7
16,College Place UMC,Glynn,2367.0,90.0,341.0,122.0,0.0,553.0,142.0,397.0,291.0,1.0,831.0,1384.0,58.5
15,The Chapel,Glynn,2971.0,131.0,398.0,135.0,0.0,664.0,119.0,483.0,337.0,2.0,941.0,1605.0,54.0
14,Northside Baptist,Glynn,3313.0,173.0,433.0,167.0,0.0,773.0,202.0,599.0,379.0,2.0,1182.0,1955.0,59.0
13,Ballard,Glynn,3286.0,189.0,797.0,265.0,4.0,1255.0,129.0,359.0,194.0,1.0,683.0,1938.0,59.0
12,C B Greer School,Glynn,3288.0,309.0,945.0,262.0,1.0,1517.0,81.0,359.0,258.0,1.0,699.0,2216.0,67.4
11,Career Academy,Glynn,2960.0,302.0,847.0,251.0,3.0,1403.0,81.0,280.0,192.0,0.0,553.0,1956.0,66.1
10,SE Baptist Bldg,Glynn,2109.0,207.0,564.0,126.0,1.0,898.0,73.0,195.0,108.0,1.0,377.0,1275.0,60.5
9,Sterling Church of God,Glynn,3925.0,374.0,1092.0,239.0,3.0,1708.0,125.0,442.0,238.0,1.0,806.0,2514.0,64.1
8,Jekyll Island,Glynn,774.0,199.0,79.0,70.0,2.0,350.0,75.0,62.0,118.0,0.0,255.0,605.0,78.2
7,First Baptist,Glynn,4316.0,279.0,1612.0,445.0,1.0,2337.0,84.0,534.0,367.0,1.0,986.0,3323.0,77.0
6,St William Catholic Church,Glynn,4333.0,279.0,1735.0,432.0,1.0,2447.0,46.0,558.0,375.0,1.0,980.0,3427.0,79.1
5,Hampton River,Glynn,2823.0,205.0,1164.0,348.0,2.0,1719.0,33.0,281.0,267.0,0.0,581.0,2300.0,81.5
4,Christian Renewal,Glynn,3699.0,262.0,1421.0,445.0,3.0,2131.0,64.0,435.0,317.0,1.0,817.0,2948.0,79.7
3,Blythe Island Baptist,Glynn,2529.0,265.0,954.0,219.0,2.0,1440.0,47.0,174.0,94.0,0.0,315.0,1755.0,69.4
2,Satilla Marshes,Glynn,2824.0,302.0,906.0,226.0,0.0,1434.0,89.0,290.0,198.0,0.0,577.0,2011.0,71.2
1,Brookman,Glynn,3460.0,398.0,1081.0,205.0,2.0,1686.0,85.0,359.0,214.0,2.0,660.0,2346.0,67.8
18,Urbana-Perry Parks,Glynn,3638.0,47.0,81.0,45.0,1.0,174.0,298.0,724.0,511.0,2.0,1535.0,1709.0,47.0
19,Selden Park,Glynn,1439.0,43.0,110.0,31.0,1.0,185.0,86.0,203.0,161.0,1.0,451.0,636.0,44.2
