,Precinct,County,Registered Voters,Helen Minchew (I)_Election Day Votes,Helen Minchew (I)_Advanced Voting Votes,Helen Minchew (I)_Absentee by Mail Votes,Helen Minchew (I)_Provisional Votes,Helen Minchew (I)_Choice Total,Christopher Mulliens_Election Day Votes,Christopher Mulliens_Advanced Voting Votes,Christopher Mulliens_Absentee by Mail Votes,Christopher Mulliens_Provisional Votes,Christopher Mulliens_Choice Total,Lori Myles_Election Day Votes,Lori Myles_Advanced Voting Votes,Lori Myles_Absentee by Mail Votes,Lori Myles_Provisional Votes,Lori Myles_Choice Total,Total,calc_participation
0,301,Richmond,2409.0,284.0,529.0,352.0,1.0,1166.0,47.0,79.0,69.0,0.0,195.0,48.0,111.0,78.0,0.0,237.0,1598.0,66.3
20,706,Richmond,3315.0,209.0,766.0,455.0,0.0,1430.0,48.0,159.0,94.0,1.0,302.0,65.0,197.0,101.0,0.0,363.0,2095.0,63.2
21,707,Richmond,2122.0,173.0,329.0,158.0,0.0,660.0,58.0,82.0,61.0,0.0,201.0,97.0,163.0,59.0,0.0,319.0,1180.0,55.6
22,708,Richmond,305.0,18.0,78.0,31.0,0.0,127.0,2.0,17.0,5.0,0.0,24.0,1.0,20.0,5.0,0.0,26.0,177.0,58.0
23,709,Richmond,576.0,35.0,95.0,68.0,0.0,198.0,12.0,30.0,26.0,0.0,68.0,15.0,37.0,32.0,0.0,84.0,350.0,60.8
24,801,Richmond,523.0,102.0,36.0,50.0,0.0,188.0,24.0,7.0,11.0,0.0,42.0,29.0,14.0,19.0,1.0,63.0,293.0,56.0
25,801B,Richmond,523.0,116.0,22.0,46.0,0.0,184.0,27.0,9.0,17.0,0.0,53.0,38.0,10.0,15.0,0.0,63.0,300.0,57.4
19,705,Richmond,2276.0,195.0,424.0,347.0,1.0,967.0,34.0,89.0,65.0,0.0,188.0,49.0,112.0,66.0,0.0,227.0,1382.0,60.7
26,802,Richmond,3251.0,456.0,304.0,231.0,2.0,993.0,109.0,104.0,89.0,0.0,302.0,159.0,147.0,138.0,0.0,444.0,1739.0,53.5
28,804,Richmond,2096.0,144.0,259.0,149.0,0.0,552.0,69.0,123.0,72.0,0.0,264.0,85.0,194.0,108.0,0.0,387.0,1203.0,57.4
