,Precinct,County,Registered Voters,J. H . Jimmy Bankston (I) (Dem)_Election Day Votes,J. H . Jimmy Bankston (I) (Dem)_Advanced Voting Votes,J. H . Jimmy Bankston (I) (Dem)_Absentee by Mail Votes,J. H . Jimmy Bankston (I) (Dem)_Provisional Votes,J. H . Jimmy Bankston (I) (Dem)_Choice Total,Total,B. Shawn Rhodes (I) (Dem)_Election Day Votes,B. Shawn Rhodes (I) (Dem)_Advanced Voting Votes,B. Shawn Rhodes (I) (Dem)_Absentee by Mail Votes,B. Shawn Rhodes (I) (Dem)_Provisional Votes,B. Shawn Rhodes (I) (Dem)_Choice Total,Freddie Ashmon (Dem)_Election Day Votes,Freddie Ashmon (Dem)_Advanced Voting Votes,Freddie Ashmon (Dem)_Absentee by Mail Votes,Freddie Ashmon (Dem)_Provisional Votes,Freddie Ashmon (Dem)_Choice Total,Angela Hendricks (I) (Dem)_Election Day Votes,Angela Hendricks (I) (Dem)_Advanced Voting Votes,Angela Hendricks (I) (Dem)_Absentee by Mail Votes,Angela Hendricks (I) (Dem)_Provisional Votes,Angela Hendricks (I) (Dem)_Choice Total,Heather Stuart (I) (Rep)_Election Day Votes,Heather Stuart (I) (Rep)_Advanced Voting Votes,Heather Stuart (I) (Rep)_Absentee by Mail Votes,Heather Stuart (I) (Rep)_Provisional Votes,Heather Stuart (I) (Rep)_Choice Total,calc_participation
16,Newton,Baker,1070.0,,,,,,593.0,,,,,,,,,,,102.0,343.0,148.0,0.0,593.0,,,,,,55.4
15,Milford,Baker,270.0,,,,,,166.0,,,,,,,,,,,71.0,57.0,38.0,0.0,166.0,,,,,,61.5
14,Hoggards Mill,Baker,351.0,,,,,,197.0,,,,,,,,,,,70.0,75.0,52.0,0.0,197.0,,,,,,56.1
13,Elmodel,Baker,401.0,,,,,,249.0,,,,,,,,,,,65.0,111.0,72.0,1.0,249.0,,,,,,62.1
12,Anna,Baker,166.0,,,,,,78.0,,,,,,,,,,,47.0,15.0,15.0,1.0,78.0,,,,,,47.0
10,Montezuma #4,Macon,1597.0,,,,,,774.0,,,,,,145.0,426.0,203.0,0.0,774.0,,,,,,,,,,,48.5
7,Ideal,Macon,1399.0,,,,,,539.0,,,,,,142.0,317.0,80.0,0.0,539.0,,,,,,,,,,,38.5
8,Oglethorpe,Macon,1294.0,,,,,,575.0,,,,,,99.0,371.0,105.0,0.0,575.0,,,,,,,,,,,44.4
9,Marshallville,Macon,1344.0,,,,,,641.0,,,,,,252.0,264.0,125.0,0.0,641.0,,,,,,,,,,,47.7
11,Montezuma #5,Macon,1357.0,,,,,,689.0,,,,,,164.0,346.0,179.0,0.0,689.0,,,,,,,,,,,50.8
19,Tazewell,Marion,320.0,,,,,,239.0,,,,,,,,,,,,,,,,111.0,99.0,29.0,0.0,239.0,74.7
18,Buena Vista,Marion,2343.0,,,,,,1433.0,,,,,,,,,,,,,,,,220.0,872.0,341.0,0.0,1433.0,61.2
17,Pineknot,Marion,971.0,,,,,,619.0,,,,,,,,,,,,,,,,302.0,246.0,71.0,0.0,619.0,63.7
21,Fort Perry,Marion,883.0,,,,,,531.0,,,,,,,,,,,,,,,,194.0,249.0,88.0,0.0,531.0,60.1
20,Brantley,Marion,396.0,,,,,,288.0,,,,,,,,,,,,,,,,76.0,162.0,50.0,0.0,288.0,72.7
0,Preston 1,Webster,1705.0,244.0,616.0,291.0,0.0,1151.0,1151.0,,,,,,,,,,,,,,,,,,,,,67.5
6,Abbeville South 5,Wilcox,1123.0,,,,,,607.0,122.0,364.0,121.0,0.0,607.0,,,,,,,,,,,,,,,,54.1
5,Rochelle South 4,Wilcox,1033.0,,,,,,646.0,183.0,353.0,110.0,0.0,646.0,,,,,,,,,,,,,,,,62.5
4,Pitts 3,Wilcox,876.0,,,,,,560.0,255.0,229.0,76.0,0.0,560.0,,,,,,,,,,,,,,,,63.9
3,Pineview 2,Wilcox,630.0,,,,,,400.0,192.0,141.0,67.0,0.0,400.0,,,,,,,,,,,,,,,,63.5
2,Abbeville North 2,Wilcox,441.0,,,,,,338.0,49.0,236.0,53.0,0.0,338.0,,,,,,,,,,,,,,,,76.6
1,Rochelle North 1,Wilcox,558.0,,,,,,295.0,113.0,133.0,49.0,0.0,295.0,,,,,,,,,,,,,,,,52.9
