County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,calc_participation
Appling,11399.0,1635.0,3680.0,841.0,8.0,6164.0,308.0,784.0,537.0,2.0,1631.0,39.0,85.0,35.0,1.0,160.0,7955.0,69.8
Atkinson,4799.0,687.0,1371.0,173.0,1.0,2232.0,188.0,363.0,112.0,0.0,663.0,29.0,31.0,4.0,0.0,64.0,2959.0,61.7
Bacon,6720.0,399.0,2951.0,470.0,1.0,3821.0,121.0,247.0,173.0,0.0,541.0,20.0,47.0,14.0,0.0,81.0,4443.0,66.1
Baker,2258.0,269.0,439.0,132.0,1.0,841.0,133.0,245.0,224.0,1.0,603.0,9.0,9.0,5.0,0.0,23.0,1467.0,65.0
Baldwin,26721.0,1789.0,5648.0,1288.0,2.0,8727.0,1426.0,4202.0,2819.0,1.0,8448.0,162.0,314.0,110.0,0.0,586.0,17761.0,66.5
Banks,12898.0,1558.0,4929.0,995.0,11.0,7493.0,135.0,389.0,312.0,3.0,839.0,60.0,128.0,39.0,0.0,227.0,8559.0,66.4
Barrow,55605.0,5609.0,16340.0,4038.0,3.0,25990.0,1479.0,4528.0,3175.0,3.0,9185.0,514.0,882.0,374.0,0.0,1770.0,36945.0,66.4
Bartow,74409.0,9734.0,20949.0,5927.0,17.0,36627.0,1913.0,4821.0,3973.0,6.0,10713.0,655.0,893.0,424.0,4.0,1976.0,49316.0,66.3
Ben Hill,9854.0,418.0,3082.0,525.0,0.0,4025.0,307.0,1253.0,661.0,0.0,2221.0,44.0,92.0,35.0,0.0,171.0,6417.0,65.1
Berrien,11275.0,1796.0,3761.0,763.0,9.0,6329.0,285.0,471.0,310.0,0.0,1066.0,55.0,97.0,21.0,0.0,173.0,7568.0,67.1
Bibb,107979.0,7815.0,13190.0,5540.0,43.0,26588.0,8070.0,19086.0,13277.0,118.0,40551.0,690.0,897.0,492.0,3.0,2082.0,69221.0,64.1
Bleckley,0.0,910.0,2703.0,608.0,1.0,4222.0,265.0,547.0,388.0,0.0,1200.0,38.0,72.0,19.0,0.0,129.0,5551.0,0.0
Brantley,11888.0,1825.0,4045.0,651.0,7.0,6528.0,140.0,316.0,186.0,0.0,642.0,68.0,101.0,28.0,0.0,197.0,7367.0,62.0
Brooks,11154.0,1373.0,2282.0,518.0,2.0,4175.0,458.0,1037.0,1033.0,2.0,2530.0,55.0,68.0,41.0,0.0,164.0,6869.0,61.6
Bryan,30608.0,2486.0,9867.0,1612.0,4.0,13969.0,728.0,3345.0,1850.0,3.0,5926.0,208.0,475.0,196.0,0.0,879.0,20774.0,67.9
Bulloch,44738.0,6509.0,8947.0,2852.0,23.0,18331.0,2103.0,4634.0,3165.0,31.0,9933.0,406.0,486.0,212.0,2.0,1106.0,29370.0,65.6
Burke,16556.0,1872.0,2705.0,640.0,0.0,5217.0,1392.0,1742.0,1770.0,0.0,4904.0,78.0,96.0,50.0,0.0,224.0,10345.0,62.5
Butts,17154.0,797.0,6273.0,1107.0,1.0,8178.0,333.0,1757.0,894.0,2.0,2986.0,49.0,199.0,70.0,0.0,318.0,11482.0,66.9
Calhoun,3184.0,269.0,483.0,154.0,0.0,906.0,328.0,431.0,419.0,0.0,1178.0,9.0,9.0,2.0,0.0,20.0,2104.0,66.1
Camden,34950.0,3386.0,9172.0,2147.0,3.0,14708.0,1036.0,3610.0,2506.0,3.0,7155.0,367.0,598.0,211.0,0.0,1176.0,23039.0,65.9
Candler,6300.0,413.0,2260.0,370.0,0.0,3043.0,179.0,622.0,351.0,1.0,1153.0,25.0,59.0,16.0,0.0,100.0,4296.0,68.2
Carroll,83847.0,10777.0,21287.0,4688.0,28.0,36780.0,2598.0,7713.0,4182.0,14.0,14507.0,667.0,988.0,367.0,2.0,2024.0,53311.0,63.6
Catoosa,45715.0,4911.0,16552.0,2911.0,16.0,24390.0,818.0,3284.0,1863.0,4.0,5969.0,382.0,680.0,187.0,3.0,1252.0,31611.0,69.1
Charlton,6552.0,1057.0,1807.0,369.0,2.0,3235.0,205.0,514.0,272.0,0.0,991.0,44.0,57.0,20.0,0.0,121.0,4347.0,66.3
Chatham,200388.0,18099.0,22974.0,12514.0,88.0,53675.0,16185.0,28898.0,26338.0,164.0,71585.0,1931.0,1637.0,1371.0,28.0,4967.0,130227.0,65.0
Chattahoochee,0.0,274.0,431.0,125.0,2.0,832.0,127.0,291.0,149.0,0.0,567.0,33.0,35.0,17.0,0.0,85.0,1484.0,0.0
Chattooga,14143.0,2317.0,4247.0,1028.0,4.0,7596.0,339.0,772.0,627.0,2.0,1740.0,101.0,143.0,65.0,0.0,309.0,9645.0,68.2
Cherokee,190531.0,22964.0,55410.0,20086.0,16.0,98476.0,5205.0,16300.0,14710.0,5.0,36220.0,2264.0,2779.0,1595.0,4.0,6642.0,141338.0,74.2
Clarke,76504.0,3398.0,7321.0,4432.0,16.0,15167.0,4686.0,15086.0,13199.0,29.0,33000.0,684.0,850.0,624.0,6.0,2164.0,50331.0,65.8
Clay,2053.0,128.0,385.0,104.0,0.0,617.0,154.0,299.0,277.0,0.0,730.0,8.0,11.0,11.0,0.0,30.0,1377.0,67.1
Clayton,193326.0,2920.0,7569.0,4108.0,43.0,14640.0,15979.0,49473.0,26150.0,417.0,92019.0,1064.0,1708.0,892.0,20.0,3684.0,110343.0,57.1
Clinch,4345.0,635.0,1278.0,226.0,0.0,2139.0,165.0,278.0,114.0,0.0,557.0,14.0,23.0,9.0,0.0,46.0,2742.0,63.1
Cobb,537611.0,37337.0,77746.0,55151.0,164.0,170398.0,26439.0,87310.0,84635.0,305.0,198689.0,5181.0,6794.0,5687.0,44.0,17706.0,386793.0,71.9
Coffee,25114.0,2430.0,6811.0,881.0,8.0,10130.0,1007.0,2186.0,912.0,3.0,4108.0,95.0,162.0,57.0,1.0,315.0,14553.0,57.9
Colquitt,25054.0,4120.0,5964.0,1360.0,10.0,11454.0,999.0,1668.0,1080.0,2.0,3749.0,134.0,168.0,61.0,1.0,364.0,15567.0,62.1
Columbia,127380.0,13248.0,29806.0,7381.0,42.0,50477.0,4153.0,13021.0,8386.0,27.0,25587.0,1016.0,1409.0,608.0,3.0,3036.0,79100.0,62.1
Cook,10632.0,1099.0,3247.0,491.0,0.0,4837.0,483.0,928.0,475.0,0.0,1886.0,52.0,81.0,31.0,1.0,165.0,6888.0,64.8
Coweta,102110.0,17845.0,23533.0,9668.0,5.0,51051.0,4552.0,8539.0,8128.0,13.0,21232.0,1196.0,990.0,715.0,3.0,2904.0,75187.0,73.6
Crawford,8512.0,1104.0,2634.0,537.0,1.0,4276.0,237.0,757.0,492.0,1.0,1487.0,52.0,68.0,37.0,0.0,157.0,5920.0,69.5
Crisp,12554.0,946.0,3169.0,802.0,3.0,4920.0,505.0,1343.0,786.0,1.0,2635.0,53.0,99.0,46.0,0.0,198.0,7753.0,61.8
Dade,11660.0,1892.0,3206.0,609.0,6.0,5713.0,221.0,593.0,324.0,1.0,1139.0,95.0,127.0,38.0,0.0,260.0,7112.0,61.0
Dawson,21529.0,2265.0,8874.0,1981.0,3.0,13123.0,189.0,936.0,876.0,0.0,2001.0,150.0,328.0,109.0,1.0,588.0,15712.0,73.0
DeKalb,546711.0,11906.0,31921.0,18445.0,172.0,62444.0,31038.0,152553.0,102005.0,1126.0,286722.0,3056.0,6683.0,3930.0,80.0,13749.0,362915.0,66.4
Decatur,16618.0,1415.0,4319.0,810.0,5.0,6549.0,715.0,2299.0,1388.0,8.0,4410.0,80.0,132.0,70.0,0.0,282.0,11241.0,67.6
Dodge,11439.0,2216.0,2691.0,703.0,5.0,5615.0,498.0,906.0,519.0,0.0,1923.0,67.0,72.0,33.0,0.0,172.0,7710.0,67.4
Dooly,5949.0,437.0,1374.0,258.0,2.0,2071.0,421.0,873.0,447.0,2.0,1743.0,33.0,39.0,11.0,0.0,83.0,3897.0,65.5
Dougherty,61172.0,4190.0,3838.0,2406.0,21.0,10455.0,6821.0,8615.0,7615.0,75.0,23126.0,378.0,245.0,202.0,11.0,836.0,34417.0,56.3
Douglas,102540.0,4656.0,15051.0,5498.0,12.0,25217.0,5575.0,21649.0,13230.0,39.0,40493.0,662.0,1143.0,617.0,5.0,2427.0,68137.0,66.4
Early,7320.0,765.0,1487.0,410.0,3.0,2665.0,584.0,963.0,649.0,0.0,2196.0,29.0,46.0,14.0,0.0,89.0,4950.0,67.6
Echols,2156.0,214.0,901.0,122.0,0.0,1237.0,25.0,82.0,22.0,0.0,129.0,9.0,22.0,4.0,0.0,35.0,1401.0,65.0
Effingham,44273.0,7142.0,13143.0,2500.0,15.0,22800.0,1494.0,3235.0,2092.0,10.0,6831.0,451.0,469.0,215.0,2.0,1137.0,30768.0,69.5
Elbert,12305.0,1757.0,3335.0,955.0,0.0,6047.0,496.0,1154.0,1020.0,0.0,2670.0,67.0,100.0,52.0,0.0,219.0,8936.0,72.6
Emanuel,13715.0,2416.0,2993.0,879.0,1.0,6289.0,748.0,1105.0,732.0,0.0,2585.0,86.0,87.0,46.0,1.0,220.0,9094.0,66.3
Evans,6135.0,448.0,1861.0,490.0,0.0,2799.0,215.0,676.0,302.0,0.0,1193.0,21.0,58.0,25.0,0.0,104.0,4096.0,66.8
Fannin,20399.0,3914.0,5507.0,2192.0,20.0,11633.0,334.0,915.0,1003.0,0.0,2252.0,134.0,153.0,113.0,2.0,402.0,14287.0,70.0
Fayette,92307.0,6270.0,24351.0,7765.0,56.0,38442.0,2953.0,16492.0,9876.0,58.0,29379.0,609.0,1467.0,613.0,5.0,2694.0,70515.0,76.4
Floyd,60650.0,7562.0,16370.0,4462.0,110.0,28504.0,1890.0,5114.0,3503.0,36.0,10543.0,516.0,666.0,259.0,6.0,1447.0,40494.0,66.8
Forsyth,163984.0,9471.0,60672.0,15414.0,28.0,85585.0,2699.0,19595.0,13264.0,20.0,35578.0,919.0,3157.0,1194.0,3.0,5273.0,126436.0,77.1
Franklin,15146.0,2199.0,5241.0,1399.0,1.0,8840.0,304.0,564.0,550.0,1.0,1419.0,89.0,135.0,49.0,0.0,273.0,10532.0,69.5
Fulton,806451.0,19474.0,92745.0,34711.0,844.0,147774.0,34120.0,204763.0,102690.0,2226.0,343799.0,4069.0,11131.0,4840.0,283.0,20323.0,511896.0,63.5
Gilmer,22264.0,4135.0,6632.0,2145.0,11.0,12923.0,372.0,1052.0,1116.0,0.0,2540.0,176.0,194.0,117.0,1.0,488.0,15951.0,71.6
Glascock,2039.0,380.0,754.0,184.0,0.0,1318.0,38.0,54.0,54.0,0.0,146.0,10.0,8.0,3.0,0.0,21.0,1485.0,72.8
Glynn,61952.0,4514.0,16225.0,4432.0,30.0,25201.0,1890.0,7089.0,5153.0,19.0,14151.0,386.0,770.0,300.0,3.0,1459.0,40811.0,65.9
Gordon,36429.0,6611.0,9488.0,2472.0,9.0,18580.0,913.0,1703.0,1292.0,2.0,3910.0,280.0,304.0,130.0,2.0,716.0,23206.0,63.7
Grady,15442.0,1957.0,3807.0,1078.0,7.0,6849.0,575.0,1732.0,1030.0,9.0,3346.0,75.0,88.0,50.0,0.0,213.0,10408.0,67.4
Greene,14171.0,834.0,5013.0,1357.0,2.0,7206.0,521.0,1721.0,1337.0,8.0,3587.0,54.0,133.0,67.0,0.0,254.0,11047.0,78.0
Gwinnett,581467.0,33855.0,89529.0,42114.0,223.0,165721.0,32225.0,115533.0,73536.0,363.0,221657.0,4887.0,7843.0,4321.0,55.0,17106.0,404484.0,69.6
Habersham,28264.0,2497.0,10710.0,2853.0,18.0,16078.0,427.0,1488.0,1137.0,2.0,3054.0,180.0,381.0,156.0,2.0,719.0,19851.0,70.2
Hall,0.0,10636.0,40352.0,12206.0,44.0,63238.0,3278.0,10247.0,7895.0,21.0,21441.0,1036.0,1962.0,815.0,6.0,3819.0,88498.0,0.0
Hancock,5827.0,266.0,613.0,240.0,0.0,1119.0,577.0,1055.0,1157.0,3.0,2792.0,25.0,28.0,23.0,0.0,76.0,3987.0,68.4
Haralson,20667.0,4119.0,6013.0,1739.0,4.0,11875.0,341.0,666.0,600.0,0.0,1607.0,149.0,177.0,81.0,0.0,407.0,13889.0,67.2
Harris,25626.0,5487.0,6543.0,2152.0,14.0,14196.0,1090.0,1870.0,1814.0,4.0,4778.0,255.0,211.0,148.0,0.0,614.0,19588.0,76.4
Hart,16929.0,2232.0,5511.0,1424.0,2.0,9169.0,498.0,1300.0,996.0,2.0,2796.0,109.0,159.0,52.0,0.0,320.0,12285.0,72.6
