,Precinct,County,Registered Voters,Sheila Clark Nelson (I) (Dem)_Election Day Votes,Sheila Clark Nelson (I) (Dem)_Advanced Voting Votes,Sheila Clark Nelson (I) (Dem)_Absentee by Mail Votes,Sheila Clark Nelson (I) (Dem)_Provisional Votes,Sheila Clark Nelson (I) (Dem)_Choice Total,Total,calc_participation
0,104.0,Richmond,2976.0,433.0,541.0,559.0,3.0,1536.0,1536.0,51.6
1,109.0,Richmond,1052.0,114.0,255.0,181.0,0.0,550.0,550.0,52.3
2,114.0,Richmond,856.0,119.0,141.0,144.0,1.0,405.0,405.0,47.3
3,115.0,Richmond,1332.0,62.0,66.0,70.0,0.0,198.0,198.0,14.9
4,202.0,Richmond,4492.0,615.0,855.0,622.0,3.0,2095.0,2095.0,46.6
5,501.0,Richmond,3549.0,404.0,768.0,781.0,1.0,1954.0,1954.0,55.1
6,506.0,Richmond,416.0,49.0,90.0,45.0,2.0,186.0,186.0,44.7
7,601.0,Richmond,3988.0,410.0,914.0,596.0,5.0,1925.0,1925.0,48.3
8,603.0,Richmond,3570.0,477.0,648.0,490.0,1.0,1616.0,1616.0,45.3
9,604.0,Richmond,1811.0,272.0,350.0,267.0,0.0,889.0,889.0,49.1
10,605.0,Richmond,3880.0,449.0,788.0,634.0,0.0,1871.0,1871.0,48.2
11,608.0,Richmond,1472.0,206.0,295.0,200.0,0.0,701.0,701.0,47.6
12,802.0,Richmond,3251.0,547.0,454.0,407.0,2.0,1410.0,1410.0,43.4
13,805.0,Richmond,798.0,98.0,227.0,128.0,1.0,454.0,454.0,56.9
14,806.0,Richmond,1212.0,184.0,241.0,156.0,0.0,581.0,581.0,47.9
15,808.0,Richmond,2366.0,339.0,576.0,379.0,1.0,1295.0,1295.0,54.7
