,Precinct,County,Registered Voters,Ed Setzler (I) (Rep)_Election Day Votes,Ed Setzler (I) (Rep)_Advanced Voting Votes,Ed Setzler (I) (Rep)_Absentee by Mail Votes,Ed Setzler (I) (Rep)_Provisional Votes,Ed Setzler (I) (Rep)_Choice Total,Kyle Rinaudo (Dem)_Election Day Votes,Kyle Rinaudo (Dem)_Advanced Voting Votes,Kyle Rinaudo (Dem)_Absentee by Mail Votes,Kyle Rinaudo (Dem)_Provisional Votes,Kyle Rinaudo (Dem)_Choice Total,Total,calc_participation
0,Acworth 1A,Cobb,5458.0,279.0,1095.0,620.0,1.0,1995.0,211.0,844.0,879.0,2.0,1936.0,3931.0,72.0
1,Acworth 1B,Cobb,5214.0,413.0,990.0,564.0,1.0,1968.0,278.0,707.0,644.0,3.0,1632.0,3600.0,69.0
2,Acworth 1C,Cobb,5110.0,206.0,703.0,311.0,0.0,1220.0,300.0,1097.0,800.0,3.0,2200.0,3420.0,66.9
3,Big Shanty 01,Cobb,2385.0,36.0,73.0,58.0,1.0,168.0,8.0,8.0,30.0,0.0,46.0,214.0,9.0
4,Baker 01,Cobb,4773.0,348.0,697.0,318.0,2.0,1365.0,308.0,983.0,637.0,5.0,1933.0,3298.0,69.1
5,Durham 01,Cobb,4256.0,244.0,766.0,324.0,0.0,1334.0,60.0,342.0,306.0,0.0,708.0,2042.0,48.0
6,Kennesaw 1A,Cobb,2499.0,32.0,35.0,11.0,0.0,78.0,35.0,63.0,28.0,0.0,126.0,204.0,8.2
7,Kennesaw 3A,Cobb,6477.0,32.0,62.0,24.0,0.0,118.0,40.0,82.0,61.0,0.0,183.0,301.0,4.6
8,Kennesaw 4A,Cobb,3783.0,60.0,210.0,106.0,0.0,376.0,36.0,172.0,179.0,0.0,387.0,763.0,20.2
9,Kennesaw 5A,Cobb,5855.0,531.0,1053.0,473.0,0.0,2057.0,343.0,1136.0,903.0,1.0,2383.0,4440.0,75.8
10,Mars Hill 01,Cobb,3633.0,440.0,1110.0,479.0,2.0,2031.0,98.0,297.0,319.0,0.0,714.0,2745.0,75.6
11,North Cobb 01,Cobb,2317.0,216.0,390.0,209.0,0.0,815.0,120.0,403.0,324.0,0.0,847.0,1662.0,71.7
12,Wade Green 02,Cobb,4718.0,428.0,760.0,476.0,0.0,1664.0,256.0,804.0,754.0,0.0,1814.0,3478.0,73.7
