,Precinct,County,Registered Voters,Alan Cole (Rep)_Election Day Votes,Alan Cole (Rep)_Advanced Voting Votes,Alan Cole (Rep)_Absentee by Mail Votes,Alan Cole (Rep)_Provisional Votes,Alan Cole (Rep)_Choice Total,Matthew Wilson (I) (Dem)_Election Day Votes,Matthew Wilson (I) (Dem)_Advanced Voting Votes,Matthew Wilson (I) (Dem)_Absentee by Mail Votes,Matthew Wilson (I) (Dem)_Provisional Votes,Matthew Wilson (I) (Dem)_Choice Total,Total,calc_participation
9,Briarwood,DeKalb,2428.0,122.0,410.0,132.0,1.0,665.0,99.0,570.0,407.0,0.0,1076.0,1741.0,71.7
16,Silver Lake,DeKalb,4979.0,201.0,1027.0,383.0,1.0,1612.0,136.0,1074.0,785.0,2.0,1997.0,3609.0,72.5
15,Montgomery Elem,DeKalb,2446.0,172.0,482.0,246.0,3.0,903.0,77.0,587.0,442.0,3.0,1109.0,2012.0,82.3
14,Kittredge Elem,DeKalb,2161.0,141.0,482.0,197.0,2.0,822.0,55.0,512.0,403.0,2.0,972.0,1794.0,83.0
13,Huntley Hills Elem,DeKalb,3508.0,54.0,150.0,52.0,0.0,256.0,72.0,333.0,158.0,0.0,563.0,819.0,23.3
12,Chamblee 2,DeKalb,3137.0,18.0,74.0,17.0,0.0,109.0,8.0,92.0,83.0,0.0,183.0,292.0,9.3
11,Cross Keys High,DeKalb,2260.0,103.0,269.0,142.0,0.0,514.0,105.0,500.0,463.0,3.0,1071.0,1585.0,70.1
10,Brookhaven,DeKalb,3444.0,246.0,703.0,235.0,1.0,1185.0,142.0,822.0,559.0,2.0,1525.0,2710.0,78.7
17,Skyland,DeKalb,2100.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,0.0,6.0,10.0,0.5
18,Woodward,DeKalb,3193.0,54.0,214.0,127.0,0.0,395.0,79.0,527.0,470.0,2.0,1078.0,1473.0,46.1
7,Ashford Dunwoody Rd,DeKalb,2966.0,205.0,650.0,241.0,4.0,1100.0,60.0,757.0,515.0,2.0,1334.0,2434.0,82.1
8,Ashford Parkside,DeKalb,3664.0,190.0,642.0,293.0,1.0,1126.0,97.0,782.0,699.0,5.0,1583.0,2709.0,73.9
6,SS29A,Fulton,2842.0,124.0,446.0,196.0,5.0,771.0,99.0,737.0,404.0,2.0,1242.0,2013.0,70.8
5,SS14,Fulton,1412.0,86.0,478.0,141.0,1.0,706.0,12.0,255.0,175.0,0.0,442.0,1148.0,81.3
4,SS12,Fulton,2897.0,126.0,605.0,286.0,3.0,1020.0,69.0,665.0,434.0,6.0,1174.0,2194.0,75.7
3,SS11C,Fulton,361.0,7.0,23.0,5.0,0.0,35.0,25.0,106.0,26.0,1.0,158.0,193.0,53.5
2,SS08D,Fulton,1555.0,52.0,204.0,80.0,0.0,336.0,53.0,413.0,213.0,0.0,679.0,1015.0,65.3
1,SS08A,Fulton,1891.0,79.0,227.0,68.0,10.0,384.0,103.0,563.0,207.0,6.0,879.0,1263.0,66.8
0,SS07C,Fulton,809.0,18.0,134.0,76.0,2.0,230.0,14.0,112.0,139.0,11.0,276.0,506.0,62.5
