,Precinct,County,Registered Voters,"David E. Lucas, Sr. (I) (Dem)_Election Day Votes","David E. Lucas, Sr. (I) (Dem)_Advanced Voting Votes","David E. Lucas, Sr. (I) (Dem)_Absentee by Mail Votes","David E. Lucas, Sr. (I) (Dem)_Provisional Votes","David E. Lucas, Sr. (I) (Dem)_Choice Total",Total,calc_participation
28,Godfrey 5,Bibb,4761.0,653.0,1123.0,649.0,3.0,2428.0,2428.0,51.0
23,East Macon 5,Bibb,2552.0,299.0,638.0,468.0,2.0,1407.0,1407.0,55.1
22,East Macon 4,Bibb,2280.0,355.0,507.0,463.0,6.0,1331.0,1331.0,58.4
21,East Macon 3,Bibb,3494.0,348.0,795.0,542.0,6.0,1691.0,1691.0,48.4
20,East Macon 2,Bibb,3932.0,453.0,1010.0,748.0,7.0,2218.0,2218.0,56.4
19,East Macon 1,Bibb,2108.0,241.0,364.0,327.0,6.0,938.0,938.0,44.5
26,Godfrey 3,Bibb,3292.0,396.0,733.0,458.0,4.0,1591.0,1591.0,48.3
27,Godfrey 4,Bibb,2231.0,251.0,346.0,264.0,2.0,863.0,863.0,38.7
29,Hazzard 1,Bibb,3377.0,471.0,768.0,521.0,4.0,1764.0,1764.0,52.2
30,Hazzard 3,Bibb,7068.0,681.0,1948.0,1101.0,13.0,3743.0,3743.0,53.0
31,Rutland 2,Bibb,3409.0,144.0,178.0,118.0,4.0,444.0,444.0,13.0
24,Godfrey 1,Bibb,6283.0,596.0,1465.0,1011.0,6.0,3078.0,3078.0,49.0
32,Vineville 1,Bibb,3572.0,342.0,809.0,538.0,2.0,1691.0,1691.0,47.3
34,Vineville 3,Bibb,3127.0,327.0,759.0,530.0,4.0,1620.0,1620.0,51.8
35,Vineville 4,Bibb,4097.0,551.0,943.0,634.0,6.0,2134.0,2134.0,52.1
33,Vineville 2,Bibb,2067.0,248.0,417.0,364.0,0.0,1029.0,1029.0,49.8
25,Godfrey 2,Bibb,2158.0,221.0,355.0,262.0,1.0,839.0,839.0,38.9
