,Precinct,County,Registered Voters,Jason Anavitarte (Rep)_Election Day Votes,Jason Anavitarte (Rep)_Advanced Voting Votes,Jason Anavitarte (Rep)_Absentee by Mail Votes,Jason Anavitarte (Rep)_Provisional Votes,Jason Anavitarte (Rep)_Choice Total,Tianna Smith (Dem)_Election Day Votes,Tianna Smith (Dem)_Advanced Voting Votes,Tianna Smith (Dem)_Absentee by Mail Votes,Tianna Smith (Dem)_Provisional Votes,Tianna Smith (Dem)_Choice Total,Total,calc_participation
34,Waco,Haralson,1183.0,314.0,291.0,79.0,0.0,684.0,28.0,22.0,28.0,0.0,78.0,762.0,64.4
32,Berea-Steadman,Haralson,665.0,209.0,154.0,49.0,0.0,412.0,9.0,21.0,6.0,0.0,36.0,448.0,67.4
31,Seventh,Haralson,1932.0,379.0,553.0,143.0,2.0,1077.0,27.0,76.0,64.0,0.0,167.0,1244.0,64.4
30,Mt View,Haralson,330.0,128.0,64.0,26.0,0.0,218.0,12.0,6.0,2.0,0.0,20.0,238.0,72.1
29,Little Creek,Haralson,699.0,260.0,167.0,63.0,0.0,490.0,14.0,6.0,16.0,0.0,36.0,526.0,75.3
28,Felton,Haralson,304.0,99.0,76.0,20.0,0.0,195.0,5.0,1.0,7.0,0.0,13.0,208.0,68.4
27,Twentieth,Haralson,738.0,217.0,190.0,71.0,0.0,478.0,13.0,13.0,22.0,0.0,48.0,526.0,71.3
26,Corinth,Haralson,1682.0,374.0,507.0,146.0,0.0,1027.0,29.0,41.0,24.0,0.0,94.0,1121.0,66.6
25,Buncombe,Haralson,1075.0,288.0,247.0,88.0,0.0,623.0,20.0,23.0,19.0,0.0,62.0,685.0,63.7
24,Buchanan,Haralson,2365.0,391.0,809.0,210.0,1.0,1411.0,31.0,78.0,66.0,0.0,175.0,1586.0,67.1
23,Bremen,Haralson,6622.0,955.0,2238.0,572.0,0.0,3765.0,142.0,320.0,282.0,0.0,744.0,4509.0,68.1
33,Tallapoosa,Haralson,3072.0,556.0,799.0,294.0,1.0,1650.0,71.0,121.0,98.0,0.0,290.0,1940.0,63.2
15,Taylor Farm Park,Paulding,2761.0,85.0,374.0,153.0,0.0,612.0,63.0,246.0,120.0,0.0,429.0,1041.0,37.7
14,Picketts Mill Baptist Church,Paulding,2748.0,303.0,963.0,271.0,0.0,1537.0,67.0,279.0,255.0,1.0,602.0,2139.0,77.8
0,Burnt Hickory Park,Paulding,6242.0,619.0,2747.0,609.0,4.0,3979.0,113.0,494.0,275.0,2.0,884.0,4863.0,77.9
12,Beulahland Baptist Church,Paulding,2547.0,355.0,889.0,192.0,3.0,1439.0,63.0,194.0,132.0,0.0,389.0,1828.0,71.8
1,Crossroads Library,Paulding,3662.0,319.0,1487.0,429.0,1.0,2236.0,93.0,406.0,323.0,0.0,822.0,3058.0,83.5
2,Shelton Elementary,Paulding,5095.0,474.0,1633.0,434.0,3.0,2544.0,162.0,778.0,456.0,0.0,1396.0,3940.0,77.3
3,Russom Elementary,Paulding,8243.0,698.0,2787.0,1031.0,4.0,4520.0,215.0,994.0,886.0,3.0,2098.0,6618.0,80.3
4,Paulding Sr Center,Paulding,5972.0,502.0,1811.0,429.0,5.0,2747.0,206.0,864.0,538.0,1.0,1609.0,4356.0,72.9
5,Legacy Bapt Church,Paulding,4443.0,310.0,1069.0,445.0,1.0,1825.0,155.0,606.0,442.0,4.0,1207.0,3032.0,68.2
6,Watson Govt Cmplx,Paulding,10774.0,634.0,2654.0,801.0,8.0,4097.0,403.0,1613.0,1004.0,3.0,3023.0,7120.0,66.1
7,West Ridge Church,Paulding,11546.0,1017.0,3625.0,1193.0,3.0,5838.0,333.0,1275.0,946.0,1.0,2555.0,8393.0,72.7
8,Events Place,Paulding,4923.0,229.0,746.0,295.0,3.0,1273.0,251.0,1151.0,762.0,3.0,2167.0,3440.0,69.9
9,Poplar Sprgs Bapt Church,Paulding,4825.0,256.0,928.0,284.0,0.0,1468.0,254.0,995.0,576.0,1.0,1826.0,3294.0,68.3
10,Nebo Elem School,Paulding,10070.0,393.0,1199.0,303.0,2.0,1897.0,103.0,352.0,256.0,4.0,715.0,2612.0,25.9
11,White Oak Park,Paulding,5833.0,491.0,1639.0,417.0,6.0,2553.0,223.0,736.0,483.0,3.0,1445.0,3998.0,68.5
13,Paulding County Airport,Paulding,4132.0,538.0,1328.0,322.0,2.0,2190.0,118.0,322.0,238.0,2.0,680.0,2870.0,69.5
22,Youngs Grove,Polk,1961.0,314.0,755.0,161.0,1.0,1231.0,37.0,79.0,50.0,0.0,166.0,1397.0,71.2
21,Rockmart,Polk,5746.0,482.0,2274.0,332.0,2.0,3090.0,151.0,570.0,255.0,2.0,978.0,4068.0,70.8
20,Lake Creek,Polk,2828.0,390.0,1278.0,180.0,0.0,1848.0,43.0,169.0,74.0,0.0,286.0,2134.0,75.5
19,Fish Creek,Polk,2566.0,371.0,999.0,179.0,2.0,1551.0,55.0,138.0,84.0,0.0,277.0,1828.0,71.2
18,Cedartown,Polk,6205.0,461.0,1722.0,518.0,5.0,2706.0,206.0,652.0,397.0,3.0,1258.0,3964.0,63.9
16,Aragon,Polk,3224.0,479.0,1185.0,212.0,3.0,1879.0,67.0,208.0,104.0,0.0,379.0,2258.0,70.0
17,Blooming Grove,Polk,1659.0,276.0,549.0,104.0,1.0,930.0,37.0,102.0,51.0,2.0,192.0,1122.0,67.6
