,Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
1062,5B,Appling,1126.0,157.0,288.0,76.0,2.0,523.0,57.0,129.0,43.0,1.0,230.0,753.0,66.9
1061,5A,Appling,1147.0,94.0,302.0,70.0,2.0,468.0,45.0,155.0,49.0,1.0,250.0,718.0,62.6
1060,4D,Appling,1493.0,176.0,423.0,106.0,0.0,705.0,67.0,234.0,73.0,1.0,375.0,1080.0,72.3
1059,4B,Appling,866.0,148.0,170.0,41.0,0.0,359.0,81.0,133.0,25.0,0.0,239.0,598.0,69.1
1058,3C,Appling,1566.0,105.0,431.0,137.0,0.0,673.0,38.0,232.0,74.0,0.0,344.0,1017.0,64.9
1057,3A1,Appling,793.0,140.0,178.0,32.0,0.0,350.0,74.0,96.0,36.0,0.0,206.0,556.0,70.1
1056,2,Appling,2251.0,182.0,474.0,219.0,2.0,877.0,83.0,209.0,109.0,0.0,401.0,1278.0,56.8
1054,1B,Appling,1309.0,166.0,309.0,95.0,0.0,570.0,80.0,186.0,59.0,0.0,325.0,895.0,68.4
1055,1C,Appling,848.0,109.0,217.0,40.0,2.0,368.0,66.0,111.0,25.0,0.0,202.0,570.0,67.2
1299,Mission Road,Bartow,4012.0,364.0,1152.0,391.0,3.0,1910.0,147.0,399.0,178.0,0.0,724.0,2634.0,65.7
1295,Euharlee,Bartow,5322.0,741.0,1476.0,458.0,0.0,2675.0,251.0,488.0,179.0,1.0,919.0,3594.0,67.5
1288,Adairsville,Bartow,6995.0,694.0,2005.0,538.0,1.0,3238.0,218.0,769.0,278.0,1.0,1266.0,4504.0,64.4
1289,Allatoona,Bartow,4729.0,502.0,1011.0,375.0,0.0,1888.0,156.0,385.0,140.0,0.0,681.0,2569.0,54.3
1290,Cartersville East,Bartow,6805.0,596.0,1729.0,775.0,0.0,3100.0,208.0,580.0,284.0,1.0,1073.0,4173.0,61.3
1291,Cartersville West,Bartow,8129.0,595.0,2555.0,979.0,1.0,4130.0,176.0,907.0,340.0,0.0,1423.0,5553.0,68.3
1292,Cassville,Bartow,4588.0,395.0,1189.0,687.0,3.0,2274.0,145.0,404.0,346.0,1.0,896.0,3170.0,69.1
1297,Hamilton Crossing,Bartow,6598.0,650.0,1928.0,416.0,1.0,2995.0,200.0,627.0,162.0,0.0,989.0,3984.0,60.4
1298,Kingston,Bartow,2674.0,493.0,544.0,225.0,0.0,1262.0,210.0,203.0,87.0,0.0,500.0,1762.0,65.9
1296,Folsom,Bartow,1448.0,310.0,279.0,97.0,0.0,686.0,119.0,109.0,47.0,0.0,275.0,961.0,66.4
1300,Pine Log,Bartow,2132.0,499.0,404.0,157.0,0.0,1060.0,178.0,153.0,99.0,0.0,430.0,1490.0,69.9
1294,Emerson,Bartow,3122.0,493.0,621.0,272.0,0.0,1386.0,170.0,242.0,136.0,1.0,549.0,1935.0,62.0
1302,White,Bartow,2723.0,535.0,574.0,208.0,1.0,1318.0,173.0,245.0,113.0,0.0,531.0,1849.0,67.9
1303,Zena Drive,Bartow,6431.0,577.0,1449.0,605.0,3.0,2634.0,161.0,477.0,237.0,3.0,878.0,3512.0,54.6
1304,Woodland,Bartow,1865.0,264.0,462.0,182.0,1.0,909.0,83.0,142.0,86.0,0.0,311.0,1220.0,65.4
1293,Center,Bartow,4007.0,570.0,1047.0,407.0,1.0,2025.0,189.0,389.0,180.0,1.0,759.0,2784.0,69.5
1301,Taylorsville,Bartow,2829.0,605.0,599.0,213.0,0.0,1417.0,219.0,236.0,107.0,0.0,562.0,1979.0,70.0
962,Pavo,Brooks,607.0,115.0,89.0,57.0,0.0,261.0,73.0,43.0,26.0,0.0,142.0,403.0,66.4
961,Morven,Brooks,1962.0,234.0,372.0,169.0,0.0,775.0,135.0,229.0,86.0,0.0,450.0,1225.0,62.4
960,Nankin,Brooks,735.0,120.0,143.0,24.0,0.0,287.0,51.0,81.0,40.0,0.0,172.0,459.0,62.4
958,Dixie,Brooks,1066.0,115.0,204.0,145.0,1.0,465.0,67.0,101.0,52.0,0.0,220.0,685.0,64.3
957,Barwick,Brooks,350.0,60.0,54.0,31.0,1.0,146.0,42.0,23.0,19.0,0.0,84.0,230.0,65.7
956,Quitman,Brooks,4117.0,266.0,786.0,420.0,2.0,1474.0,98.0,322.0,175.0,0.0,595.0,2069.0,50.3
959,Briggs,Brooks,2317.0,278.0,476.0,148.0,0.0,902.0,131.0,237.0,98.0,0.0,466.0,1368.0,59.0
1256,Mt Zion,Carroll,2641.0,498.0,554.0,174.0,0.0,1226.0,182.0,199.0,73.0,0.0,454.0,1680.0,63.6
1257,Burwell,Carroll,1564.0,307.0,316.0,120.0,2.0,745.0,114.0,120.0,51.0,0.0,285.0,1030.0,65.9
1278,Old Camp Church,Carroll,2297.0,289.0,664.0,194.0,1.0,1148.0,124.0,241.0,67.0,1.0,433.0,1581.0,68.8
1254,Sandhill,Carroll,4459.0,423.0,1162.0,287.0,3.0,1875.0,185.0,516.0,135.0,0.0,836.0,2711.0,60.8
1253,Bowdon,Carroll,3289.0,503.0,571.0,235.0,0.0,1309.0,206.0,222.0,99.0,1.0,528.0,1837.0,55.9
1252,Kansas,Carroll,1165.0,300.0,195.0,64.0,0.0,559.0,134.0,75.0,35.0,0.0,244.0,803.0,68.9
1258,Clem,Carroll,3695.0,366.0,1179.0,285.0,2.0,1832.0,162.0,466.0,140.0,0.0,768.0,2600.0,70.4
1259,Bowdon Junction,Carroll,1547.0,215.0,347.0,97.0,0.0,659.0,68.0,141.0,53.0,0.0,262.0,921.0,59.5
1255,Center Point,Carroll,1775.0,318.0,433.0,123.0,1.0,875.0,147.0,201.0,66.0,0.0,414.0,1289.0,72.6
1261,Fairfield,Carroll,3867.0,636.0,920.0,346.0,0.0,1902.0,306.0,413.0,160.0,0.0,879.0,2781.0,71.9
1262,Hulett,Carroll,2408.0,362.0,599.0,142.0,0.0,1103.0,183.0,281.0,80.0,0.0,544.0,1647.0,68.4
