,Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,calc_participation
1453,3A1,Appling,793.0,225.0,287.0,58.0,0.0,570.0,8.0,7.0,10.0,0.0,25.0,0.0,3.0,2.0,0.0,5.0,600.0,75.7
1450,1B,Appling,1309.0,241.0,469.0,117.0,1.0,828.0,30.0,58.0,46.0,0.0,134.0,3.0,12.0,1.0,0.0,16.0,978.0,74.7
1451,1C,Appling,848.0,170.0,343.0,64.0,2.0,579.0,17.0,17.0,10.0,0.0,44.0,2.0,4.0,0.0,0.0,6.0,629.0,74.2
1452,2,Appling,2251.0,136.0,299.0,79.0,0.0,514.0,160.0,437.0,265.0,2.0,864.0,10.0,21.0,1.0,0.0,32.0,1410.0,62.6
1458,5B,Appling,1126.0,186.0,396.0,91.0,3.0,676.0,44.0,59.0,33.0,0.0,136.0,6.0,5.0,2.0,0.0,13.0,825.0,73.3
1457,5A,Appling,1147.0,137.0,437.0,84.0,2.0,660.0,18.0,58.0,38.0,1.0,115.0,2.0,10.0,5.0,0.0,17.0,792.0,69.0
1456,4D,Appling,1493.0,236.0,634.0,150.0,1.0,1021.0,21.0,67.0,41.0,0.0,129.0,2.0,8.0,5.0,0.0,15.0,1165.0,78.0
1455,4B,Appling,866.0,252.0,316.0,71.0,0.0,639.0,4.0,12.0,9.0,0.0,25.0,0.0,2.0,0.0,0.0,2.0,666.0,76.9
1454,3C,Appling,1566.0,103.0,593.0,123.0,0.0,819.0,50.0,130.0,101.0,0.0,281.0,8.0,9.0,5.0,0.0,22.0,1122.0,71.6
2230,Pearson County,Atkinson,1802.0,226.0,707.0,75.0,0.0,1008.0,33.0,93.0,38.0,0.0,164.0,4.0,7.0,2.0,0.0,13.0,1185.0,65.8
2233,Pearson City,Atkinson,944.0,68.0,144.0,26.0,0.0,238.0,64.0,185.0,44.0,0.0,293.0,4.0,7.0,1.0,0.0,12.0,543.0,57.5
2232,Willacoochee,Atkinson,1311.0,226.0,296.0,43.0,0.0,565.0,102.0,130.0,38.0,0.0,270.0,9.0,8.0,0.0,0.0,17.0,852.0,65.0
2231,Axson,Atkinson,742.0,189.0,245.0,26.0,1.0,461.0,21.0,22.0,3.0,0.0,46.0,6.0,4.0,0.0,0.0,10.0,517.0,69.7
2123,Douglas,Bacon,6720.0,417.0,3047.0,465.0,0.0,3929.0,127.0,276.0,187.0,1.0,591.0,24.0,37.0,9.0,0.0,70.0,4590.0,68.3
1225,Newton,Baker,1070.0,68.0,258.0,68.0,0.0,394.0,49.0,145.0,99.0,0.0,293.0,2.0,5.0,1.0,0.0,8.0,695.0,65.0
1224,Milford,Baker,270.0,64.0,52.0,19.0,0.0,135.0,28.0,17.0,20.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,200.0,74.1
1223,Hoggards Mill,Baker,351.0,43.0,54.0,17.0,0.0,114.0,35.0,38.0,42.0,0.0,115.0,1.0,0.0,0.0,0.0,1.0,230.0,65.5
1222,Elmodel,Baker,401.0,52.0,60.0,23.0,1.0,136.0,23.0,67.0,57.0,0.0,147.0,1.0,2.0,1.0,0.0,4.0,287.0,71.6
