Precinct,County,Registered Voters,Chad Galloway (I) (Rep)_Election Day Votes,Chad Galloway (I) (Rep)_Advanced Voting Votes,Chad Galloway (I) (Rep)_Absentee by Mail Votes,Chad Galloway (I) (Rep)_Provisional Votes,Chad Galloway (I) (Rep)_Choice Total,Theresa (TC) Dillard (Dem)_Election Day Votes,Theresa (TC) Dillard (Dem)_Advanced Voting Votes,Theresa (TC) Dillard (Dem)_Absentee by Mail Votes,Theresa (TC) Dillard (Dem)_Provisional Votes,Theresa (TC) Dillard (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Colwell,Fannin,1105.0,256.0,268.0,112.0,0.0,636.0,56.0,72.0,84.0,0.0,212.0,848.0,76.7,636.0,212.0
Fairplay,Fannin,1262.0,273.0,293.0,103.0,0.0,669.0,56.0,78.0,68.0,0.0,202.0,871.0,69.0,669.0,202.0
Flinthill,Fannin,3202.0,533.0,690.0,295.0,2.0,1520.0,181.0,198.0,175.0,0.0,554.0,2074.0,64.8,1520.0,554.0
Hemptown,Fannin,1336.0,312.0,303.0,115.0,3.0,733.0,60.0,84.0,72.0,0.0,216.0,949.0,71.0,733.0,216.0
Hothouse,Fannin,1290.0,238.0,327.0,113.0,6.0,684.0,45.0,104.0,99.0,0.0,248.0,932.0,72.2,684.0,248.0
Mineral Bluff,Fannin,1817.0,296.0,517.0,205.0,0.0,1018.0,63.0,138.0,119.0,0.0,320.0,1338.0,73.6,1018.0,320.0
Mobile,Fannin,1160.0,255.0,246.0,113.0,0.0,614.0,78.0,75.0,55.0,0.0,208.0,822.0,70.9,614.0,208.0
Morganton,Fannin,2067.0,402.0,507.0,215.0,2.0,1126.0,95.0,167.0,118.0,0.0,380.0,1506.0,72.9,1126.0,380.0
Noontootla,Fannin,839.0,164.0,218.0,124.0,0.0,506.0,30.0,52.0,59.0,0.0,141.0,647.0,77.1,506.0,141.0
Skeniah,Fannin,331.0,107.0,55.0,38.0,2.0,202.0,13.0,21.0,26.0,0.0,60.0,262.0,79.2,202.0,60.0
Sugar Creek,Fannin,2437.0,327.0,697.0,245.0,1.0,1270.0,88.0,227.0,161.0,0.0,476.0,1746.0,71.6,1270.0,476.0
Toccoa,Fannin,3553.0,413.0,968.0,366.0,3.0,1750.0,122.0,343.0,221.0,1.0,687.0,2437.0,68.6,1750.0,687.0
