Precinct,County,Registered Voters,Keith Powell (I) (Rep)_Election Day Votes,Keith Powell (I) (Rep)_Advanced Voting Votes,Keith Powell (I) (Rep)_Absentee by Mail Votes,Keith Powell (I) (Rep)_Provisional Votes,Keith Powell (I) (Rep)_Choice Total,Total,Dwight Bernard Harris_Election Day Votes,Dwight Bernard Harris_Advanced Voting Votes,Dwight Bernard Harris_Absentee by Mail Votes,Dwight Bernard Harris_Provisional Votes,Dwight Bernard Harris_Choice Total,Sylvia C. Roland_Election Day Votes,Sylvia C. Roland_Advanced Voting Votes,Sylvia C. Roland_Absentee by Mail Votes,Sylvia C. Roland_Provisional Votes,Sylvia C. Roland_Choice Total,Sabrina Hill (Dem)_Election Day Votes,Sabrina Hill (Dem)_Advanced Voting Votes,Sabrina Hill (Dem)_Absentee by Mail Votes,Sabrina Hill (Dem)_Provisional Votes,Sabrina Hill (Dem)_Choice Total,David Breedlove (I) (Rep)_Election Day Votes,David Breedlove (I) (Rep)_Advanced Voting Votes,David Breedlove (I) (Rep)_Absentee by Mail Votes,David Breedlove (I) (Rep)_Provisional Votes,David Breedlove (I) (Rep)_Choice Total,Brad Wheeler (I) (Rep)_Election Day Votes,Brad Wheeler (I) (Rep)_Advanced Voting Votes,Brad Wheeler (I) (Rep)_Absentee by Mail Votes,Brad Wheeler (I) (Rep)_Provisional Votes,Brad Wheeler (I) (Rep)_Choice Total,Lindsay Terrebonne (Dem)_Election Day Votes,Lindsay Terrebonne (Dem)_Advanced Voting Votes,Lindsay Terrebonne (Dem)_Absentee by Mail Votes,Lindsay Terrebonne (Dem)_Provisional Votes,Lindsay Terrebonne (Dem)_Choice Total,Jonathan E. Jones (I) (Rep)_Election Day Votes,Jonathan E. Jones (I) (Rep)_Advanced Voting Votes,Jonathan E. Jones (I) (Rep)_Absentee by Mail Votes,Jonathan E. Jones (I) (Rep)_Provisional Votes,Jonathan E. Jones (I) (Rep)_Choice Total,calc_participation,Rep_total,Rep_steal,Dem_total,Dem_steal
Nashville,Berrien,6079.0,155.0,530.0,145.0,0.0,830.0,830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,,,
Agri-Center,Sumter,2059.0,,,,,,59.0,7.0,12.0,5.0,0.0,24.0,8.0,26.0,1.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,
Airport,Sumter,1767.0,,,,,,634.0,43.0,176.0,63.0,0.0,282.0,53.0,240.0,59.0,0.0,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,,,
Browns Mill,Sumter,929.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
GSW Conf Center,Sumter,3044.0,,,,,,951.0,69.0,244.0,92.0,0.0,405.0,40.0,350.0,156.0,0.0,546.0,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,,,,
Forest Park 3,Clayton,2845.0,,,,,,928.0,,,,,,,,,,,224.0,397.0,306.0,1.0,928.0,,,,,,,,,,,,,,,,,,,,,32.6,,,,
Forest Park 4,Clayton,1783.0,,,,,,790.0,,,,,,,,,,,196.0,398.0,196.0,0.0,790.0,,,,,,,,,,,,,,,,,,,,,44.3,,,,
Forest Park 5,Clayton,3924.0,,,,,,1638.0,,,,,,,,,,,426.0,803.0,398.0,11.0,1638.0,,,,,,,,,,,,,,,,,,,,,41.7,,,,
Forest Park 6,Clayton,1463.0,,,,,,635.0,,,,,,,,,,,128.0,358.0,149.0,0.0,635.0,,,,,,,,,,,,,,,,,,,,,43.4,,,,
Jonesboro 15,Clayton,2872.0,,,,,,1196.0,,,,,,,,,,,252.0,684.0,257.0,3.0,1196.0,,,,,,,,,,,,,,,,,,,,,41.6,,,,
Morrow 2,Clayton,2081.0,,,,,,268.0,,,,,,,,,,,45.0,151.0,72.0,0.0,268.0,,,,,,,,,,,,,,,,,,,,,12.9,,,,
