Precinct,County,Registered Voters,Charles W. Oddo (I) (Rep)_Election Day Votes,Charles W. Oddo (I) (Rep)_Advanced Voting Votes,Charles W. Oddo (I) (Rep)_Absentee by Mail Votes,Charles W. Oddo (I) (Rep)_Provisional Votes,Charles W. Oddo (I) (Rep)_Choice Total,William Lightle (Dem)_Election Day Votes,William Lightle (Dem)_Advanced Voting Votes,William Lightle (Dem)_Absentee by Mail Votes,William Lightle (Dem)_Provisional Votes,William Lightle (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Blackrock,Fayette,2699.0,91.0,335.0,218.0,6.0,650.0,130.0,784.0,443.0,3.0,1360.0,2010.0,74.5,650.0,1360.0
Brooks,Fayette,2567.0,529.0,969.0,308.0,2.0,1808.0,35.0,116.0,135.0,0.0,286.0,2094.0,81.6,1808.0,286.0
Europe,Fayette,3310.0,57.0,214.0,119.0,4.0,394.0,191.0,1168.0,723.0,12.0,2094.0,2488.0,75.2,394.0,2094.0
Fayetteville East,Fayette,2147.0,84.0,348.0,182.0,3.0,617.0,96.0,493.0,259.0,4.0,852.0,1469.0,68.4,617.0,852.0
Fayetteville West,Fayette,2362.0,130.0,452.0,173.0,0.0,755.0,79.0,541.0,297.0,1.0,918.0,1673.0,70.8,755.0,918.0
Flint,Fayette,1732.0,133.0,245.0,122.0,0.0,500.0,86.0,475.0,217.0,0.0,778.0,1278.0,73.8,500.0,778.0
Hopeful,Fayette,2309.0,157.0,374.0,114.0,0.0,645.0,142.0,525.0,349.0,0.0,1016.0,1661.0,71.9,645.0,1016.0
Morning Creek,Fayette,3059.0,114.0,543.0,318.0,1.0,976.0,147.0,718.0,460.0,1.0,1326.0,2302.0,75.3,976.0,1326.0
Rareover,Fayette,3045.0,151.0,1219.0,213.0,3.0,1586.0,54.0,497.0,159.0,0.0,710.0,2296.0,75.4,1586.0,710.0
Sandy Creek,Fayette,4848.0,144.0,984.0,253.0,2.0,1383.0,169.0,1405.0,536.0,4.0,2114.0,3497.0,72.1,1383.0,2114.0
Shakerag East,Fayette,1689.0,191.0,482.0,132.0,2.0,807.0,63.0,228.0,135.0,0.0,426.0,1233.0,73.0,807.0,426.0
Shakerag West,Fayette,1236.0,54.0,493.0,139.0,1.0,687.0,18.0,191.0,130.0,1.0,340.0,1027.0,83.1,687.0,340.0
Starrsmill,Fayette,3572.0,395.0,1163.0,396.0,0.0,1954.0,79.0,237.0,204.0,0.0,520.0,2474.0,69.3,1954.0,520.0
Whitewater,Fayette,3564.0,308.0,1316.0,427.0,3.0,2054.0,71.0,454.0,266.0,4.0,795.0,2849.0,79.9,2054.0,795.0
Woolsey,Fayette,2542.0,332.0,938.0,362.0,0.0,1632.0,38.0,174.0,185.0,0.0,397.0,2029.0,79.8,1632.0,397.0
McIntosh,Fayette,3323.0,209.0,1176.0,342.0,2.0,1729.0,53.0,478.0,305.0,0.0,836.0,2565.0,77.2,1729.0,836.0
Oak Grove,Fayette,1344.0,124.0,447.0,101.0,1.0,673.0,51.0,188.0,109.0,0.0,348.0,1021.0,76.0,673.0,348.0
Kedron,Fayette,4862.0,333.0,1374.0,394.0,1.0,2102.0,182.0,886.0,473.0,2.0,1543.0,3645.0,75.0,2102.0,1543.0
Aberdeen,Fayette,1805.0,134.0,616.0,169.0,0.0,919.0,47.0,260.0,115.0,0.0,422.0,1341.0,74.3,919.0,422.0
Windgate,Fayette,1011.0,118.0,345.0,75.0,2.0,540.0,30.0,142.0,73.0,0.0,245.0,785.0,77.6,540.0,245.0
Flat Creek,Fayette,2117.0,168.0,537.0,215.0,3.0,923.0,93.0,296.0,151.0,1.0,541.0,1464.0,69.2,923.0,541.0
Braelinn,Fayette,1876.0,189.0,788.0,216.0,2.0,1195.0,30.0,162.0,102.0,0.0,294.0,1489.0,79.4,1195.0,294.0
Kenwood,Fayette,1014.0,50.0,87.0,46.0,0.0,183.0,88.0,296.0,202.0,2.0,588.0,771.0,76.0,183.0,588.0
Banks,Fayette,1624.0,132.0,278.0,176.0,0.0,586.0,99.0,287.0,205.0,0.0,591.0,1177.0,72.5,586.0,591.0
Harps Crossing,Fayette,1646.0,151.0,491.0,199.0,2.0,843.0,55.0,223.0,135.0,1.0,414.0,1257.0,76.4,843.0,414.0
Willow Pond,Fayette,3100.0,217.0,749.0,264.0,8.0,1238.0,106.0,583.0,383.0,1.0,1073.0,2311.0,74.5,1238.0,1073.0
Dogwood,Fayette,3092.0,231.0,1036.0,323.0,3.0,1593.0,80.0,517.0,273.0,0.0,870.0,2463.0,79.7,1593.0,870.0
Oak Ridge,Fayette,2225.0,137.0,347.0,212.0,2.0,698.0,109.0,479.0,354.0,4.0,946.0,1644.0,73.9,698.0,946.0
Jeff Davis,Fayette,2876.0,81.0,416.0,205.0,3.0,705.0,115.0,711.0,359.0,4.0,1189.0,1894.0,65.9,705.0,1189.0
Murphy,Fayette,3224.0,161.0,760.0,338.0,3.0,1262.0,104.0,671.0,403.0,1.0,1179.0,2441.0,75.7,1262.0,1179.0
Fielding Ridge,Fayette,3497.0,279.0,1235.0,274.0,0.0,1788.0,80.0,541.0,330.0,0.0,951.0,2739.0,78.3,1788.0,951.0
Willowbend,Fayette,2007.0,147.0,702.0,175.0,0.0,1024.0,57.0,276.0,140.0,0.0,473.0,1497.0,74.6,1024.0,473.0
Camp Creek,Fayette,1895.0,158.0,709.0,190.0,1.0,1058.0,35.0,239.0,143.0,1.0,418.0,1476.0,77.9,1058.0,418.0
Rising Star,Fayette,3833.0,365.0,1696.0,376.0,1.0,2438.0,78.0,529.0,286.0,1.0,894.0,3332.0,86.9,2438.0,894.0
Spring Hill,Fayette,3299.0,130.0,746.0,274.0,0.0,1150.0,93.0,789.0,450.0,1.0,1333.0,2483.0,75.3,1150.0,1333.0
Antioch,Fayette,1956.0,261.0,462.0,181.0,0.0,904.0,91.0,265.0,183.0,0.0,539.0,1443.0,73.8,904.0,539.0
