Precinct,County,Registered Voters,Marshall Fontaine (Rep)_Election Day Votes,Marshall Fontaine (Rep)_Advanced Voting Votes,Marshall Fontaine (Rep)_Absentee by Mail Votes,Marshall Fontaine (Rep)_Provisional Votes,Marshall Fontaine (Rep)_Choice Total,Clifton Holloman (Dem)_Election Day Votes,Clifton Holloman (Dem)_Advanced Voting Votes,Clifton Holloman (Dem)_Absentee by Mail Votes,Clifton Holloman (Dem)_Provisional Votes,Clifton Holloman (Dem)_Choice Total,Total,Steven Taylor (I) (Rep)_Election Day Votes,Steven Taylor (I) (Rep)_Advanced Voting Votes,Steven Taylor (I) (Rep)_Absentee by Mail Votes,Steven Taylor (I) (Rep)_Provisional Votes,Steven Taylor (I) (Rep)_Choice Total,Bill McClellan (Rep)_Election Day Votes,Bill McClellan (Rep)_Advanced Voting Votes,Bill McClellan (Rep)_Absentee by Mail Votes,Bill McClellan (Rep)_Provisional Votes,Bill McClellan (Rep)_Choice Total,Cliff Bradshaw (I) (Rep)_Election Day Votes,Cliff Bradshaw (I) (Rep)_Advanced Voting Votes,Cliff Bradshaw (I) (Rep)_Absentee by Mail Votes,Cliff Bradshaw (I) (Rep)_Provisional Votes,Cliff Bradshaw (I) (Rep)_Choice Total,calc_participation
Pineknot,Marion,971.0,301.0,228.0,64.0,0.0,593.0,13.0,32.0,24.0,0.0,69.0,662.0,,,,,,,,,,,,,,,,68.2
Buena Vista,Marion,2343.0,99.0,545.0,151.0,0.0,795.0,165.0,482.0,328.0,0.0,975.0,1770.0,,,,,,,,,,,,,,,,75.5
Tazewell,Marion,320.0,107.0,95.0,22.0,0.0,224.0,12.0,10.0,11.0,0.0,33.0,257.0,,,,,,,,,,,,,,,,80.3
Brantley,Marion,396.0,74.0,157.0,43.0,0.0,274.0,6.0,14.0,12.0,0.0,32.0,306.0,,,,,,,,,,,,,,,,77.3
Fort Perry,Marion,883.0,168.0,229.0,69.0,0.0,466.0,33.0,37.0,38.0,0.0,108.0,574.0,,,,,,,,,,,,,,,,65.0
East,Ben Hill,3956.0,,,,,,,,,,,1867.0,249.0,1276.0,342.0,0.0,1867.0,,,,,,,,,,,47.2
West,Ben Hill,5898.0,,,,,,,,,,,3519.0,398.0,2565.0,556.0,0.0,3519.0,,,,,,,,,,,59.7
Precinct One,Schley,2882.0,,,,,,,,,,,1992.0,,,,,,347.0,1406.0,238.0,1.0,1992.0,,,,,,69.1
Young Harris,Towns,3323.0,,,,,,,,,,,2176.0,,,,,,,,,,,406.0,1285.0,484.0,1.0,2176.0,65.5
Macedonia,Towns,3828.0,,,,,,,,,,,2481.0,,,,,,,,,,,346.0,1608.0,526.0,1.0,2481.0,64.8
Hiawassee,Towns,3542.0,,,,,,,,,,,2360.0,,,,,,,,,,,281.0,1539.0,536.0,4.0,2360.0,66.6
