Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
Allgood Elem,DeKalb,2858.0,235.0,863.0,536.0,2.0,1636.0,31.0,73.0,90.0,1.0,195.0,1831.0,64.1
Ashford Park Elem,DeKalb,2432.0,203.0,731.0,414.0,1.0,1349.0,64.0,227.0,112.0,0.0,403.0,1752.0,72.0
Austin,DeKalb,2538.0,218.0,859.0,565.0,3.0,1645.0,58.0,167.0,116.0,0.0,341.0,1986.0,78.3
Avondale,DeKalb,2906.0,322.0,915.0,742.0,1.0,1980.0,79.0,151.0,116.0,0.0,346.0,2326.0,80.0
Austin Drive,DeKalb,2536.0,189.0,594.0,381.0,10.0,1174.0,22.0,54.0,75.0,3.0,154.0,1328.0,52.4
Ashford Dunwoody Rd,DeKalb,2966.0,187.0,1017.0,578.0,5.0,1787.0,61.0,276.0,137.0,1.0,475.0,2262.0,76.3
Ashford Parkside,DeKalb,3664.0,200.0,1040.0,793.0,5.0,2038.0,60.0,252.0,140.0,1.0,453.0,2491.0,68.0
Avondale High,DeKalb,3151.0,124.0,1059.0,849.0,3.0,2035.0,29.0,139.0,125.0,0.0,293.0,2328.0,73.9
Boulevard,DeKalb,4675.0,239.0,1697.0,1072.0,3.0,3011.0,41.0,160.0,123.0,0.0,324.0,3335.0,71.3
Briar Vista Elem,DeKalb,2965.0,198.0,787.0,746.0,1.0,1732.0,52.0,125.0,117.0,0.0,294.0,2026.0,68.3
Briarlake Elem,DeKalb,1752.0,155.0,540.0,458.0,0.0,1153.0,40.0,104.0,77.0,0.0,221.0,1374.0,78.4
Briarwood,DeKalb,2428.0,168.0,730.0,428.0,4.0,1330.0,47.0,179.0,82.0,0.0,308.0,1638.0,67.5
Brockett Elem,DeKalb,2752.0,172.0,831.0,576.0,6.0,1585.0,30.0,141.0,75.0,1.0,247.0,1832.0,66.6
Briarcliff,DeKalb,3122.0,184.0,773.0,751.0,5.0,1713.0,52.0,135.0,156.0,2.0,345.0,2058.0,65.9
Brockett,DeKalb,2681.0,270.0,802.0,509.0,3.0,1584.0,49.0,96.0,94.0,2.0,241.0,1825.0,68.1
Brookhaven,DeKalb,3444.0,265.0,1101.0,600.0,2.0,1968.0,87.0,288.0,142.0,0.0,517.0,2485.0,72.2
Browns Mill Elem,DeKalb,3829.0,275.0,1344.0,732.0,6.0,2357.0,41.0,139.0,143.0,0.0,323.0,2680.0,70.0
Bouldercrest Road,DeKalb,2004.0,157.0,715.0,296.0,2.0,1170.0,12.0,72.0,56.0,0.0,140.0,1310.0,65.4
Bethune Middle,DeKalb,4838.0,311.0,1256.0,830.0,17.0,2414.0,34.0,131.0,139.0,2.0,306.0,2720.0,56.2
Burgess Elem,DeKalb,3493.0,178.0,1225.0,792.0,6.0,2201.0,27.0,118.0,89.0,1.0,235.0,2436.0,69.7
Columbia Drive,DeKalb,2526.0,203.0,533.0,383.0,7.0,1126.0,22.0,62.0,77.0,1.0,162.0,1288.0,51.0
Canby Lane Elem,DeKalb,2004.0,212.0,483.0,346.0,9.0,1050.0,22.0,68.0,83.0,0.0,173.0,1223.0,61.0
Columbia Elem,DeKalb,1794.0,133.0,306.0,203.0,8.0,650.0,14.0,28.0,30.0,2.0,74.0,724.0,40.4
Cedar Grove Elem,DeKalb,4097.0,274.0,1347.0,650.0,9.0,2280.0,37.0,151.0,108.0,1.0,297.0,2577.0,62.9
Chamblee,DeKalb,2231.0,164.0,724.0,349.0,1.0,1238.0,46.0,139.0,68.0,1.0,254.0,1492.0,66.9
Candler-Murphey Candler Elem,DeKalb,3712.0,288.0,1308.0,541.0,5.0,2142.0,20.0,149.0,99.0,2.0,270.0,2412.0,65.0
Chapel Hill Elem,DeKalb,3349.0,251.0,1101.0,582.0,6.0,1940.0,21.0,116.0,117.0,1.0,255.0,2195.0,65.5
Chesnut Elem,DeKalb,2363.0,229.0,762.0,356.0,2.0,1349.0,30.0,132.0,54.0,0.0,216.0,1565.0,66.2
Clairemont West,DeKalb,3264.0,136.0,1081.0,994.0,3.0,2214.0,36.0,164.0,139.0,0.0,339.0,2553.0,78.2
Clairmont Road,DeKalb,3223.0,189.0,845.0,843.0,4.0,1881.0,42.0,108.0,139.0,1.0,290.0,2171.0,67.4
