Precinct,County,Registered Voters,Rosemary M. Greene (I) (Rep)_Election Day Votes,Rosemary M. Greene (I) (Rep)_Advanced Voting Votes,Rosemary M. Greene (I) (Rep)_Absentee by Mail Votes,Rosemary M. Greene (I) (Rep)_Provisional Votes,Rosemary M. Greene (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Sugar Valley,Gordon,1471.0,431.0,368.0,110.0,1.0,910.0,910.0,61.9,910.0
Plainville,Gordon,2044.0,547.0,464.0,158.0,3.0,1172.0,1172.0,57.3,1172.0
Sonoraville,Gordon,5380.0,1167.0,1736.0,441.0,1.0,3345.0,3345.0,62.2,3345.0
Pine Chapel,Gordon,1071.0,320.0,265.0,69.0,0.0,654.0,654.0,61.1,654.0
Oostanaula,Gordon,667.0,222.0,123.0,73.0,0.0,418.0,418.0,62.7,418.0
Oakman,Gordon,1439.0,444.0,255.0,96.0,0.0,795.0,795.0,55.2,795.0
Gordon County,Gordon,6423.0,900.0,2021.0,542.0,1.0,3464.0,3464.0,53.9,3464.0
Calhoun City,Gordon,9532.0,1128.0,2985.0,887.0,2.0,5002.0,5002.0,52.5,5002.0
Lily Pond,Gordon,1914.0,369.0,596.0,164.0,0.0,1129.0,1129.0,59.0,1129.0
Fairmount,Gordon,1991.0,684.0,350.0,183.0,2.0,1219.0,1219.0,61.2,1219.0
Red Bud,Gordon,2965.0,653.0,937.0,182.0,1.0,1773.0,1773.0,59.8,1773.0
Resaca,Gordon,1532.0,408.0,341.0,115.0,0.0,864.0,864.0,56.4,864.0
Adairsville,Bartow,6995.0,900.0,2638.0,644.0,1.0,4183.0,4183.0,59.8,4183.0
Allatoona,Bartow,4729.0,631.0,1284.0,383.0,0.0,2298.0,2298.0,48.6,2298.0
Cartersville East,Bartow,6805.0,733.0,2086.0,798.0,1.0,3618.0,3618.0,53.2,3618.0
Cartersville West,Bartow,8129.0,709.0,3195.0,1048.0,1.0,4953.0,4953.0,60.9,4953.0
Cassville,Bartow,4588.0,505.0,1469.0,787.0,2.0,2763.0,2763.0,60.2,2763.0
Center,Bartow,4007.0,728.0,1369.0,487.0,2.0,2586.0,2586.0,64.5,2586.0
Emerson,Bartow,3122.0,636.0,808.0,319.0,1.0,1764.0,1764.0,56.5,1764.0
Euharlee,Bartow,5322.0,939.0,1859.0,497.0,1.0,3296.0,3296.0,61.9,3296.0
Folsom,Bartow,1448.0,413.0,377.0,133.0,0.0,923.0,923.0,63.7,923.0
Hamilton Crossing,Bartow,6598.0,805.0,2402.0,467.0,1.0,3675.0,3675.0,55.7,3675.0
Kingston,Bartow,2674.0,679.0,718.0,262.0,0.0,1659.0,1659.0,62.0,1659.0
Mission Road,Bartow,4012.0,495.0,1422.0,440.0,4.0,2361.0,2361.0,58.8,2361.0
Pine Log,Bartow,2132.0,666.0,546.0,223.0,0.0,1435.0,1435.0,67.3,1435.0
Taylorsville,Bartow,2829.0,811.0,826.0,284.0,0.0,1921.0,1921.0,67.9,1921.0
White,Bartow,2723.0,681.0,777.0,272.0,1.0,1731.0,1731.0,63.6,1731.0
Zena Drive,Bartow,6431.0,672.0,1721.0,634.0,5.0,3032.0,3032.0,47.1,3032.0
Woodland,Bartow,1865.0,335.0,561.0,224.0,1.0,1121.0,1121.0,60.1,1121.0
