Precinct,County,Registered Voters,Leigh E. Patterson (I) (Rep)_Election Day Votes,Leigh E. Patterson (I) (Rep)_Advanced Voting Votes,Leigh E. Patterson (I) (Rep)_Absentee by Mail Votes,Leigh E. Patterson (I) (Rep)_Provisional Votes,Leigh E. Patterson (I) (Rep)_Choice Total,Total,calc_participation
Alto Park,Floyd,3360.0,380.0,1266.0,406.0,9.0,2061.0,2061.0,61.3
Armuchee,Floyd,1269.0,288.0,417.0,125.0,2.0,832.0,832.0,65.6
Barkers,Floyd,2355.0,417.0,986.0,218.0,6.0,1627.0,1627.0,69.1
Cave Spring,Floyd,1617.0,457.0,358.0,170.0,2.0,987.0,987.0,61.0
Chulio,Floyd,1155.0,294.0,357.0,117.0,11.0,779.0,779.0,67.4
Etowah,Floyd,4946.0,628.0,2075.0,529.0,8.0,3240.0,3240.0,65.5
Everett Springs,Floyd,421.0,181.0,77.0,39.0,3.0,300.0,300.0,71.3
Floyd Springs,Floyd,1666.0,414.0,606.0,162.0,23.0,1205.0,1205.0,72.3
Fosters Mill,Floyd,971.0,288.0,287.0,76.0,0.0,651.0,651.0,67.0
Garden Lakes,Floyd,2261.0,268.0,729.0,249.0,6.0,1252.0,1252.0,55.4
Glenwood,Floyd,3635.0,564.0,1163.0,366.0,1.0,2094.0,2094.0,57.6
Howell,Floyd,1492.0,419.0,438.0,137.0,1.0,995.0,995.0,66.7
East Lindale,Floyd,3398.0,490.0,1219.0,352.0,2.0,2063.0,2063.0,60.7
Mt Alto North,Floyd,5096.0,413.0,1586.0,510.0,11.0,2520.0,2520.0,49.5
Mt Alto South,Floyd,3923.0,435.0,1178.0,400.0,5.0,2018.0,2018.0,51.4
North Carolina,Floyd,1865.0,293.0,620.0,157.0,4.0,1074.0,1074.0,57.6
Riverside,Floyd,826.0,168.0,244.0,63.0,4.0,479.0,479.0,58.0
East Rome,Floyd,4238.0,368.0,1148.0,435.0,4.0,1955.0,1955.0,46.1
North Rome,Floyd,3369.0,232.0,877.0,471.0,7.0,1587.0,1587.0,47.1
South Rome,Floyd,1600.0,116.0,267.0,139.0,3.0,525.0,525.0,32.8
Texas Valley,Floyd,762.0,264.0,228.0,76.0,6.0,574.0,574.0,75.3
Vanns Valley,Floyd,896.0,159.0,222.0,97.0,3.0,481.0,481.0,53.7
Watters,Floyd,3566.0,702.0,1282.0,322.0,10.0,2316.0,2316.0,64.9
West Lindale,Floyd,2929.0,519.0,916.0,250.0,0.0,1685.0,1685.0,57.5
Town Rome,Floyd,3034.0,251.0,890.0,346.0,2.0,1489.0,1489.0,49.1
