Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
HARBINS A,Gwinnett,7182.0,564.0,2234.0,934.0,8.0,3740.0,142.0,820.0,342.0,1.0,1305.0,5045.0,70.2
ROCKBRIDGE A,Gwinnett,3987.0,283.0,1219.0,560.0,1.0,2063.0,78.0,321.0,213.0,0.0,612.0,2675.0,67.1
DACULA,Gwinnett,4777.0,387.0,1473.0,632.0,2.0,2494.0,96.0,521.0,174.0,0.0,791.0,3285.0,68.8
SUWANEE A,Gwinnett,1737.0,156.0,526.0,232.0,1.0,915.0,52.0,134.0,85.0,0.0,271.0,1186.0,68.3
BAYCREEK A,Gwinnett,2720.0,276.0,782.0,506.0,0.0,1564.0,102.0,260.0,129.0,0.0,491.0,2055.0,75.6
GOODWINS A,Gwinnett,3921.0,414.0,1029.0,565.0,1.0,2009.0,144.0,311.0,194.0,1.0,650.0,2659.0,67.8
DULUTH A,Gwinnett,5042.0,345.0,1427.0,1015.0,1.0,2788.0,108.0,472.0,291.0,1.0,872.0,3660.0,72.6
DUNCANS A,Gwinnett,4729.0,360.0,1577.0,714.0,1.0,2652.0,122.0,672.0,219.0,1.0,1014.0,3666.0,77.5
PUCKETTS A,Gwinnett,5692.0,344.0,1962.0,795.0,0.0,3101.0,120.0,791.0,294.0,1.0,1206.0,4307.0,75.7
CATES A,Gwinnett,2387.0,208.0,597.0,407.0,1.0,1213.0,76.0,216.0,146.0,0.0,438.0,1651.0,69.2
BERKSHIRE A,Gwinnett,2555.0,333.0,534.0,303.0,0.0,1170.0,96.0,119.0,98.0,1.0,314.0,1484.0,58.1
BERKSHIRE B,Gwinnett,5338.0,321.0,1498.0,870.0,5.0,2694.0,88.0,382.0,241.0,2.0,713.0,3407.0,63.8
DUNCANS C,Gwinnett,3040.0,290.0,1002.0,414.0,1.0,1707.0,128.0,427.0,139.0,0.0,694.0,2401.0,79.0
GARNERS A,Gwinnett,3520.0,255.0,1105.0,676.0,1.0,2037.0,82.0,375.0,163.0,0.0,620.0,2657.0,75.5
LAWRENCEVILLE A,Gwinnett,3635.0,319.0,832.0,465.0,3.0,1619.0,98.0,273.0,137.0,0.0,508.0,2127.0,58.5
LAWRENCEVILLE B,Gwinnett,5097.0,273.0,1644.0,699.0,3.0,2619.0,81.0,443.0,248.0,0.0,772.0,3391.0,66.5
MARTINS A,Gwinnett,3303.0,381.0,826.0,375.0,5.0,1587.0,76.0,162.0,118.0,1.0,357.0,1944.0,58.9
MARTINS B,Gwinnett,3001.0,316.0,789.0,390.0,0.0,1495.0,84.0,189.0,106.0,1.0,380.0,1875.0,62.5
MARTINS C,Gwinnett,2549.0,288.0,616.0,393.0,3.0,1300.0,106.0,191.0,111.0,1.0,409.0,1709.0,67.0
PINCKNEYVILLE A,Gwinnett,2791.0,360.0,601.0,316.0,2.0,1279.0,78.0,136.0,82.0,3.0,299.0,1578.0,56.5
PINCKNEYVILLE B,Gwinnett,3485.0,327.0,818.0,386.0,6.0,1537.0,85.0,157.0,100.0,0.0,342.0,1879.0,53.9
PINCKNEYVILLE C,Gwinnett,2082.0,251.0,461.0,471.0,3.0,1186.0,113.0,150.0,130.0,1.0,394.0,1580.0,75.9
PINCKNEYVILLE D,Gwinnett,2264.0,298.0,461.0,232.0,5.0,996.0,46.0,107.0,53.0,0.0,206.0,1202.0,53.1
SUGAR HILL A,Gwinnett,4654.0,531.0,1175.0,599.0,4.0,2309.0,126.0,317.0,159.0,0.0,602.0,2911.0,62.5
SUGAR HILL B,Gwinnett,5596.0,577.0,1548.0,701.0,9.0,2835.0,214.0,545.0,252.0,6.0,1017.0,3852.0,68.8
HOG MOUNTAIN A,Gwinnett,5011.0,495.0,1427.0,740.0,2.0,2664.0,143.0,365.0,161.0,0.0,669.0,3333.0,66.5
HOG MOUNTAIN B,Gwinnett,4583.0,390.0,1263.0,729.0,3.0,2385.0,167.0,542.0,284.0,1.0,994.0,3379.0,73.7
ROCKYCREEK A,Gwinnett,5939.0,522.0,1904.0,733.0,3.0,3162.0,213.0,678.0,264.0,0.0,1155.0,4317.0,72.7
CATES B,Gwinnett,1587.0,173.0,437.0,272.0,2.0,884.0,54.0,128.0,83.0,0.0,265.0,1149.0,72.4
CATES C,Gwinnett,2903.0,258.0,838.0,447.0,1.0,1544.0,93.0,236.0,144.0,2.0,475.0,2019.0,69.5
HOG MOUNTAIN D,Gwinnett,3179.0,301.0,836.0,471.0,1.0,1609.0,128.0,307.0,148.0,1.0,584.0,2193.0,69.0
BERKSHIRE D,Gwinnett,2945.0,192.0,842.0,647.0,3.0,1684.0,76.0,238.0,141.0,1.0,456.0,2140.0,72.7
BERKSHIRE E,Gwinnett,1997.0,177.0,603.0,370.0,1.0,1151.0,62.0,203.0,107.0,0.0,372.0,1523.0,76.3
BERKSHIRE F,Gwinnett,2254.0,268.0,477.0,314.0,1.0,1060.0,85.0,109.0,107.0,0.0,301.0,1361.0,60.4
CATES D,Gwinnett,3755.0,313.0,1103.0,656.0,0.0,2072.0,99.0,339.0,204.0,1.0,643.0,2715.0,72.3
CATES E,Gwinnett,2942.0,265.0,880.0,625.0,2.0,1772.0,98.0,264.0,143.0,0.0,505.0,2277.0,77.4
PINCKNEYVILLE E,Gwinnett,2184.0,278.0,507.0,269.0,8.0,1062.0,65.0,79.0,50.0,1.0,195.0,1257.0,57.6
PINCKNEYVILLE F,Gwinnett,2546.0,282.0,539.0,313.0,2.0,1136.0,65.0,152.0,83.0,1.0,301.0,1437.0,56.4
DUNCANS D,Gwinnett,7153.0,653.0,2096.0,958.0,1.0,3708.0,252.0,915.0,378.0,1.0,1546.0,5254.0,73.5
PINCKNEYVILLE H,Gwinnett,4536.0,416.0,1196.0,916.0,3.0,2531.0,148.0,410.0,272.0,1.0,831.0,3362.0,74.1
BAYCREEK B,Gwinnett,5969.0,526.0,1853.0,761.0,8.0,3148.0,164.0,480.0,247.0,2.0,893.0,4041.0,67.7
LAWRENCEVILLE C,Gwinnett,3037.0,315.0,798.0,445.0,1.0,1559.0,114.0,286.0,143.0,0.0,543.0,2102.0,69.2
MARTINS D,Gwinnett,2402.0,319.0,472.0,269.0,2.0,1062.0,41.0,96.0,86.0,0.0,223.0,1285.0,53.5
ROCKBRIDGE B,Gwinnett,4177.0,340.0,1153.0,579.0,1.0,2073.0,96.0,318.0,154.0,0.0,568.0,2641.0,63.2
GARNERS B,Gwinnett,3178.0,237.0,925.0,509.0,2.0,1673.0,66.0,315.0,168.0,1.0,550.0,2223.0,69.9
CATES F,Gwinnett,1787.0,225.0,462.0,335.0,2.0,1024.0,89.0,141.0,94.0,0.0,324.0,1348.0,75.4
CATES G,Gwinnett,2875.0,235.0,920.0,604.0,0.0,1759.0,88.0,272.0,166.0,0.0,526.0,2285.0,79.5
DULUTH B,Gwinnett,3551.0,323.0,771.0,652.0,4.0,1750.0,119.0,269.0,218.0,0.0,606.0,2356.0,66.3
