Precinct,County,Registered Voters,Reginald Thompson (Dem)_Election Day Votes,Reginald Thompson (Dem)_Advanced Voting Votes,Reginald Thompson (Dem)_Absentee by Mail Votes,Reginald Thompson (Dem)_Provisional Votes,Reginald Thompson (Dem)_Choice Total,Total,calc_participation,Dem_total
Wynnton/Britt,Muscogee,5289.0,401.0,1346.0,837.0,0.0,2584.0,2584.0,48.9,2584.0
Carver/Mack,Muscogee,4374.0,265.0,1156.0,838.0,0.0,2259.0,2259.0,51.6,2259.0
St John/Belvedere,Muscogee,5341.0,294.0,1749.0,1165.0,2.0,3210.0,3210.0,60.1,3210.0
Britt David,Muscogee,2747.0,328.0,680.0,325.0,0.0,1333.0,1333.0,48.5,1333.0
St Peter,Muscogee,3265.0,362.0,851.0,452.0,1.0,1666.0,1666.0,51.0,1666.0
Cornerstone,Muscogee,6684.0,632.0,1814.0,871.0,1.0,3318.0,3318.0,49.6,3318.0
Columbus Tech,Muscogee,4464.0,387.0,793.0,421.0,0.0,1601.0,1601.0,35.9,1601.0
St Mark/Heiferhorn,Muscogee,6492.0,489.0,2034.0,969.0,8.0,3500.0,3500.0,53.9,3500.0
Wynnbrook,Muscogee,2692.0,214.0,786.0,518.0,0.0,1518.0,1518.0,56.4,1518.0
Cusseta Rd,Muscogee,6169.0,556.0,1231.0,853.0,3.0,2643.0,2643.0,42.8,2643.0
Our Lady of Lourdes,Muscogee,10204.0,721.0,1836.0,1384.0,3.0,3944.0,3944.0,38.7,3944.0
Mt Pilgrim,Muscogee,6022.0,459.0,1907.0,1171.0,1.0,3538.0,3538.0,58.8,3538.0
Faith Tabernacle,Muscogee,4461.0,377.0,1437.0,859.0,0.0,2673.0,2673.0,59.9,2673.0
Canaan,Muscogee,7078.0,486.0,1938.0,1173.0,0.0,3597.0,3597.0,50.8,3597.0
Holsey/Buena Vista,Muscogee,7613.0,505.0,2356.0,1312.0,0.0,4173.0,4173.0,54.8,4173.0
Gentian/Reese,Muscogee,5612.0,491.0,1477.0,783.0,0.0,2751.0,2751.0,49.0,2751.0
St Paul/Clubview,Muscogee,5677.0,454.0,1725.0,839.0,0.0,3018.0,3018.0,53.2,3018.0
Moon/Morningside,Muscogee,5415.0,528.0,1398.0,765.0,1.0,2692.0,2692.0,49.7,2692.0
St Andrews/Midland,Muscogee,7959.0,730.0,2322.0,1262.0,0.0,4314.0,4314.0,54.2,4314.0
Salvation Army,Muscogee,3192.0,323.0,881.0,447.0,0.0,1651.0,1651.0,51.7,1651.0
First African,Muscogee,1955.0,135.0,346.0,274.0,4.0,759.0,759.0,38.8,759.0
Epworth UMC,Muscogee,4512.0,413.0,909.0,523.0,0.0,1845.0,1845.0,40.9,1845.0
Marianna Gallops,Muscogee,3095.0,252.0,592.0,358.0,5.0,1207.0,1207.0,39.0,1207.0
Edgewood Baptist,Muscogee,3235.0,270.0,923.0,497.0,4.0,1694.0,1694.0,52.4,1694.0
Psalmond/Mathews,Muscogee,7331.0,458.0,2499.0,1271.0,1.0,4229.0,4229.0,57.7,4229.0
