Precinct,County,Registered Voters,Deetra Denise Poindexter_Election Day Votes,Deetra Denise Poindexter_Advanced Voting Votes,Deetra Denise Poindexter_Absentee by Mail Votes,Deetra Denise Poindexter_Provisional Votes,Deetra Denise Poindexter_Choice Total,Total,calc_participation
Ellenwood 1,Clayton,3020.0,213.0,1071.0,568.0,5.0,1857.0,1857.0,61.5
Ellenwood 2,Clayton,3273.0,235.0,1230.0,525.0,4.0,1994.0,1994.0,60.9
Forest Park 1,Clayton,3566.0,410.0,503.0,355.0,8.0,1276.0,1276.0,35.8
Forest Park 2,Clayton,2821.0,303.0,525.0,359.0,8.0,1195.0,1195.0,42.4
Forest Park 3,Clayton,2845.0,259.0,454.0,331.0,16.0,1060.0,1060.0,37.3
Forest Park 4,Clayton,1783.0,188.0,389.0,189.0,0.0,766.0,766.0,43.0
Forest Park 5,Clayton,3924.0,395.0,735.0,370.0,16.0,1516.0,1516.0,38.6
Forest Park 6,Clayton,1463.0,127.0,356.0,138.0,2.0,623.0,623.0,42.6
Jonesboro 1,Clayton,3244.0,279.0,892.0,560.0,6.0,1737.0,1737.0,53.5
Jonesboro 2,Clayton,4345.0,368.0,1167.0,674.0,9.0,2218.0,2218.0,51.0
Jonesboro 3,Clayton,4107.0,289.0,1183.0,744.0,8.0,2224.0,2224.0,54.2
Jonesboro 4,Clayton,2574.0,226.0,501.0,262.0,5.0,994.0,994.0,38.6
Jonesboro 5,Clayton,2064.0,252.0,541.0,295.0,0.0,1088.0,1088.0,52.7
Jonesboro 6,Clayton,2574.0,162.0,691.0,508.0,3.0,1364.0,1364.0,53.0
Jonesboro 7,Clayton,3174.0,280.0,909.0,477.0,6.0,1672.0,1672.0,52.7
Jonesboro 8,Clayton,3947.0,414.0,934.0,335.0,4.0,1687.0,1687.0,42.7
Jonesboro 9,Clayton,1759.0,152.0,309.0,184.0,2.0,647.0,647.0,36.8
Jonesboro 10,Clayton,3398.0,334.0,660.0,385.0,4.0,1383.0,1383.0,40.7
Jonesboro 11,Clayton,3863.0,290.0,1173.0,685.0,1.0,2149.0,2149.0,55.6
Jonesboro 12,Clayton,3067.0,304.0,792.0,385.0,9.0,1490.0,1490.0,48.6
Jonesboro 13,Clayton,2140.0,238.0,647.0,352.0,3.0,1240.0,1240.0,57.9
Jonesboro 14,Clayton,4116.0,284.0,1290.0,753.0,3.0,2330.0,2330.0,56.6
Jonesboro 15,Clayton,2872.0,243.0,628.0,238.0,6.0,1115.0,1115.0,38.8
Jonesboro 16,Clayton,2560.0,300.0,519.0,323.0,3.0,1145.0,1145.0,44.7
Jonesboro 17,Clayton,3359.0,300.0,727.0,476.0,9.0,1512.0,1512.0,45.0
Jonesboro 18,Clayton,3301.0,334.0,879.0,408.0,5.0,1626.0,1626.0,49.3
Jonesboro 19,Clayton,3299.0,291.0,816.0,462.0,9.0,1578.0,1578.0,47.8
Lake City,Clayton,3217.0,264.0,777.0,359.0,10.0,1410.0,1410.0,43.8
Lovejoy 1,Clayton,4061.0,317.0,1311.0,566.0,2.0,2196.0,2196.0,54.1
Lovejoy 2,Clayton,3611.0,258.0,1059.0,444.0,9.0,1770.0,1770.0,49.0
Lovejoy 3,Clayton,1666.0,124.0,605.0,349.0,2.0,1080.0,1080.0,64.8
Lovejoy 4,Clayton,4149.0,291.0,1453.0,593.0,3.0,2340.0,2340.0,56.4
Lovejoy 5,Clayton,3451.0,297.0,973.0,475.0,13.0,1758.0,1758.0,50.9
Lovejoy 6,Clayton,3708.0,282.0,1166.0,564.0,7.0,2019.0,2019.0,54.4
Lovejoy 7,Clayton,2779.0,228.0,761.0,201.0,5.0,1195.0,1195.0,43.0
