Precinct,County,Registered Voters,Robert Francis Gore_Election Day Votes,Robert Francis Gore_Advanced Voting Votes,Robert Francis Gore_Absentee by Mail Votes,Robert Francis Gore_Provisional Votes,Robert Francis Gore_Choice Total,Total,Jerry Holcomb (I)_Election Day Votes,Jerry Holcomb (I)_Advanced Voting Votes,Jerry Holcomb (I)_Absentee by Mail Votes,Jerry Holcomb (I)_Provisional Votes,Jerry Holcomb (I)_Choice Total,"H. Cecil Stafford, Jr. (I)_Election Day Votes","H. Cecil Stafford, Jr. (I)_Advanced Voting Votes","H. Cecil Stafford, Jr. (I)_Absentee by Mail Votes","H. Cecil Stafford, Jr. (I)_Provisional Votes","H. Cecil Stafford, Jr. (I)_Choice Total","Horace B. Waller, Jr. (I)_Election Day Votes","Horace B. Waller, Jr. (I)_Advanced Voting Votes","Horace B. Waller, Jr. (I)_Absentee by Mail Votes","Horace B. Waller, Jr. (I)_Provisional Votes","Horace B. Waller, Jr. (I)_Choice Total",calc_participation
Sapelo Island,McIntosh,53.0,7.0,9.0,8.0,0.0,24.0,24.0,,,,,,,,,,,,,,,,45.3
Townsend,McIntosh,564.0,77.0,115.0,138.0,0.0,330.0,330.0,,,,,,,,,,,,,,,,58.5
Crescent,McIntosh,1982.0,231.0,519.0,227.0,0.0,977.0,977.0,,,,,,,,,,,,,,,,49.3
Darien,McIntosh,2441.0,157.0,858.0,320.0,0.0,1335.0,1335.0,,,,,,,,,,,,,,,,54.7
South Newport,McIntosh,2095.0,303.0,682.0,326.0,1.0,1312.0,1312.0,,,,,,,,,,,,,,,,62.6
North Darien,McIntosh,2157.0,245.0,694.0,212.0,0.0,1151.0,1151.0,,,,,,,,,,,,,,,,53.4
Riceboro Youth Center,Liberty,1083.0,,,,,,506.0,86.0,265.0,155.0,0.0,506.0,,,,,,,,,,,46.7
Lyman Hall School,Liberty,4542.0,,,,,,1846.0,335.0,955.0,556.0,0.0,1846.0,,,,,,,,,,,40.6
Lewis Frasier School,Liberty,4317.0,,,,,,2172.0,282.0,1280.0,610.0,0.0,2172.0,,,,,,,,,,,50.3
Memorial Dr East,Liberty,1976.0,,,,,,797.0,121.0,410.0,263.0,3.0,797.0,,,,,,,,,,,40.3
Button Gwinnett,Liberty,2304.0,,,,,,430.0,129.0,192.0,109.0,0.0,430.0,,,,,,,,,,,18.7
Town of Allenhurst,Liberty,2398.0,,,,,,1214.0,190.0,702.0,322.0,0.0,1214.0,,,,,,,,,,,50.6
Hinesville,Liberty,1984.0,,,,,,843.0,123.0,496.0,224.0,0.0,843.0,,,,,,,,,,,42.5
Liberty County Complex,Liberty,4379.0,,,,,,2085.0,261.0,1337.0,487.0,0.0,2085.0,,,,,,,,,,,47.6
Walthourville,Liberty,3016.0,,,,,,1350.0,207.0,808.0,335.0,0.0,1350.0,,,,,,,,,,,44.8
