Precinct,County,Registered Voters,Dell F. McGregor_Election Day Votes,Dell F. McGregor_Advanced Voting Votes,Dell F. McGregor_Absentee by Mail Votes,Dell F. McGregor_Provisional Votes,Dell F. McGregor_Choice Total,Total,calc_participation
Allgood Elem,DeKalb,2858.0,241.0,805.0,553.0,2.0,1601.0,1601.0,56.0
Ashford Park Elem,DeKalb,2432.0,196.0,791.0,437.0,1.0,1425.0,1425.0,58.6
Austin,DeKalb,2538.0,217.0,822.0,527.0,2.0,1568.0,1568.0,61.8
Avondale,DeKalb,2906.0,286.0,921.0,693.0,1.0,1901.0,1901.0,65.4
Austin Drive,DeKalb,2536.0,190.0,562.0,420.0,12.0,1184.0,1184.0,46.7
Ashford Dunwoody Rd,DeKalb,2966.0,187.0,1056.0,555.0,5.0,1803.0,1803.0,60.8
Ashford Parkside,DeKalb,3664.0,219.0,1064.0,752.0,5.0,2040.0,2040.0,55.7
Avondale High,DeKalb,3151.0,119.0,1044.0,816.0,4.0,1983.0,1983.0,62.9
Boulevard,DeKalb,4675.0,235.0,1660.0,1017.0,3.0,2915.0,2915.0,62.4
Briar Vista Elem,DeKalb,2965.0,200.0,802.0,729.0,1.0,1732.0,1732.0,58.4
Briarlake Elem,DeKalb,1752.0,143.0,521.0,414.0,1.0,1079.0,1079.0,61.6
Briarwood,DeKalb,2428.0,182.0,782.0,437.0,2.0,1403.0,1403.0,57.8
Brockett Elem,DeKalb,2752.0,171.0,821.0,537.0,6.0,1535.0,1535.0,55.8
Briarcliff,DeKalb,3122.0,166.0,744.0,749.0,6.0,1665.0,1665.0,53.3
Brockett,DeKalb,2681.0,232.0,740.0,502.0,4.0,1478.0,1478.0,55.1
Brookhaven,DeKalb,3444.0,283.0,1200.0,621.0,2.0,2106.0,2106.0,61.1
Browns Mill Elem,DeKalb,3829.0,281.0,1316.0,777.0,6.0,2380.0,2380.0,62.2
Bouldercrest Road,DeKalb,2004.0,147.0,698.0,313.0,0.0,1158.0,1158.0,57.8
Bethune Middle,DeKalb,4838.0,310.0,1193.0,852.0,13.0,2368.0,2368.0,48.9
Burgess Elem,DeKalb,3493.0,182.0,1223.0,737.0,6.0,2148.0,2148.0,61.5
Columbia Drive,DeKalb,2526.0,203.0,527.0,417.0,8.0,1155.0,1155.0,45.7
Canby Lane Elem,DeKalb,2004.0,202.0,486.0,369.0,8.0,1065.0,1065.0,53.1
Columbia Elem,DeKalb,1794.0,134.0,293.0,204.0,7.0,638.0,638.0,35.6
Cedar Grove Elem,DeKalb,4097.0,277.0,1356.0,680.0,9.0,2322.0,2322.0,56.7
Chamblee,DeKalb,2231.0,172.0,764.0,359.0,3.0,1298.0,1298.0,58.2
Candler-Murphey Candler Elem,DeKalb,3712.0,277.0,1280.0,572.0,5.0,2134.0,2134.0,57.5
Chapel Hill Elem,DeKalb,3349.0,243.0,1105.0,605.0,7.0,1960.0,1960.0,58.5
Chesnut Elem,DeKalb,2363.0,217.0,793.0,349.0,1.0,1360.0,1360.0,57.6
Clairemont West,DeKalb,3264.0,124.0,1083.0,956.0,4.0,2167.0,2167.0,66.4
Clairmont Road,DeKalb,3223.0,190.0,851.0,839.0,5.0,1885.0,1885.0,58.5
Clarkston,DeKalb,3878.0,351.0,838.0,398.0,9.0,1596.0,1596.0,41.2
Clifton,DeKalb,1731.0,108.0,469.0,302.0,4.0,883.0,883.0,51.0
Columbia Middle,DeKalb,2178.0,140.0,557.0,298.0,6.0,1001.0,1001.0,46.0
Coan Recreation Center,DeKalb,4230.0,195.0,1425.0,808.0,1.0,2429.0,2429.0,57.4
Cross Keys High,DeKalb,2260.0,164.0,607.0,452.0,3.0,1226.0,1226.0,54.2
Crossroads,DeKalb,2898.0,229.0,781.0,571.0,4.0,1585.0,1585.0,54.7
Candler,DeKalb,3537.0,238.0,929.0,530.0,9.0,1706.0,1706.0,48.2
Cedar Grove Middle,DeKalb,1896.0,124.0,446.0,229.0,4.0,803.0,803.0,42.4
Cedar Grove South,DeKalb,3962.0,249.0,1437.0,663.0,4.0,2353.0,2353.0,59.4
Covington Hwy,DeKalb,995.0,49.0,90.0,55.0,5.0,199.0,199.0,20.0
Covington,DeKalb,2376.0,133.0,668.0,349.0,4.0,1154.0,1154.0,48.6
Clairemont East,DeKalb,3226.0,108.0,1051.0,1007.0,4.0,2170.0,2170.0,67.3
Coralwood,DeKalb,3153.0,158.0,998.0,872.0,3.0,2031.0,2031.0,64.4
Candler Park,DeKalb,4018.0,114.0,1539.0,1115.0,2.0,2770.0,2770.0,68.9
Clarkston Community Center,DeKalb,2495.0,215.0,550.0,346.0,7.0,1118.0,1118.0,44.8
Chamblee 2,DeKalb,3137.0,190.0,1185.0,598.0,0.0,1973.0,1973.0,62.9
Doraville North,DeKalb,3065.0,302.0,735.0,428.0,5.0,1470.0,1470.0,48.0
Doraville South,DeKalb,1255.0,127.0,315.0,196.0,2.0,640.0,640.0,51.0
Dresden Elem,DeKalb,5141.0,380.0,1357.0,867.0,5.0,2609.0,2609.0,50.7
Decatur,DeKalb,1937.0,84.0,807.0,396.0,0.0,1287.0,1287.0,66.4
Dunaire Elem,DeKalb,2268.0,178.0,570.0,367.0,7.0,1122.0,1122.0,49.5
Dunwoody,DeKalb,3003.0,171.0,953.0,534.0,7.0,1665.0,1665.0,55.4
Dunwoody 2,DeKalb,2044.0,122.0,716.0,347.0,3.0,1188.0,1188.0,58.1
Druid Hills High,DeKalb,2725.0,138.0,608.0,581.0,1.0,1328.0,1328.0,48.7
Dunwoody Library,DeKalb,2570.0,106.0,975.0,491.0,2.0,1574.0,1574.0,61.2
