Precinct,County,Registered Voters,Carol Field (Rep)_Election Day Votes,Carol Field (Rep)_Advanced Voting Votes,Carol Field (Rep)_Absentee by Mail Votes,Carol Field (Rep)_Provisional Votes,Carol Field (Rep)_Choice Total,Sam Park (I) (Dem)_Election Day Votes,Sam Park (I) (Dem)_Advanced Voting Votes,Sam Park (I) (Dem)_Absentee by Mail Votes,Sam Park (I) (Dem)_Provisional Votes,Sam Park (I) (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
GOODWINS A,Gwinnett,3921.0,289.0,539.0,223.0,0.0,1051.0,261.0,798.0,553.0,0.0,1612.0,2663.0,67.9,1051.0,1612.0
LAWRENCEVILLE A,Gwinnett,3635.0,169.0,472.0,259.0,0.0,900.0,232.0,634.0,387.0,0.0,1253.0,2153.0,59.2,900.0,1253.0
MARTINS A,Gwinnett,3303.0,48.0,83.0,36.0,1.0,168.0,106.0,250.0,128.0,0.0,484.0,652.0,19.7,168.0,484.0
MARTINS B,Gwinnett,3001.0,123.0,337.0,169.0,0.0,629.0,271.0,632.0,364.0,1.0,1268.0,1897.0,63.2,629.0,1268.0
LAWRENCEVILLE E,Gwinnett,2355.0,161.0,378.0,246.0,1.0,786.0,148.0,398.0,312.0,0.0,858.0,1644.0,69.8,786.0,858.0
GOODWINS C,Gwinnett,5804.0,295.0,593.0,310.0,0.0,1198.0,417.0,1242.0,910.0,0.0,2569.0,3767.0,64.9,1198.0,2569.0
DULUTH F,Gwinnett,6161.0,61.0,175.0,131.0,0.0,367.0,158.0,587.0,447.0,8.0,1200.0,1567.0,25.4,367.0,1200.0
GOODWINS E,Gwinnett,5491.0,410.0,823.0,391.0,1.0,1625.0,339.0,1070.0,797.0,0.0,2206.0,3831.0,69.8,1625.0,2206.0
GOODWINS F,Gwinnett,3212.0,197.0,441.0,233.0,0.0,871.0,184.0,614.0,495.0,0.0,1293.0,2164.0,67.4,871.0,1293.0
MARTINS G,Gwinnett,2425.0,124.0,185.0,91.0,0.0,400.0,263.0,510.0,287.0,0.0,1060.0,1460.0,60.2,400.0,1060.0
GOODWINS H,Gwinnett,2796.0,200.0,459.0,181.0,0.0,840.0,180.0,563.0,382.0,0.0,1125.0,1965.0,70.3,840.0,1125.0
GOODWINS I,Gwinnett,2501.0,232.0,384.0,262.0,0.0,878.0,166.0,474.0,373.0,0.0,1013.0,1891.0,75.6,878.0,1013.0
