Precinct,County,Registered Voters,Chuck Efstration (I) (Rep)_Election Day Votes,Chuck Efstration (I) (Rep)_Advanced Voting Votes,Chuck Efstration (I) (Rep)_Absentee by Mail Votes,Chuck Efstration (I) (Rep)_Provisional Votes,Chuck Efstration (I) (Rep)_Choice Total,Nakita Hemingway (Dem)_Election Day Votes,Nakita Hemingway (Dem)_Advanced Voting Votes,Nakita Hemingway (Dem)_Absentee by Mail Votes,Nakita Hemingway (Dem)_Provisional Votes,Nakita Hemingway (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
HARBINS A,Gwinnett,7182.0,150.0,558.0,210.0,0.0,918.0,187.0,898.0,444.0,2.0,1531.0,2449.0,34.1,918.0,1531.0
DACULA,Gwinnett,4777.0,241.0,928.0,280.0,0.0,1449.0,246.0,1102.0,573.0,0.0,1921.0,3370.0,70.5,1449.0,1921.0
DUNCANS A,Gwinnett,4729.0,366.0,1579.0,510.0,1.0,2456.0,116.0,707.0,451.0,1.0,1275.0,3731.0,78.9,2456.0,1275.0
DUNCANS C,Gwinnett,3040.0,336.0,1038.0,307.0,0.0,1681.0,86.0,411.0,273.0,0.0,770.0,2451.0,80.6,1681.0,770.0
HOG MOUNTAIN B,Gwinnett,4583.0,118.0,276.0,112.0,0.0,506.0,75.0,319.0,213.0,0.0,607.0,1113.0,24.3,506.0,607.0
ROCKYCREEK A,Gwinnett,5939.0,488.0,1524.0,445.0,0.0,2457.0,266.0,1096.0,603.0,2.0,1967.0,4424.0,74.5,2457.0,1967.0
LAWRENCEVILLE D,Gwinnett,5012.0,33.0,48.0,31.0,0.0,112.0,58.0,134.0,57.0,0.0,249.0,361.0,7.2,112.0,249.0
DUNCANS B,Gwinnett,5387.0,572.0,1680.0,519.0,2.0,2773.0,212.0,748.0,457.0,1.0,1418.0,4191.0,77.8,2773.0,1418.0
HARBINS B,Gwinnett,4845.0,338.0,1282.0,322.0,1.0,1943.0,195.0,861.0,427.0,2.0,1485.0,3428.0,70.8,1943.0,1485.0
LAWRENCEVILLE M,Gwinnett,7255.0,232.0,575.0,286.0,1.0,1094.0,539.0,2045.0,1038.0,1.0,3623.0,4717.0,65.0,1094.0,3623.0
ROCKYCREEK C,Gwinnett,4806.0,338.0,1220.0,379.0,0.0,1937.0,237.0,941.0,521.0,2.0,1701.0,3638.0,75.7,1937.0,1701.0
