Precinct,County,Registered Voters,Eddie Lumsden (I) (Rep)_Election Day Votes,Eddie Lumsden (I) (Rep)_Advanced Voting Votes,Eddie Lumsden (I) (Rep)_Absentee by Mail Votes,Eddie Lumsden (I) (Rep)_Provisional Votes,Eddie Lumsden (I) (Rep)_Choice Total,Jonathan Gilreath-Harvey (Dem)_Election Day Votes,Jonathan Gilreath-Harvey (Dem)_Advanced Voting Votes,Jonathan Gilreath-Harvey (Dem)_Absentee by Mail Votes,Jonathan Gilreath-Harvey (Dem)_Provisional Votes,Jonathan Gilreath-Harvey (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Armuchee,Floyd,1269.0,272.0,399.0,117.0,1.0,789.0,33.0,65.0,33.0,0.0,131.0,920.0,72.5,789.0,131.0
Cave Spring,Floyd,1617.0,422.0,334.0,144.0,2.0,902.0,58.0,58.0,88.0,0.0,204.0,1106.0,68.4,902.0,204.0
Everett Springs,Floyd,421.0,177.0,73.0,25.0,3.0,278.0,23.0,8.0,19.0,0.0,50.0,328.0,77.9,278.0,50.0
Floyd Springs,Floyd,1666.0,415.0,581.0,145.0,23.0,1164.0,26.0,61.0,38.0,2.0,127.0,1291.0,77.5,1164.0,127.0
Fosters Mill,Floyd,971.0,276.0,279.0,73.0,1.0,629.0,22.0,31.0,23.0,0.0,76.0,705.0,72.6,629.0,76.0
Garden Lakes,Floyd,2261.0,212.0,621.0,192.0,5.0,1030.0,84.0,217.0,114.0,2.0,417.0,1447.0,64.0,1030.0,417.0
Mt Alto North,Floyd,5096.0,137.0,755.0,198.0,3.0,1093.0,109.0,353.0,200.0,4.0,666.0,1759.0,34.5,1093.0,666.0
North Carolina,Floyd,1865.0,269.0,563.0,133.0,1.0,966.0,39.0,103.0,59.0,2.0,203.0,1169.0,62.7,966.0,203.0
Texas Valley,Floyd,762.0,261.0,221.0,65.0,5.0,552.0,16.0,23.0,29.0,0.0,68.0,620.0,81.4,552.0,68.0
Watters,Floyd,3566.0,648.0,1200.0,290.0,6.0,2144.0,82.0,165.0,115.0,6.0,368.0,2512.0,70.4,2144.0,368.0
Town Rome,Floyd,3034.0,11.0,100.0,23.0,0.0,134.0,8.0,24.0,13.0,2.0,47.0,181.0,6.0,134.0,47.0
Coldwater,Chattooga,248.0,25.0,83.0,14.0,0.0,122.0,9.0,27.0,25.0,0.0,61.0,183.0,73.8,122.0,61.0
Dirtseller,Chattooga,186.0,43.0,59.0,9.0,0.0,111.0,6.0,9.0,4.0,0.0,19.0,130.0,69.9,111.0,19.0
Haywood,Chattooga,169.0,73.0,24.0,3.0,0.0,100.0,9.0,0.0,5.0,1.0,15.0,115.0,68.0,100.0,15.0
Lyerly,Chattooga,934.0,216.0,268.0,54.0,1.0,539.0,35.0,42.0,28.0,0.0,105.0,644.0,69.0,539.0,105.0
Trion,Chattooga,3496.0,563.0,1160.0,263.0,1.0,1987.0,73.0,145.0,126.0,0.0,344.0,2331.0,66.7,1987.0,344.0
Summerville,Chattooga,5155.0,543.0,1661.0,421.0,1.0,2626.0,146.0,380.0,275.0,1.0,802.0,3428.0,66.5,2626.0,802.0
Teloga,Chattooga,593.0,84.0,242.0,68.0,0.0,394.0,7.0,22.0,21.0,0.0,50.0,444.0,74.9,394.0,50.0
Dirttown,Chattooga,897.0,255.0,265.0,74.0,0.0,594.0,25.0,40.0,43.0,0.0,108.0,702.0,78.3,594.0,108.0
Seminole,Chattooga,138.0,35.0,43.0,19.0,0.0,97.0,2.0,4.0,2.0,0.0,8.0,105.0,76.1,97.0,8.0
Subligna,Chattooga,489.0,167.0,122.0,48.0,1.0,338.0,8.0,10.0,17.0,0.0,35.0,373.0,76.3,338.0,35.0
Alpine,Chattooga,872.0,261.0,218.0,73.0,0.0,552.0,25.0,39.0,30.0,0.0,94.0,646.0,74.1,552.0,94.0
Cloudland,Chattooga,378.0,81.0,106.0,38.0,0.0,225.0,7.0,34.0,24.0,0.0,65.0,290.0,76.7,225.0,65.0
Pennville,Chattooga,588.0,64.0,198.0,38.0,0.0,300.0,14.0,22.0,15.0,0.0,51.0,351.0,59.7,300.0,51.0
