Precinct,County,Registered Voters,Susan Holmes (I) (Rep)_Election Day Votes,Susan Holmes (I) (Rep)_Advanced Voting Votes,Susan Holmes (I) (Rep)_Absentee by Mail Votes,Susan Holmes (I) (Rep)_Provisional Votes,Susan Holmes (I) (Rep)_Choice Total,Sharonda Bell (Dem)_Election Day Votes,Sharonda Bell (Dem)_Advanced Voting Votes,Sharonda Bell (Dem)_Absentee by Mail Votes,Sharonda Bell (Dem)_Provisional Votes,Sharonda Bell (Dem)_Choice Total,Joe Reed (Ind)_Election Day Votes,Joe Reed (Ind)_Advanced Voting Votes,Joe Reed (Ind)_Absentee by Mail Votes,Joe Reed (Ind)_Provisional Votes,Joe Reed (Ind)_Choice Total,Total,calc_participation,Rep_total,Dem_total,Ind_total
Gray,Jones,0.0,246.0,1087.0,222.0,0.0,1555.0,39.0,231.0,141.0,0.0,411.0,7.0,59.0,17.0,0.0,83.0,2049.0,,1555.0,411.0,83.0
Hawkins,Jones,0.0,242.0,497.0,141.0,0.0,880.0,185.0,623.0,454.0,0.0,1262.0,15.0,35.0,20.0,0.0,70.0,2212.0,,880.0,1262.0,70.0
Ethridge,Jones,0.0,166.0,526.0,128.0,0.0,820.0,70.0,188.0,103.0,0.0,361.0,14.0,20.0,23.0,0.0,57.0,1238.0,,820.0,361.0,57.0
Clinton,Jones,0.0,276.0,836.0,171.0,2.0,1285.0,54.0,214.0,133.0,0.0,401.0,16.0,33.0,25.0,0.0,74.0,1760.0,,1285.0,401.0,74.0
Pope,Jones,0.0,177.0,337.0,79.0,0.0,593.0,67.0,91.0,66.0,0.0,224.0,12.0,7.0,4.0,0.0,23.0,840.0,,593.0,224.0,23.0
Barron,Jones,0.0,265.0,382.0,94.0,0.0,741.0,61.0,97.0,86.0,0.0,244.0,12.0,7.0,10.0,0.0,29.0,1014.0,,741.0,244.0,29.0
Sanders,Jones,0.0,90.0,12.0,12.0,0.0,114.0,11.0,4.0,5.0,0.0,20.0,4.0,2.0,0.0,0.0,6.0,140.0,,114.0,20.0,6.0
Finney,Jones,0.0,572.0,705.0,207.0,1.0,1485.0,69.0,217.0,157.0,0.0,443.0,24.0,15.0,21.0,0.0,60.0,1988.0,,1485.0,443.0,60.0
Cabaniss,Monroe,800.0,182.0,183.0,29.0,1.0,395.0,39.0,65.0,31.0,0.0,135.0,13.0,12.0,2.0,0.0,27.0,557.0,69.6,395.0,135.0,27.0
High Falls,Monroe,1994.0,329.0,573.0,99.0,1.0,1002.0,35.0,82.0,48.0,0.0,165.0,19.0,49.0,29.0,0.0,97.0,1264.0,63.4,1002.0,165.0,97.0
Proctors,Monroe,1214.0,208.0,304.0,54.0,0.0,566.0,43.0,75.0,31.0,0.0,149.0,24.0,37.0,12.0,0.0,73.0,788.0,64.9,566.0,149.0,73.0
Butts County Admin Bldg,Butts,17154.0,353.0,2757.0,560.0,2.0,3672.0,232.0,1161.0,553.0,1.0,1947.0,27.0,159.0,65.0,0.0,251.0,5870.0,34.2,3672.0,1947.0,251.0
Wyatt,Jasper,1940.0,445.0,491.0,138.0,1.0,1075.0,68.0,63.0,93.0,1.0,225.0,12.0,11.0,13.0,0.0,36.0,1336.0,68.9,1075.0,225.0,36.0
Monticello,Jasper,4516.0,274.0,1564.0,395.0,10.0,2243.0,145.0,432.0,361.0,0.0,938.0,20.0,80.0,21.0,1.0,122.0,3303.0,73.1,2243.0,938.0,122.0
Martin-Burney,Jasper,3976.0,793.0,1407.0,339.0,1.0,2540.0,42.0,104.0,81.0,0.0,227.0,33.0,52.0,37.0,0.0,122.0,2889.0,72.7,2540.0,227.0,122.0
