Precinct,County,Registered Voters,Dale Washburn (I) (Rep)_Election Day Votes,Dale Washburn (I) (Rep)_Advanced Voting Votes,Dale Washburn (I) (Rep)_Absentee by Mail Votes,Dale Washburn (I) (Rep)_Provisional Votes,Dale Washburn (I) (Rep)_Choice Total,Total,calc_participation
Hazzard 2,Bibb,4173.0,705.0,885.0,395.0,2.0,1987.0,1987.0,47.6
Hazzard 4,Bibb,4745.0,728.0,1537.0,612.0,4.0,2881.0,2881.0,60.7
Howard 1,Bibb,3436.0,458.0,1098.0,635.0,1.0,2192.0,2192.0,63.8
Howard 2,Bibb,3394.0,489.0,1115.0,565.0,4.0,2173.0,2173.0,64.0
Howard 3,Bibb,6397.0,782.0,1916.0,849.0,1.0,3548.0,3548.0,55.5
Howard 5,Bibb,2272.0,317.0,513.0,169.0,1.0,1000.0,1000.0,44.0
Howard 6,Bibb,2213.0,280.0,674.0,267.0,8.0,1229.0,1229.0,55.5
Howard 7,Bibb,2897.0,454.0,937.0,435.0,1.0,1827.0,1827.0,63.1
Vineville 4,Bibb,4097.0,210.0,283.0,115.0,1.0,609.0,609.0,14.9
Bentons,Monroe,2297.0,360.0,1032.0,233.0,1.0,1626.0,1626.0,70.8
Brantleys,Monroe,1123.0,236.0,557.0,68.0,0.0,861.0,861.0,76.7
Burgays,Monroe,2268.0,450.0,1008.0,228.0,4.0,1690.0,1690.0,74.5
Dillards,Monroe,996.0,160.0,405.0,53.0,0.0,618.0,618.0,62.0
Evers,Monroe,2127.0,298.0,971.0,157.0,0.0,1426.0,1426.0,67.0
Forsyth,Monroe,4640.0,131.0,621.0,130.0,0.0,882.0,882.0,19.0
Kelseys,Monroe,722.0,140.0,207.0,61.0,0.0,408.0,408.0,56.5
Middlebrooks,Monroe,1319.0,220.0,578.0,85.0,0.0,883.0,883.0,66.9
