Precinct,County,Registered Voters,Jan Tankersley (I) (Rep)_Election Day Votes,Jan Tankersley (I) (Rep)_Advanced Voting Votes,Jan Tankersley (I) (Rep)_Absentee by Mail Votes,Jan Tankersley (I) (Rep)_Provisional Votes,Jan Tankersley (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Pembroke,Bryan,2653.0,292.0,857.0,165.0,0.0,1314.0,1314.0,49.5,1314.0
Ellabell,Bryan,2341.0,407.0,867.0,155.0,1.0,1430.0,1430.0,61.1,1430.0
Black Creek,Bryan,2995.0,395.0,991.0,192.0,1.0,1579.0,1579.0,52.7,1579.0
Emit,Bulloch,3360.0,641.0,1046.0,349.0,1.0,2037.0,2037.0,60.6,2037.0
Statesboro,Bulloch,6312.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Fair,Bulloch,6335.0,667.0,2154.0,696.0,4.0,3521.0,3521.0,55.6,3521.0
Pittman Park,Bulloch,5279.0,612.0,1105.0,327.0,1.0,2045.0,2045.0,38.7,2045.0
Leefield,Bulloch,1000.0,378.0,223.0,83.0,0.0,684.0,684.0,68.4,684.0
Hagin,Bulloch,2403.0,185.0,230.0,92.0,0.0,507.0,507.0,21.1,507.0
Brooklet,Bulloch,3351.0,753.0,1091.0,329.0,1.0,2174.0,2174.0,64.9,2174.0
Stilson,Bulloch,2137.0,639.0,466.0,177.0,1.0,1283.0,1283.0,60.0,1283.0
Bay,Bulloch,1610.0,563.0,384.0,148.0,0.0,1095.0,1095.0,68.0,1095.0
Nevils,Bulloch,1299.0,408.0,293.0,132.0,1.0,834.0,834.0,64.2,834.0
Sinkhole,Bulloch,488.0,200.0,73.0,52.0,0.0,325.0,325.0,66.6,325.0
Register,Bulloch,969.0,146.0,100.0,30.0,0.0,276.0,276.0,28.5,276.0
