Precinct,County,Registered Voters,Carl Wayne Gilliard (I) (Dem)_Election Day Votes,Carl Wayne Gilliard (I) (Dem)_Advanced Voting Votes,Carl Wayne Gilliard (I) (Dem)_Absentee by Mail Votes,Carl Wayne Gilliard (I) (Dem)_Provisional Votes,Carl Wayne Gilliard (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
1-09C Immanuel Baptist Church,Chatham,739.0,106.0,114.0,108.0,2.0,330.0,330.0,44.7,330.0
5-01C Bartlett Middle School,Chatham,1063.0,174.0,202.0,151.0,0.0,527.0,527.0,49.6,527.0
5-06C Seed Church,Chatham,2598.0,303.0,463.0,356.0,5.0,1127.0,1127.0,43.4,1127.0
5-07C Station 1,Chatham,1856.0,273.0,372.0,263.0,4.0,912.0,912.0,49.1,912.0
5-08C Savannah Primitive BC,Chatham,1848.0,237.0,384.0,317.0,3.0,941.0,941.0,50.9,941.0
5-11C Largo-Tibet Elementary,Chatham,3019.0,362.0,664.0,447.0,5.0,1478.0,1478.0,49.0,1478.0
6-01C White Bluff Presbyterian,Chatham,1919.0,261.0,398.0,275.0,2.0,936.0,936.0,48.8,936.0
6-06C The Light Church,Chatham,1543.0,199.0,258.0,188.0,0.0,645.0,645.0,41.8,645.0
6-08C Christ Memorial Baptist Church,Chatham,2194.0,274.0,455.0,311.0,2.0,1042.0,1042.0,47.5,1042.0
7-01C Garden City Senior Ctr,Chatham,1542.0,221.0,226.0,202.0,0.0,649.0,649.0,42.1,649.0
7-05C Woodlawn Baptist Church,Chatham,1305.0,217.0,239.0,131.0,0.0,587.0,587.0,45.0,587.0
7-14C Coastal Cathedral,Chatham,7572.0,781.0,1861.0,1380.0,7.0,4029.0,4029.0,53.2,4029.0
8-03C Silk Hope Baptist Church,Chatham,831.0,124.0,82.0,80.0,0.0,286.0,286.0,34.4,286.0
8-07C Woodville-Tompkins TI,Chatham,630.0,128.0,105.0,88.0,1.0,322.0,322.0,51.1,322.0
8-08C Resur of Our Lord Church,Chatham,1704.0,318.0,263.0,271.0,2.0,854.0,854.0,50.1,854.0
8-09C Moses Jackson Center,Chatham,1362.0,272.0,197.0,212.0,7.0,688.0,688.0,50.5,688.0
8-10C Carver Heights Comm Ctr,Chatham,1784.0,361.0,266.0,352.0,0.0,979.0,979.0,54.9,979.0
8-13C Savannah Christian,Chatham,1022.0,92.0,80.0,64.0,2.0,238.0,238.0,23.3,238.0
8-15C Garden City Rec Center,Chatham,1622.0,212.0,309.0,253.0,0.0,774.0,774.0,47.7,774.0
