Precinct,County,Registered Voters,Darlene Taylor (I) (Rep)_Election Day Votes,Darlene Taylor (I) (Rep)_Advanced Voting Votes,Darlene Taylor (I) (Rep)_Absentee by Mail Votes,Darlene Taylor (I) (Rep)_Provisional Votes,Darlene Taylor (I) (Rep)_Choice Total,Booker T. Gainor (Dem)_Election Day Votes,Booker T. Gainor (Dem)_Advanced Voting Votes,Booker T. Gainor (Dem)_Absentee by Mail Votes,Booker T. Gainor (Dem)_Provisional Votes,Booker T. Gainor (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Recovery,Decatur,678.0,166.0,146.0,74.0,0.0,386.0,18.0,32.0,59.0,0.0,109.0,495.0,73.0,386.0,109.0
Kendrick,Decatur,566.0,128.0,164.0,19.0,1.0,312.0,22.0,31.0,38.0,0.0,91.0,403.0,71.2,312.0,91.0
Climax,Decatur,975.0,197.0,315.0,51.0,1.0,564.0,43.0,81.0,63.0,0.0,187.0,751.0,77.0,564.0,187.0
Bainbridge-Coliseum,Decatur,5641.0,56.0,343.0,81.0,0.0,480.0,18.0,93.0,46.0,0.0,157.0,637.0,11.3,480.0,157.0
Attapulgus,Decatur,1812.0,127.0,261.0,95.0,0.0,483.0,156.0,337.0,261.0,0.0,754.0,1237.0,68.3,483.0,754.0
Blowing Cave,Grady,916.0,169.0,279.0,45.0,2.0,495.0,30.0,65.0,23.0,3.0,121.0,616.0,67.2,495.0,121.0
Cairo 4th District,Grady,2532.0,40.0,177.0,82.0,0.0,299.0,204.0,703.0,353.0,3.0,1263.0,1562.0,61.7,299.0,1263.0
Cairo 5th District,Grady,2606.0,135.0,634.0,192.0,1.0,962.0,146.0,420.0,182.0,3.0,751.0,1713.0,65.7,962.0,751.0
Duncanville,Grady,470.0,79.0,128.0,36.0,0.0,243.0,12.0,50.0,52.0,0.0,114.0,357.0,76.0,243.0,114.0
Higdon,Grady,854.0,169.0,159.0,88.0,0.0,416.0,66.0,60.0,70.0,0.0,196.0,612.0,71.7,416.0,196.0
Limesink,Grady,320.0,57.0,107.0,23.0,0.0,187.0,8.0,22.0,19.0,0.0,49.0,236.0,73.8,187.0,49.0
Midway,Grady,1412.0,194.0,431.0,137.0,2.0,764.0,44.0,106.0,77.0,0.0,227.0,991.0,70.2,764.0,227.0
Pine Park,Grady,1003.0,155.0,229.0,61.0,2.0,447.0,63.0,114.0,47.0,0.0,224.0,671.0,66.9,447.0,224.0
Ragan,Grady,475.0,100.0,107.0,45.0,0.0,252.0,18.0,48.0,42.0,0.0,108.0,360.0,75.8,252.0,108.0
Spence,Grady,758.0,203.0,188.0,71.0,0.0,462.0,22.0,22.0,22.0,0.0,66.0,528.0,69.7,462.0,66.0
Spring Hill,Grady,561.0,113.0,206.0,54.0,0.0,373.0,13.0,20.0,19.0,0.0,52.0,425.0,75.8,373.0,52.0
Whigham,Grady,1226.0,213.0,314.0,95.0,0.0,622.0,51.0,101.0,50.0,0.0,202.0,824.0,67.2,622.0,202.0
Woodland,Grady,2309.0,289.0,886.0,219.0,0.0,1394.0,59.0,152.0,76.0,0.0,287.0,1681.0,72.8,1394.0,287.0
Douglass,Thomas,2448.0,65.0,202.0,50.0,0.0,317.0,214.0,668.0,247.0,0.0,1129.0,1446.0,59.1,317.0,1129.0
Fire Station #2,Thomas,1404.0,126.0,538.0,136.0,0.0,800.0,17.0,146.0,81.0,0.0,244.0,1044.0,74.4,800.0,244.0
Harper,Thomas,2001.0,43.0,245.0,59.0,0.0,347.0,149.0,511.0,280.0,0.0,940.0,1287.0,64.3,347.0,940.0
Metcalfe,Thomas,299.0,76.0,68.0,18.0,0.0,162.0,18.0,24.0,23.0,0.0,65.0,227.0,75.9,162.0,65.0
New Covenant,Thomas,2155.0,222.0,813.0,142.0,0.0,1177.0,53.0,234.0,105.0,0.0,392.0,1569.0,72.8,1177.0,392.0
Remington Esc,Thomas,2190.0,144.0,663.0,186.0,0.0,993.0,81.0,353.0,151.0,0.0,585.0,1578.0,72.1,993.0,585.0
Resource Center,Thomas,1363.0,14.0,65.0,20.0,0.0,99.0,136.0,405.0,231.0,0.0,772.0,871.0,63.9,99.0,772.0
Scott,Thomas,2491.0,129.0,918.0,184.0,0.0,1231.0,74.0,420.0,185.0,2.0,681.0,1912.0,76.8,1231.0,681.0
