Precinct,County,Registered Voters,Mandi L. Ballinger (I) (Rep)_Election Day Votes,Mandi L. Ballinger (I) (Rep)_Advanced Voting Votes,Mandi L. Ballinger (I) (Rep)_Absentee by Mail Votes,Mandi L. Ballinger (I) (Rep)_Provisional Votes,Mandi L. Ballinger (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Bells,Cherokee,5906.0,781.0,1589.0,749.0,1.0,3120.0,3120.0,52.8,3120.0
Canton,Cherokee,8213.0,762.0,2545.0,1342.0,0.0,4649.0,4649.0,56.6,4649.0
Clayton,Cherokee,4906.0,794.0,1819.0,653.0,1.0,3267.0,3267.0,66.6,3267.0
Kellogg,Cherokee,5482.0,881.0,1506.0,624.0,2.0,3013.0,3013.0,55.0,3013.0
Oak Grove,Cherokee,3749.0,644.0,1029.0,497.0,0.0,2170.0,2170.0,57.9,2170.0
R M Moore,Cherokee,3468.0,689.0,1239.0,420.0,0.0,2348.0,2348.0,67.7,2348.0
R T Jones,Cherokee,2525.0,239.0,774.0,242.0,0.0,1255.0,1255.0,49.7,1255.0
Salacoa,Cherokee,727.0,277.0,132.0,65.0,0.0,474.0,474.0,65.2,474.0
Sutallee,Cherokee,2540.0,734.0,805.0,288.0,0.0,1827.0,1827.0,71.9,1827.0
Teasley,Cherokee,7981.0,683.0,1253.0,371.0,0.0,2307.0,2307.0,28.9,2307.0
Univeter,Cherokee,5434.0,352.0,1073.0,379.0,0.0,1804.0,1804.0,33.2,1804.0
Waleska,Cherokee,2875.0,591.0,826.0,467.0,0.0,1884.0,1884.0,65.5,1884.0
