Precinct,County,Registered Voters,Taryn Chilivis Bowman (Rep)_Election Day Votes,Taryn Chilivis Bowman (Rep)_Advanced Voting Votes,Taryn Chilivis Bowman (Rep)_Absentee by Mail Votes,Taryn Chilivis Bowman (Rep)_Provisional Votes,Taryn Chilivis Bowman (Rep)_Choice Total,Erick Eugene Allen (I) (Dem)_Election Day Votes,Erick Eugene Allen (I) (Dem)_Advanced Voting Votes,Erick Eugene Allen (I) (Dem)_Absentee by Mail Votes,Erick Eugene Allen (I) (Dem)_Provisional Votes,Erick Eugene Allen (I) (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
08A,Fulton,3084.0,160.0,719.0,258.0,3.0,1140.0,95.0,719.0,343.0,6.0,1163.0,2303.0,74.7,1140.0,1163.0
Mableton 03,Cobb,3010.0,189.0,388.0,315.0,0.0,892.0,180.0,543.0,498.0,2.0,1223.0,2115.0,70.3,892.0,1223.0
Mableton 04,Cobb,1581.0,137.0,218.0,211.0,0.0,566.0,72.0,299.0,319.0,0.0,690.0,1256.0,79.4,566.0,690.0
Nickajack 01,Cobb,4889.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,6.0,0.1,0.0,6.0
Norton Park 01,Cobb,4922.0,93.0,246.0,236.0,0.0,575.0,114.0,272.0,298.0,0.0,684.0,1259.0,25.6,575.0,684.0
Oakdale 01,Cobb,3944.0,247.0,470.0,410.0,0.0,1127.0,127.0,605.0,733.0,0.0,1465.0,2592.0,65.7,1127.0,1465.0
Smyrna 1A,Cobb,4152.0,59.0,103.0,101.0,0.0,263.0,53.0,162.0,180.0,0.0,395.0,658.0,15.8,263.0,395.0
Smyrna 2A,Cobb,5539.0,37.0,126.0,99.0,0.0,262.0,40.0,217.0,219.0,0.0,476.0,738.0,13.3,262.0,476.0
Smyrna 3B,Cobb,2496.0,145.0,335.0,220.0,0.0,700.0,105.0,403.0,417.0,0.0,925.0,1625.0,65.1,700.0,925.0
Smyrna 4A,Cobb,5842.0,331.0,839.0,796.0,1.0,1967.0,240.0,1058.0,1375.0,0.0,2673.0,4640.0,79.4,1967.0,2673.0
Smyrna 6A,Cobb,5936.0,341.0,810.0,694.0,1.0,1846.0,292.0,1159.0,1218.0,2.0,2671.0,4517.0,76.1,1846.0,2671.0
Smyrna 7A,Cobb,6378.0,147.0,494.0,382.0,0.0,1023.0,96.0,779.0,839.0,0.0,1714.0,2737.0,42.9,1023.0,1714.0
Vinings 01,Cobb,3260.0,199.0,288.0,274.0,1.0,762.0,198.0,739.0,587.0,1.0,1525.0,2287.0,70.2,762.0,1525.0
Vinings 02,Cobb,6400.0,301.0,642.0,602.0,1.0,1546.0,396.0,1298.0,1134.0,3.0,2831.0,4377.0,68.4,1546.0,2831.0
Vinings 03,Cobb,4407.0,105.0,301.0,265.0,2.0,673.0,99.0,487.0,497.0,0.0,1083.0,1756.0,39.8,673.0,1083.0
Vinings 04,Cobb,3405.0,438.0,466.0,526.0,1.0,1431.0,180.0,505.0,507.0,0.0,1192.0,2623.0,77.0,1431.0,1192.0
