Precinct,County,Registered Voters,Lyndsey Rudder (Rep)_Election Day Votes,Lyndsey Rudder (Rep)_Advanced Voting Votes,Lyndsey Rudder (Rep)_Absentee by Mail Votes,Lyndsey Rudder (Rep)_Provisional Votes,Lyndsey Rudder (Rep)_Choice Total,Betsy Holland (I) (Dem)_Election Day Votes,Betsy Holland (I) (Dem)_Advanced Voting Votes,Betsy Holland (I) (Dem)_Absentee by Mail Votes,Betsy Holland (I) (Dem)_Provisional Votes,Betsy Holland (I) (Dem)_Choice Total,Total,calc_participation
06I,Fulton,4072.0,94.0,213.0,56.0,7.0,370.0,240.0,1304.0,525.0,12.0,2081.0,2451.0,60.2
06Q,Fulton,571.0,9.0,9.0,5.0,2.0,25.0,46.0,209.0,60.0,4.0,319.0,344.0,60.2
07A,Fulton,7691.0,348.0,1360.0,463.0,10.0,2181.0,287.0,1716.0,1060.0,14.0,3077.0,5258.0,68.4
07B,Fulton,2952.0,185.0,937.0,345.0,0.0,1467.0,49.0,508.0,402.0,1.0,960.0,2427.0,82.2
07C,Fulton,4512.0,162.0,675.0,475.0,11.0,1323.0,142.0,891.0,753.0,4.0,1790.0,3113.0,69.0
07D,Fulton,4879.0,191.0,850.0,230.0,13.0,1284.0,183.0,1172.0,530.0,13.0,1898.0,3182.0,65.2
07E,Fulton,2247.0,47.0,327.0,155.0,4.0,533.0,48.0,592.0,488.0,3.0,1131.0,1664.0,74.1
07F,Fulton,3790.0,172.0,699.0,254.0,25.0,1150.0,106.0,997.0,538.0,9.0,1650.0,2800.0,73.9
07H,Fulton,2060.0,100.0,441.0,158.0,0.0,699.0,45.0,515.0,366.0,0.0,926.0,1625.0,78.9
07M,Fulton,2401.0,68.0,303.0,96.0,0.0,467.0,112.0,535.0,345.0,0.0,992.0,1459.0,60.8
07N,Fulton,2139.0,38.0,130.0,57.0,2.0,227.0,114.0,589.0,330.0,7.0,1040.0,1267.0,59.2
08F1,Fulton,2187.0,121.0,778.0,244.0,3.0,1146.0,23.0,414.0,255.0,1.0,693.0,1839.0,84.1
08G,Fulton,3086.0,113.0,453.0,213.0,0.0,779.0,97.0,585.0,478.0,5.0,1165.0,1944.0,63.0
08H,Fulton,2556.0,102.0,741.0,266.0,2.0,1111.0,38.0,483.0,417.0,0.0,938.0,2049.0,80.2
08J,Fulton,3344.0,153.0,825.0,238.0,2.0,1218.0,82.0,909.0,379.0,2.0,1372.0,2590.0,77.5
08M,Fulton,2295.0,134.0,682.0,219.0,3.0,1038.0,60.0,424.0,225.0,2.0,711.0,1749.0,76.2
08N2,Fulton,1616.0,46.0,300.0,157.0,0.0,503.0,45.0,378.0,253.0,1.0,677.0,1180.0,73.0
