Precinct,County,Registered Voters,Stacey Evans (Dem)_Election Day Votes,Stacey Evans (Dem)_Advanced Voting Votes,Stacey Evans (Dem)_Absentee by Mail Votes,Stacey Evans (Dem)_Provisional Votes,Stacey Evans (Dem)_Choice Total,Total,calc_participation,Dem_total
02A,Fulton,4884.0,178.0,1886.0,1053.0,17.0,3134.0,3134.0,64.2,3134.0
02A1,Fulton,733.0,31.0,304.0,51.0,2.0,388.0,388.0,52.9,388.0
02B,Fulton,4020.0,180.0,806.0,290.0,22.0,1298.0,1298.0,32.3,1298.0
02L1,Fulton,5546.0,200.0,2119.0,1252.0,11.0,3582.0,3582.0,64.6,3582.0
02L1A,Fulton,1477.0,78.0,563.0,79.0,5.0,725.0,725.0,49.1,725.0
04B,Fulton,2948.0,126.0,421.0,209.0,0.0,756.0,756.0,25.6,756.0
04G,Fulton,1025.0,121.0,194.0,78.0,0.0,393.0,393.0,38.3,393.0
04I,Fulton,4604.0,79.0,457.0,171.0,6.0,713.0,713.0,15.5,713.0
04K,Fulton,2736.0,202.0,713.0,354.0,7.0,1276.0,1276.0,46.6,1276.0
04S,Fulton,2541.0,266.0,621.0,309.0,8.0,1204.0,1204.0,47.4,1204.0
04T,Fulton,1297.0,137.0,350.0,160.0,20.0,667.0,667.0,51.4,667.0
04V,Fulton,3573.0,375.0,723.0,238.0,3.0,1339.0,1339.0,37.5,1339.0
04W,Fulton,3365.0,57.0,132.0,27.0,6.0,222.0,222.0,6.6,222.0
04X1,Fulton,2283.0,167.0,608.0,264.0,2.0,1041.0,1041.0,45.6,1041.0
05D,Fulton,541.0,21.0,59.0,9.0,0.0,89.0,89.0,16.5,89.0
06D,Fulton,6160.0,329.0,2189.0,2028.0,8.0,4554.0,4554.0,73.9,4554.0
06D1,Fulton,2539.0,70.0,998.0,158.0,2.0,1228.0,1228.0,48.4,1228.0
06D2,Fulton,850.0,24.0,327.0,52.0,1.0,404.0,404.0,47.5,404.0
06J,Fulton,2770.0,96.0,1072.0,729.0,1.0,1898.0,1898.0,68.5,1898.0
10I,Fulton,331.0,13.0,154.0,91.0,0.0,258.0,258.0,77.9,258.0
10K,Fulton,1614.0,109.0,562.0,298.0,5.0,974.0,974.0,60.3,974.0
10M,Fulton,2880.0,249.0,870.0,417.0,11.0,1547.0,1547.0,53.7,1547.0
11H,Fulton,753.0,52.0,186.0,136.0,2.0,376.0,376.0,49.9,376.0
12K,Fulton,3620.0,206.0,959.0,362.0,2.0,1529.0,1529.0,42.2,1529.0
