Precinct,County,Registered Voters,Jason T. Ridley (I) (Rep)_Election Day Votes,Jason T. Ridley (I) (Rep)_Advanced Voting Votes,Jason T. Ridley (I) (Rep)_Absentee by Mail Votes,Jason T. Ridley (I) (Rep)_Provisional Votes,Jason T. Ridley (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
2A,Whitfield,3090.0,49.0,169.0,40.0,0.0,258.0,258.0,8.3,258.0
CO,Whitfield,1431.0,462.0,332.0,106.0,6.0,906.0,906.0,63.3,906.0
ES,Whitfield,1702.0,293.0,358.0,126.0,0.0,777.0,777.0,45.7,777.0
GL,Whitfield,2510.0,444.0,618.0,201.0,0.0,1263.0,1263.0,50.3,1263.0
LT,Whitfield,1148.0,285.0,415.0,78.0,1.0,779.0,779.0,67.9,779.0
NI,Whitfield,2456.0,648.0,683.0,203.0,1.0,1535.0,1535.0,62.5,1535.0
PG,Whitfield,4721.0,727.0,1563.0,471.0,3.0,2764.0,2764.0,58.5,2764.0
UT,Whitfield,1053.0,369.0,254.0,74.0,0.0,697.0,697.0,66.2,697.0
VA,Whitfield,5250.0,1015.0,1739.0,474.0,1.0,3229.0,3229.0,61.5,3229.0
McDonald,Murray,2524.0,353.0,986.0,169.0,0.0,1508.0,1508.0,59.7,1508.0
Shuck Pen,Murray,2940.0,669.0,960.0,168.0,0.0,1797.0,1797.0,61.1,1797.0
Town,Murray,5766.0,266.0,904.0,149.0,0.0,1319.0,1319.0,22.9,1319.0
North,Murray,2123.0,561.0,684.0,150.0,0.0,1395.0,1395.0,65.7,1395.0
