Precinct,County,Registered Voters,Mary Margaret Oliver (I) (Dem)_Election Day Votes,Mary Margaret Oliver (I) (Dem)_Advanced Voting Votes,Mary Margaret Oliver (I) (Dem)_Absentee by Mail Votes,Mary Margaret Oliver (I) (Dem)_Provisional Votes,Mary Margaret Oliver (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Briarcliff,DeKalb,3122.0,161.0,791.0,823.0,5.0,1780.0,1780.0,57.0,1780.0
Clairemont East,DeKalb,3226.0,113.0,1151.0,1178.0,3.0,2445.0,2445.0,75.8,2445.0
Dresden Elem,DeKalb,5141.0,302.0,1133.0,723.0,4.0,2162.0,2162.0,42.1,2162.0
Druid Hills High,DeKalb,2725.0,142.0,676.0,680.0,2.0,1500.0,1500.0,55.0,1500.0
Emory Road,DeKalb,2290.0,126.0,646.0,439.0,6.0,1217.0,1217.0,53.1,1217.0
Fernbank Elem,DeKalb,2125.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Hawthorne Elem,DeKalb,3884.0,292.0,1218.0,714.0,3.0,2227.0,2227.0,57.3,2227.0
Harris-Margaret Harris ED,DeKalb,1462.0,133.0,496.0,318.0,4.0,951.0,951.0,65.0,951.0
Lakeside High,DeKalb,3216.0,88.0,352.0,199.0,0.0,639.0,639.0,19.9,639.0
Lavista Road,DeKalb,2223.0,141.0,596.0,664.0,3.0,1404.0,1404.0,63.2,1404.0
Lavista,DeKalb,3223.0,211.0,878.0,677.0,7.0,1773.0,1773.0,55.0,1773.0
Montclair Elem,DeKalb,2194.0,220.0,655.0,245.0,4.0,1124.0,1124.0,51.2,1124.0
Oak Grove Elem,DeKalb,2253.0,166.0,690.0,619.0,0.0,1475.0,1475.0,65.5,1475.0
Sagamore Hills Elem,DeKalb,2925.0,199.0,932.0,878.0,0.0,2009.0,2009.0,68.7,2009.0
Woodward,DeKalb,3193.0,62.0,372.0,295.0,0.0,729.0,729.0,22.8,729.0
