Precinct,County,Registered Voters,Doreen Carter (I) (Dem)_Election Day Votes,Doreen Carter (I) (Dem)_Advanced Voting Votes,Doreen Carter (I) (Dem)_Absentee by Mail Votes,Doreen Carter (I) (Dem)_Provisional Votes,Doreen Carter (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
BT,Rockdale,4007.0,201.0,535.0,313.0,1.0,1050.0,1050.0,26.2,1050.0
CO,Rockdale,3862.0,343.0,1069.0,495.0,1.0,1908.0,1908.0,49.4,1908.0
FS,Rockdale,4038.0,85.0,247.0,111.0,0.0,443.0,443.0,11.0,443.0
HI,Rockdale,3515.0,86.0,497.0,244.0,0.0,827.0,827.0,23.5,827.0
LA,Rockdale,2001.0,160.0,463.0,376.0,0.0,999.0,999.0,49.9,999.0
MI,Rockdale,4226.0,308.0,1353.0,635.0,3.0,2299.0,2299.0,54.4,2299.0
OT,Rockdale,6135.0,288.0,1373.0,701.0,1.0,2363.0,2363.0,38.5,2363.0
Lithonia,DeKalb,1730.0,237.0,394.0,227.0,0.0,858.0,858.0,49.6,858.0
Lithonia High,DeKalb,3610.0,347.0,1084.0,535.0,10.0,1976.0,1976.0,54.7,1976.0
McWilliams,DeKalb,2517.0,152.0,979.0,560.0,3.0,1694.0,1694.0,67.3,1694.0
Miller Grove,DeKalb,4747.0,345.0,1387.0,692.0,4.0,2428.0,2428.0,51.1,2428.0
Miller Grove High,DeKalb,3470.0,281.0,976.0,440.0,4.0,1701.0,1701.0,49.0,1701.0
Panola Road,DeKalb,2884.0,171.0,884.0,486.0,2.0,1543.0,1543.0,53.5,1543.0
Stoneview Elem,DeKalb,1988.0,166.0,495.0,242.0,4.0,907.0,907.0,45.6,907.0
