Precinct,County,Registered Voters,Carden H. Summers (I) (Rep)_Election Day Votes,Carden H. Summers (I) (Rep)_Advanced Voting Votes,Carden H. Summers (I) (Rep)_Absentee by Mail Votes,Carden H. Summers (I) (Rep)_Provisional Votes,Carden H. Summers (I) (Rep)_Choice Total,Mary Egler (Dem)_Election Day Votes,Mary Egler (Dem)_Advanced Voting Votes,Mary Egler (Dem)_Absentee by Mail Votes,Mary Egler (Dem)_Provisional Votes,Mary Egler (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Ashburn,Turner,3509.0,140.0,769.0,123.0,0.0,1032.0,275.0,620.0,243.0,1.0,1139.0,2171.0,61.9,1032.0,1139.0
Sycamore,Turner,1609.0,116.0,796.0,82.0,1.0,995.0,30.0,94.0,26.0,0.0,150.0,1145.0,71.2,995.0,150.0
Rebecca,Turner,464.0,111.0,147.0,26.0,0.0,284.0,11.0,17.0,15.0,0.0,43.0,327.0,70.5,284.0,43.0
Chokee,Lee,475.0,81.0,84.0,19.0,0.0,184.0,41.0,38.0,75.0,0.0,154.0,338.0,71.2,184.0,154.0
Redbone,Lee,4841.0,677.0,1737.0,277.0,2.0,2693.0,144.0,361.0,202.0,1.0,708.0,3401.0,70.3,2693.0,708.0
Smithville,Lee,998.0,108.0,237.0,39.0,0.0,384.0,97.0,101.0,66.0,0.0,264.0,648.0,64.9,384.0,264.0
CJC,Lee,614.0,120.0,258.0,30.0,0.0,408.0,15.0,38.0,17.0,0.0,70.0,478.0,77.9,408.0,70.0
Leesburg,Lee,3313.0,371.0,1035.0,146.0,1.0,1553.0,122.0,367.0,137.0,0.0,626.0,2179.0,65.8,1553.0,626.0
Friendship Baptist,Lee,1376.0,219.0,515.0,71.0,0.0,805.0,30.0,104.0,36.0,0.0,170.0,975.0,70.9,805.0,170.0
First Baptist,Lee,3921.0,517.0,1408.0,268.0,0.0,2193.0,135.0,480.0,243.0,1.0,859.0,3052.0,77.8,2193.0,859.0
SDA Church,Lee,1576.0,269.0,540.0,100.0,0.0,909.0,56.0,165.0,79.0,0.0,300.0,1209.0,76.7,909.0,300.0
Flint Reformed Baptist,Lee,2621.0,314.0,856.0,107.0,0.0,1277.0,98.0,243.0,109.0,0.0,450.0,1727.0,65.9,1277.0,450.0
Century Fire Station,Lee,3162.0,316.0,995.0,208.0,1.0,1520.0,138.0,422.0,164.0,0.0,724.0,2244.0,71.0,1520.0,724.0
Rochelle North 1,Wilcox,558.0,26.0,48.0,16.0,0.0,90.0,90.0,89.0,36.0,0.0,215.0,305.0,54.7,90.0,215.0
Abbeville North 2,Wilcox,441.0,38.0,99.0,26.0,0.0,163.0,19.0,49.0,27.0,0.0,95.0,258.0,58.5,163.0,95.0
Pineview 2,Wilcox,630.0,122.0,107.0,34.0,0.0,263.0,82.0,51.0,41.0,0.0,174.0,437.0,69.4,263.0,174.0
Pitts 3,Wilcox,876.0,249.0,234.0,73.0,0.0,556.0,25.0,22.0,22.0,0.0,69.0,625.0,71.3,556.0,69.0
Rochelle South 4,Wilcox,1033.0,44.0,95.0,31.0,0.0,170.0,2.0,9.0,4.0,0.0,15.0,185.0,17.9,170.0,15.0
Airport,Sumter,1767.0,132.0,481.0,121.0,0.0,734.0,78.0,340.0,174.0,0.0,592.0,1326.0,75.0,734.0,592.0
Andersonville,Sumter,434.0,162.0,81.0,22.0,1.0,266.0,28.0,29.0,28.0,0.0,85.0,351.0,80.9,266.0,85.0
Browns Mill,Sumter,929.0,131.0,268.0,48.0,0.0,447.0,42.0,97.0,74.0,0.0,213.0,660.0,71.0,447.0,213.0
Leslie,Sumter,1687.0,280.0,394.0,85.0,0.0,759.0,99.0,152.0,129.0,2.0,382.0,1141.0,67.6,759.0,382.0
Reese Park,Sumter,3064.0,6.0,3.0,1.0,0.0,10.0,44.0,111.0,112.0,0.0,267.0,277.0,9.0,10.0,267.0
Arabi,Crisp,785.0,159.0,253.0,42.0,0.0,454.0,29.0,43.0,24.0,0.0,96.0,550.0,70.1,454.0,96.0
Coney,Crisp,859.0,129.0,419.0,93.0,0.0,641.0,11.0,28.0,21.0,0.0,60.0,701.0,81.6,641.0,60.0
Cordele,Crisp,8897.0,305.0,1813.0,498.0,3.0,2619.0,458.0,1224.0,687.0,0.0,2369.0,4988.0,56.1,2619.0,2369.0
Jamestown,Crisp,1196.0,206.0,490.0,144.0,0.0,840.0,14.0,46.0,28.0,1.0,89.0,929.0,77.7,840.0,89.0
Listonia,Crisp,817.0,183.0,302.0,83.0,0.0,568.0,7.0,10.0,9.0,0.0,26.0,594.0,72.7,568.0,26.0
Chauncey,Dodge,412.0,141.0,70.0,25.0,0.0,236.0,33.0,11.0,8.0,0.0,52.0,288.0,69.9,236.0,52.0
Clark,Dodge,111.0,45.0,19.0,4.0,0.0,68.0,3.0,0.0,0.0,0.0,3.0,71.0,64.0,68.0,3.0
