Precinct,County,Registered Voters,Max Burns (Rep)_Election Day Votes,Max Burns (Rep)_Advanced Voting Votes,Max Burns (Rep)_Absentee by Mail Votes,Max Burns (Rep)_Provisional Votes,Max Burns (Rep)_Choice Total,Ceretta Smith (Dem)_Election Day Votes,Ceretta Smith (Dem)_Advanced Voting Votes,Ceretta Smith (Dem)_Absentee by Mail Votes,Ceretta Smith (Dem)_Provisional Votes,Ceretta Smith (Dem)_Choice Total,Total,calc_participation
308,Richmond,622.0,43.0,68.0,40.0,0.0,151.0,48.0,106.0,75.0,0.0,229.0,380.0,61.1
608,Richmond,1472.0,248.0,244.0,108.0,0.0,600.0,85.0,173.0,146.0,0.0,404.0,1004.0,68.2
705,Richmond,2276.0,219.0,436.0,297.0,2.0,954.0,114.0,325.0,252.0,0.0,691.0,1645.0,72.3
706,Richmond,3315.0,261.0,882.0,361.0,0.0,1504.0,111.0,429.0,373.0,1.0,914.0,2418.0,72.9
707,Richmond,2122.0,161.0,248.0,99.0,1.0,509.0,212.0,410.0,213.0,0.0,835.0,1344.0,63.3
708,Richmond,305.0,22.0,107.0,34.0,0.0,163.0,7.0,43.0,18.0,0.0,68.0,231.0,75.7
802,Richmond,3251.0,695.0,419.0,218.0,1.0,1333.0,153.0,248.0,305.0,1.0,707.0,2040.0,62.7
804H,Richmond,2863.0,368.0,432.0,216.0,0.0,1016.0,172.0,383.0,321.0,0.0,876.0,1892.0,66.1
806,Richmond,1212.0,204.0,204.0,87.0,0.0,495.0,70.0,132.0,108.0,0.0,310.0,805.0,66.4
808,Richmond,2366.0,300.0,375.0,174.0,0.0,849.0,160.0,367.0,282.0,1.0,810.0,1659.0,70.1
810,Richmond,425.0,57.0,91.0,24.0,0.0,172.0,9.0,72.0,56.0,0.0,137.0,309.0,72.7
Stapleton Crossroads,Jefferson,441.0,69.0,100.0,20.0,1.0,190.0,32.0,35.0,48.0,1.0,116.0,306.0,69.4
Matthews,Jefferson,621.0,182.0,91.0,40.0,1.0,314.0,37.0,56.0,38.0,0.0,131.0,445.0,71.7
Wrens,Jefferson,2870.0,257.0,508.0,120.0,0.0,885.0,302.0,372.0,302.0,3.0,979.0,1864.0,64.9
Louisville,Jefferson,3899.0,119.0,808.0,156.0,0.0,1083.0,257.0,756.0,432.0,5.0,1450.0,2533.0,65.0
Wadley,Jefferson,1906.0,85.0,244.0,47.0,0.0,376.0,231.0,271.0,306.0,0.0,808.0,1184.0,62.1
Bartow,Jefferson,531.0,75.0,89.0,23.0,0.0,187.0,53.0,65.0,35.0,0.0,153.0,340.0,64.0
Stapleton,Jefferson,678.0,157.0,91.0,35.0,0.0,283.0,72.0,51.0,37.0,0.0,160.0,443.0,65.3
Avera,Jefferson,388.0,146.0,58.0,24.0,1.0,229.0,20.0,9.0,12.0,0.0,41.0,270.0,69.6
Cross-Green,Emanuel,241.0,28.0,34.0,3.0,0.0,65.0,60.0,18.0,30.0,0.0,108.0,173.0,71.8
Summertown,Emanuel,504.0,143.0,100.0,34.0,0.0,277.0,24.0,24.0,29.0,0.0,77.0,354.0,70.2
Blundale,Emanuel,756.0,227.0,245.0,67.0,0.0,539.0,5.0,16.0,4.0,0.0,25.0,564.0,74.6
Canoochee,Emanuel,681.0,233.0,131.0,31.0,0.0,395.0,28.0,40.0,23.0,0.0,91.0,486.0,71.4
Garfield,Emanuel,489.0,202.0,78.0,24.0,0.0,304.0,26.0,19.0,22.0,0.0,67.0,371.0,75.9
Twin City,Emanuel,1551.0,290.0,353.0,78.0,0.0,721.0,124.0,148.0,107.0,0.0,379.0,1100.0,70.9
Harlem Branch Library,Columbia,2642.0,265.0,541.0,130.0,0.0,936.0,45.0,136.0,93.0,0.0,274.0,1210.0,45.8
Harlem Senior Center,Columbia,1819.0,317.0,465.0,72.0,0.0,854.0,108.0,225.0,177.0,0.0,510.0,1364.0,75.0
Second Mt Moriah Baptist Church,Columbia,1027.0,60.0,112.0,23.0,1.0,196.0,8.0,35.0,20.0,0.0,63.0,259.0,25.2
Liberty Park-Grovetown,Columbia,3410.0,292.0,649.0,149.0,1.0,1091.0,207.0,614.0,303.0,1.0,1125.0,2216.0,65.0
Grovetown Methodist Church,Columbia,2736.0,196.0,309.0,109.0,0.0,614.0,249.0,510.0,257.0,2.0,1018.0,1632.0,59.6
G A Apostolic Church,Columbia,1701.0,243.0,370.0,126.0,0.0,739.0,78.0,240.0,137.0,0.0,455.0,1194.0,70.2
Marvin Methodist,Columbia,1937.0,334.0,392.0,139.0,0.0,865.0,128.0,182.0,186.0,0.0,496.0,1361.0,70.3
Westside Baptist Church,Columbia,1516.0,284.0,412.0,194.0,0.0,890.0,67.0,115.0,125.0,0.0,307.0,1197.0,79.0
Abilene Baptist,Columbia,2046.0,315.0,497.0,163.0,0.0,975.0,85.0,193.0,165.0,0.0,443.0,1418.0,69.3
Augusta Christian,Columbia,2179.0,329.0,532.0,185.0,1.0,1047.0,115.0,235.0,200.0,0.0,550.0,1597.0,73.3
Genesis Church,Columbia,1830.0,250.0,539.0,185.0,0.0,974.0,66.0,190.0,162.0,1.0,419.0,1393.0,76.1
Martinez Baptist,Columbia,1962.0,330.0,347.0,112.0,0.0,789.0,148.0,213.0,143.0,0.0,504.0,1293.0,65.9
Sylvania,Screven,0.0,80.0,279.0,108.0,0.0,467.0,54.0,166.0,109.0,1.0,330.0,797.0,
Hunters,Screven,0.0,88.0,99.0,33.0,8.0,228.0,24.0,50.0,46.0,1.0,121.0,349.0,
Newington,Screven,0.0,230.0,231.0,51.0,0.0,512.0,69.0,95.0,60.0,0.0,224.0,736.0,
Jenk Hill Fire Sta,Screven,0.0,97.0,238.0,61.0,1.0,397.0,76.0,200.0,95.0,0.0,371.0,768.0,
Rocky Ford,Screven,0.0,114.0,141.0,42.0,0.0,297.0,18.0,30.0,27.0,0.0,75.0,372.0,
Bay Branch,Screven,0.0,192.0,350.0,69.0,1.0,612.0,17.0,48.0,16.0,0.0,81.0,693.0,
Hiltonia,Screven,0.0,89.0,207.0,28.0,0.0,324.0,80.0,115.0,78.0,0.0,273.0,597.0,
Screven Rec Dept,Screven,0.0,35.0,79.0,15.0,0.0,129.0,36.0,59.0,50.0,3.0,148.0,277.0,
Greenhill Church,Screven,0.0,170.0,268.0,58.0,0.0,496.0,32.0,51.0,38.0,0.0,121.0,617.0,
Sr Citizens Center,Screven,0.0,53.0,181.0,57.0,0.0,291.0,119.0,245.0,121.0,0.0,485.0,776.0,
Jackson Fire Station,Screven,0.0,110.0,83.0,30.0,0.0,223.0,14.0,19.0,32.0,0.0,65.0,288.0,
Cooperville Fire Station,Screven,0.0,20.0,28.0,11.0,2.0,61.0,15.0,63.0,42.0,1.0,121.0,182.0,
Edgehill,Glascock,136.0,50.0,42.0,10.0,0.0,102.0,0.0,9.0,2.0,0.0,11.0,113.0,83.1
Gibson,Glascock,677.0,102.0,258.0,64.0,0.0,424.0,17.0,16.0,14.0,0.0,47.0,471.0,69.6
Mill,Glascock,778.0,145.0,329.0,67.0,0.0,541.0,6.0,16.0,14.0,0.0,36.0,577.0,74.2
Mitchell,Glascock,448.0,99.0,136.0,57.0,0.0,292.0,14.0,16.0,17.0,0.0,47.0,339.0,75.7
131,McDuffie,1172.0,17.0,103.0,44.0,0.0,164.0,82.0,285.0,203.0,0.0,570.0,734.0,62.6
132,McDuffie,1507.0,110.0,775.0,157.0,0.0,1042.0,12.0,52.0,52.0,0.0,116.0,1158.0,76.8
133A,McDuffie,1278.0,104.0,401.0,80.0,0.0,585.0,39.0,117.0,92.0,0.0,248.0,833.0,65.2
133B,McDuffie,1959.0,199.0,743.0,136.0,0.0,1078.0,44.0,163.0,104.0,0.0,311.0,1389.0,70.9
134,McDuffie,1908.0,63.0,380.0,86.0,0.0,529.0,111.0,359.0,323.0,0.0,793.0,1322.0,69.3
135,McDuffie,3089.0,169.0,1052.0,238.0,0.0,1459.0,89.0,383.0,201.0,0.0,673.0,2132.0,69.0
136,McDuffie,1940.0,34.0,117.0,37.0,0.0,188.0,158.0,385.0,316.0,0.0,859.0,1047.0,54.0
137,McDuffie,1202.0,77.0,581.0,115.0,0.0,773.0,19.0,85.0,64.0,0.0,168.0,941.0,78.3
139,McDuffie,978.0,74.0,313.0,65.0,0.0,452.0,30.0,134.0,97.0,0.0,261.0,713.0,72.9
Primary School,Jenkins,974.0,45.0,148.0,46.0,0.0,239.0,93.0,151.0,124.0,0.0,368.0,607.0,62.3
Court House,Jenkins,1039.0,40.0,193.0,57.0,0.0,290.0,80.0,156.0,116.0,0.0,352.0,642.0,61.8
Perkins,Jenkins,1021.0,130.0,313.0,87.0,3.0,533.0,34.0,63.0,56.0,0.0,153.0,686.0,67.2
Senior Citizens Center,Jenkins,974.0,143.0,351.0,91.0,0.0,585.0,18.0,50.0,36.0,0.0,104.0,689.0,70.7
Four Points,Jenkins,1058.0,207.0,212.0,68.0,0.0,487.0,61.0,94.0,69.0,1.0,225.0,712.0,67.3
Alexander,Burke,389.0,86.0,55.0,15.0,0.0,156.0,24.0,18.0,66.0,0.0,108.0,264.0,67.9
Four Points,Burke,2558.0,443.0,487.0,138.0,0.0,1068.0,126.0,227.0,153.0,0.0,506.0,1574.0,61.5
Girard,Burke,733.0,106.0,80.0,41.0,0.0,227.0,93.0,56.0,84.0,0.0,233.0,460.0,62.8
Gough,Burke,434.0,40.0,61.0,16.0,0.0,117.0,52.0,39.0,98.0,0.0,189.0,306.0,70.5
Greenscut,Burke,1036.0,139.0,220.0,42.0,0.0,401.0,86.0,94.0,88.0,0.0,268.0,669.0,64.6
Keysville,Burke,476.0,62.0,40.0,19.0,0.0,121.0,97.0,11.0,28.0,0.0,136.0,257.0,54.0
Midville,Burke,492.0,91.0,20.0,12.0,0.0,123.0,85.0,24.0,63.0,0.0,172.0,295.0,60.0
Munnerlyn,Burke,299.0,66.0,47.0,4.0,0.0,117.0,22.0,26.0,30.0,0.0,78.0,195.0,65.2
Sardis,Burke,1049.0,209.0,119.0,58.0,0.0,386.0,124.0,78.0,52.0,0.0,254.0,640.0,61.0
Scotts Crossroads,Burke,294.0,39.0,17.0,4.0,0.0,60.0,37.0,40.0,46.0,0.0,123.0,183.0,62.2
Telfair,Burke,1121.0,155.0,169.0,52.0,0.0,376.0,68.0,127.0,118.0,0.0,313.0,689.0,61.5
St Clair,Burke,442.0,68.0,83.0,23.0,0.0,174.0,40.0,36.0,60.0,0.0,136.0,310.0,70.1
Vidette,Burke,313.0,73.0,25.0,10.0,0.0,108.0,39.0,15.0,45.0,0.0,99.0,207.0,66.1
North Waynesboro,Burke,2949.0,82.0,341.0,65.0,0.0,488.0,273.0,480.0,500.0,0.0,1253.0,1741.0,59.0
South Waynesboro,Burke,3290.0,224.0,915.0,160.0,0.0,1299.0,216.0,441.0,315.0,0.0,972.0,2271.0,69.0
Blakeney,Burke,681.0,33.0,115.0,10.0,0.0,158.0,72.0,93.0,72.0,0.0,237.0,395.0,58.0
Warrenton,Warren,3785.0,189.0,771.0,200.0,0.0,1160.0,287.0,597.0,513.0,0.0,1397.0,2557.0,67.6
Wrightsville,Johnson,3113.0,132.0,941.0,163.0,0.0,1236.0,118.0,459.0,287.0,0.0,864.0,2100.0,67.5
Smith,Johnson,796.0,223.0,231.0,54.0,0.0,508.0,29.0,17.0,13.0,0.0,59.0,567.0,71.2
