Precinct,County,Registered Voters,Lee Anderson (I) (Rep)_Election Day Votes,Lee Anderson (I) (Rep)_Advanced Voting Votes,Lee Anderson (I) (Rep)_Absentee by Mail Votes,Lee Anderson (I) (Rep)_Provisional Votes,Lee Anderson (I) (Rep)_Choice Total,Total,calc_participation
Midway,Lincoln,587.0,114.0,175.0,66.0,0.0,355.0,355.0,60.5
Lincoln Club House,Lincoln,799.0,89.0,185.0,76.0,1.0,351.0,351.0,43.9
Lincoln Center,Lincoln,1489.0,201.0,604.0,169.0,0.0,974.0,974.0,65.4
Faith Temple of Lincoln,Lincoln,489.0,88.0,139.0,56.0,0.0,283.0,283.0,57.9
Tabernacle,Lincoln,1003.0,159.0,267.0,85.0,0.0,511.0,511.0,50.9
Bethany Church,Lincoln,575.0,118.0,187.0,64.0,0.0,369.0,369.0,64.2
Martins Crossroad,Lincoln,1234.0,256.0,471.0,119.0,0.0,846.0,846.0,68.6
Senior Citizen Center,Wilkes,1552.0,118.0,380.0,144.0,5.0,647.0,647.0,41.7
Young Farmers Bldg,Wilkes,1173.0,142.0,479.0,161.0,1.0,783.0,783.0,66.8
Metasville Fire Sta,Wilkes,610.0,120.0,180.0,79.0,0.0,379.0,379.0,62.1
Edward B Pope Center,Wilkes,1017.0,114.0,180.0,65.0,0.0,359.0,359.0,35.3
Rayle City Hall,Wilkes,570.0,142.0,121.0,49.0,1.0,313.0,313.0,54.9
Courthouse,Wilkes,1001.0,98.0,390.0,108.0,0.0,596.0,596.0,59.5
Tignal Sch Lunch Rm,Wilkes,896.0,189.0,228.0,99.0,0.0,516.0,516.0,57.6
709,Richmond,576.0,62.0,160.0,97.0,0.0,319.0,319.0,55.4
Kiokee Baptist Church,Columbia,2541.0,470.0,1200.0,218.0,0.0,1888.0,1888.0,74.3
Lewis Methodist Church,Columbia,3737.0,508.0,1383.0,421.0,2.0,2314.0,2314.0,61.9
Woodlawn Baptist Church,Columbia,1290.0,186.0,526.0,158.0,0.0,870.0,870.0,67.4
Patriots Park,Columbia,4046.0,440.0,1669.0,313.0,0.0,2422.0,2422.0,59.9
New Life Church,Columbia,4438.0,483.0,1458.0,339.0,2.0,2282.0,2282.0,51.4
Harlem Branch Library,Columbia,2642.0,118.0,368.0,68.0,2.0,556.0,556.0,21.0
Second Mt Moriah Baptist Church,Columbia,1027.0,113.0,300.0,56.0,0.0,469.0,469.0,45.7
Bessie Thomas Center,Columbia,799.0,119.0,383.0,71.0,2.0,575.0,575.0,72.0
Philadelphia Church,Columbia,2355.0,289.0,839.0,195.0,1.0,1324.0,1324.0,56.2
Grovetown Public Safety Station,Columbia,23696.0,374.0,1083.0,320.0,2.0,1779.0,1779.0,7.5
Grove First Baptist Church,Columbia,2954.0,261.0,854.0,212.0,1.0,1328.0,1328.0,45.0
Eubank-Blanchard Center,Columbia,1576.0,431.0,549.0,97.0,1.0,1078.0,1078.0,68.4
Second Mt Carmel Baptist Church,Columbia,731.0,154.0,168.0,59.0,0.0,381.0,381.0,52.1
Damascus Baptist Church,Columbia,1023.0,378.0,314.0,79.0,1.0,772.0,772.0,75.5
Col Cty Bd of Edu,Columbia,2143.0,274.0,829.0,223.0,2.0,1328.0,1328.0,62.0
Greenbrier High,Columbia,3369.0,565.0,1415.0,327.0,1.0,2308.0,2308.0,68.5
Parkway Baptist Church,Columbia,4596.0,685.0,1850.0,402.0,1.0,2938.0,2938.0,63.9
Riverview Church,Columbia,1320.0,189.0,539.0,148.0,0.0,876.0,876.0,66.4
Grace Baptist Church,Columbia,3558.0,483.0,1305.0,302.0,0.0,2090.0,2090.0,58.7
Christ Sanctified,Columbia,2521.0,409.0,882.0,248.0,1.0,1540.0,1540.0,61.1
Blanchard Park,Columbia,2026.0,302.0,557.0,201.0,2.0,1062.0,1062.0,52.4
Belair Baptist Church,Columbia,2440.0,433.0,753.0,247.0,1.0,1434.0,1434.0,58.8
Trinity Baptist Church,Columbia,2836.0,518.0,905.0,333.0,3.0,1759.0,1759.0,62.0
Savannah Rapids Pavilion,Columbia,1549.0,156.0,680.0,340.0,0.0,1176.0,1176.0,75.9
Gospel Water Branch,Columbia,2096.0,302.0,778.0,258.0,2.0,1340.0,1340.0,63.9
Stevens Creek Church,Columbia,2760.0,432.0,1092.0,384.0,1.0,1909.0,1909.0,69.2
Mtz Col Fire Hdqtr,Columbia,1291.0,259.0,296.0,109.0,1.0,665.0,665.0,51.5
Lakeside Middle,Columbia,1923.0,328.0,622.0,154.0,1.0,1105.0,1105.0,57.5
Gold Cross EMS,Columbia,1889.0,268.0,550.0,333.0,5.0,1156.0,1156.0,61.2
Church of Our Savior,Columbia,2310.0,403.0,616.0,267.0,4.0,1290.0,1290.0,55.8
West Acres Baptist,Columbia,2424.0,363.0,885.0,263.0,1.0,1512.0,1512.0,62.4
Journey Comm Church,Columbia,1268.0,179.0,558.0,167.0,2.0,906.0,906.0,71.5
Wesley Methodist,Columbia,2434.0,388.0,974.0,252.0,3.0,1617.0,1617.0,66.4
Col Cty Main Library,Columbia,2106.0,225.0,831.0,207.0,1.0,1264.0,1264.0,60.0
Christ Church Presbyterian,Columbia,2081.0,324.0,849.0,210.0,2.0,1385.0,1385.0,66.6
Blue Ridge Elementary,Columbia,2301.0,366.0,754.0,213.0,1.0,1334.0,1334.0,58.0
Christ The King Luth Church,Columbia,2148.0,222.0,870.0,312.0,1.0,1405.0,1405.0,65.4
Elberton,Elbert,3798.0,276.0,1165.0,422.0,0.0,1863.0,1863.0,49.1
Longstreet,Elbert,622.0,114.0,207.0,71.0,0.0,392.0,392.0,63.0
Eliam,Elbert,748.0,161.0,260.0,99.0,0.0,520.0,520.0,69.5
Petersburg,Elbert,377.0,105.0,93.0,57.0,0.0,255.0,255.0,67.6
Wyche,Elbert,1095.0,146.0,447.0,127.0,0.0,720.0,720.0,65.8
Moss-Ruckersville,Elbert,468.0,105.0,132.0,56.0,0.0,293.0,293.0,62.6
Pike,Elbert,1596.0,251.0,474.0,201.0,0.0,926.0,926.0,58.0
Gaines,Elbert,570.0,180.0,132.0,68.0,0.0,380.0,380.0,66.7
Goshen,Elbert,1612.0,368.0,525.0,156.0,0.0,1049.0,1049.0,65.1
Webbsboro,Elbert,408.0,99.0,133.0,44.0,0.0,276.0,276.0,67.6
Centerville,Elbert,1011.0,219.0,347.0,93.0,0.0,659.0,659.0,65.2
