Precinct,County,Registered Voters,Sheila McNeill (Rep)_Election Day Votes,Sheila McNeill (Rep)_Advanced Voting Votes,Sheila McNeill (Rep)_Absentee by Mail Votes,Sheila McNeill (Rep)_Provisional Votes,Sheila McNeill (Rep)_Choice Total,Total,calc_participation,Rep_total
Sterling Elementary,Glynn,4578.0,464.0,1610.0,433.0,2.0,2509.0,2509.0,54.8,2509.0
Brookman,Glynn,3460.0,434.0,1218.0,265.0,3.0,1920.0,1920.0,55.5,1920.0
Satilla Marshes,Glynn,2824.0,347.0,1009.0,273.0,0.0,1629.0,1629.0,57.7,1629.0
Blythe Island Baptist,Glynn,2529.0,281.0,1022.0,255.0,2.0,1560.0,1560.0,61.7,1560.0
Christian Renewal,Glynn,3699.0,306.0,1561.0,519.0,2.0,2388.0,2388.0,64.6,2388.0
Hampton River,Glynn,2823.0,223.0,1269.0,411.0,2.0,1905.0,1905.0,67.5,1905.0
St William Catholic Church,Glynn,4333.0,309.0,1962.0,539.0,2.0,2812.0,2812.0,64.9,2812.0
First Baptist,Glynn,4316.0,317.0,1823.0,549.0,1.0,2690.0,2690.0,62.3,2690.0
Jekyll Island,Glynn,774.0,226.0,97.0,98.0,2.0,423.0,423.0,54.7,423.0
Sterling Church of God,Glynn,3925.0,446.0,1278.0,297.0,4.0,2025.0,2025.0,51.6,2025.0
SE Baptist Bldg,Glynn,2109.0,240.0,654.0,167.0,1.0,1062.0,1062.0,50.4,1062.0
Career Academy,Glynn,2960.0,348.0,961.0,314.0,3.0,1626.0,1626.0,54.9,1626.0
C B Greer School,Glynn,3288.0,353.0,1103.0,323.0,2.0,1781.0,1781.0,54.2,1781.0
Ballard,Glynn,3286.0,259.0,951.0,323.0,4.0,1537.0,1537.0,46.8,1537.0
Northside Baptist,Glynn,3313.0,274.0,658.0,295.0,0.0,1227.0,1227.0,37.0,1227.0
The Chapel,Glynn,2971.0,192.0,575.0,232.0,2.0,1001.0,1001.0,33.7,1001.0
College Place UMC,Glynn,2367.0,169.0,505.0,212.0,0.0,886.0,886.0,37.4,886.0
Howard Coffin Park,Glynn,3320.0,236.0,554.0,239.0,1.0,1030.0,1030.0,31.0,1030.0
Urbana-Perry Parks,Glynn,3638.0,188.0,348.0,187.0,1.0,724.0,724.0,19.9,724.0
Selden Park,Glynn,1439.0,93.0,201.0,79.0,2.0,375.0,375.0,26.1,375.0
Tarboro,Camden,979.0,223.0,226.0,80.0,0.0,529.0,529.0,54.0,529.0
Waverly,Camden,1530.0,299.0,494.0,183.0,0.0,976.0,976.0,63.8,976.0
Woodbine,Camden,1973.0,293.0,554.0,158.0,1.0,1006.0,1006.0,51.0,1006.0
Browntown,Camden,698.0,126.0,216.0,58.0,0.0,400.0,400.0,57.3,400.0
Harrietts Bluff,Camden,1834.0,381.0,641.0,164.0,0.0,1186.0,1186.0,64.7,1186.0
West Kingsland,Camden,2782.0,336.0,1012.0,219.0,0.0,1567.0,1567.0,56.3,1567.0
North Kingsland,Camden,2599.0,243.0,630.0,180.0,0.0,1053.0,1053.0,40.5,1053.0
Kingsland,Camden,2274.0,216.0,620.0,145.0,0.0,981.0,981.0,43.1,981.0
East Kingsland,Camden,6866.0,605.0,2364.0,627.0,0.0,3596.0,3596.0,52.4,3596.0
North St Marys,Camden,2095.0,221.0,407.0,124.0,0.0,752.0,752.0,35.9,752.0
St Marys,Camden,3218.0,426.0,929.0,277.0,0.0,1632.0,1632.0,50.7,1632.0
South St Marys,Camden,2139.0,229.0,751.0,255.0,2.0,1237.0,1237.0,57.8,1237.0
Mush Bluff,Camden,2816.0,360.0,979.0,275.0,1.0,1615.0,1615.0,57.4,1615.0
West St Marys,Camden,3147.0,253.0,1343.0,508.0,0.0,2104.0,2104.0,66.9,2104.0
Hoboken,Brantley,3394.0,620.0,1272.0,249.0,0.0,2141.0,2141.0,63.1,2141.0
Nahunta,Brantley,4208.0,521.0,1651.0,252.0,4.0,2428.0,2428.0,57.7,2428.0
Waynesville,Brantley,4286.0,794.0,1253.0,225.0,3.0,2275.0,2275.0,53.1,2275.0
Sapelo Island,McIntosh,53.0,5.0,9.0,5.0,0.0,19.0,19.0,35.8,19.0
Townsend,McIntosh,564.0,82.0,111.0,129.0,0.0,322.0,322.0,57.1,322.0
Crescent,McIntosh,1982.0,207.0,452.0,187.0,0.0,846.0,846.0,42.7,846.0
Darien,McIntosh,2441.0,150.0,805.0,287.0,0.0,1242.0,1242.0,50.9,1242.0
South Newport,McIntosh,2095.0,322.0,704.0,312.0,1.0,1339.0,1339.0,63.9,1339.0
North Darien,McIntosh,2157.0,245.0,686.0,183.0,0.0,1114.0,1114.0,51.6,1114.0
Folkston,Charlton,2420.0,225.0,593.0,160.0,0.0,978.0,978.0,40.4,978.0
American Legion,Charlton,748.0,35.0,96.0,16.0,0.0,147.0,147.0,19.7,147.0
Homeland,Charlton,864.0,159.0,322.0,55.0,0.0,536.0,536.0,62.0,536.0
Folkston Fire,Charlton,767.0,77.0,359.0,57.0,0.0,493.0,493.0,64.3,493.0
Racepond,Charlton,266.0,31.0,31.0,5.0,0.0,67.0,67.0,25.2,67.0
Winokur,Charlton,317.0,88.0,90.0,22.0,0.0,200.0,200.0,63.1,200.0
