Precinct,County,Registered Voters,Michael Rhett (I) (Dem)_Election Day Votes,Michael Rhett (I) (Dem)_Advanced Voting Votes,Michael Rhett (I) (Dem)_Absentee by Mail Votes,Michael Rhett (I) (Dem)_Provisional Votes,Michael Rhett (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Austell 1A,Cobb,5329.0,458.0,1368.0,1041.0,6.0,2873.0,2873.0,53.9,2873.0
Birney 01,Cobb,2727.0,283.0,544.0,545.0,10.0,1382.0,1382.0,50.7,1382.0
Clarkdale 01,Cobb,1937.0,175.0,406.0,357.0,1.0,939.0,939.0,48.5,939.0
Clarkdale 02,Cobb,5372.0,566.0,1469.0,944.0,4.0,2983.0,2983.0,55.5,2983.0
Cooper 01,Cobb,5252.0,475.0,1351.0,1005.0,3.0,2834.0,2834.0,54.0,2834.0
Eastside 02,Cobb,4074.0,96.0,320.0,401.0,1.0,818.0,818.0,20.1,818.0
Elizabeth 01,Cobb,4065.0,34.0,58.0,26.0,0.0,118.0,118.0,2.9,118.0
Elizabeth 02,Cobb,2434.0,229.0,476.0,532.0,0.0,1237.0,1237.0,50.8,1237.0
Elizabeth 04,Cobb,3011.0,186.0,186.0,163.0,0.0,535.0,535.0,17.8,535.0
East Piedmont 01,Cobb,2627.0,161.0,164.0,176.0,0.0,501.0,501.0,19.1,501.0
Fair Oaks 02,Cobb,5779.0,616.0,1230.0,1057.0,6.0,2909.0,2909.0,50.3,2909.0
Fair Oaks 04,Cobb,5322.0,644.0,756.0,737.0,2.0,2139.0,2139.0,40.2,2139.0
Mableton 01,Cobb,5127.0,349.0,1356.0,1179.0,0.0,2884.0,2884.0,56.3,2884.0
Mableton 02,Cobb,3330.0,202.0,432.0,391.0,0.0,1025.0,1025.0,30.8,1025.0
Macland 01,Cobb,4213.0,340.0,1254.0,882.0,1.0,2477.0,2477.0,58.8,2477.0
McEachern 01,Cobb,3549.0,223.0,1006.0,790.0,1.0,2020.0,2020.0,56.9,2020.0
Marietta 1A,Cobb,4468.0,256.0,514.0,469.0,1.0,1240.0,1240.0,27.8,1240.0
Marietta 2A,Cobb,2059.0,226.0,369.0,369.0,0.0,964.0,964.0,46.8,964.0
Marietta 2B,Cobb,4447.0,453.0,1064.0,807.0,3.0,2327.0,2327.0,52.3,2327.0
Marietta 3A,Cobb,4388.0,362.0,987.0,902.0,2.0,2253.0,2253.0,51.3,2253.0
Marietta 3B,Cobb,2218.0,196.0,532.0,449.0,1.0,1178.0,1178.0,53.1,1178.0
Marietta 4A,Cobb,1956.0,276.0,330.0,367.0,1.0,974.0,974.0,49.8,974.0
Marietta 4B,Cobb,2056.0,194.0,439.0,417.0,1.0,1051.0,1051.0,51.1,1051.0
Marietta 5A,Cobb,3324.0,365.0,688.0,606.0,2.0,1661.0,1661.0,50.0,1661.0
Marietta 5B,Cobb,3084.0,214.0,396.0,323.0,0.0,933.0,933.0,30.3,933.0
Marietta 6A,Cobb,2647.0,132.0,245.0,180.0,2.0,559.0,559.0,21.1,559.0
Marietta 6B,Cobb,2910.0,278.0,687.0,710.0,0.0,1675.0,1675.0,57.6,1675.0
Marietta 7A,Cobb,3745.0,185.0,390.0,257.0,1.0,833.0,833.0,22.2,833.0
Oregon 02,Cobb,5671.0,524.0,1434.0,1237.0,1.0,3196.0,3196.0,56.4,3196.0
Oregon 03,Cobb,5713.0,503.0,1076.0,859.0,5.0,2443.0,2443.0,42.8,2443.0
Oregon 04,Cobb,4673.0,429.0,1141.0,1078.0,3.0,2651.0,2651.0,56.7,2651.0
Powers Ferry 01,Cobb,3504.0,365.0,677.0,712.0,3.0,1757.0,1757.0,50.1,1757.0
Powders Springs 1A,Cobb,4755.0,272.0,1504.0,1132.0,3.0,2911.0,2911.0,61.2,2911.0
Powders Springs 2A,Cobb,3536.0,269.0,1025.0,668.0,3.0,1965.0,1965.0,55.6,1965.0
Powders Springs 3A,Cobb,3991.0,318.0,1251.0,690.0,1.0,2260.0,2260.0,56.6,2260.0
Sewell Mill 03,Cobb,4759.0,492.0,935.0,881.0,1.0,2309.0,2309.0,48.5,2309.0
Smyrna 5A,Cobb,4319.0,3.0,6.0,3.0,0.0,12.0,12.0,0.3,12.0
Sweetwater 01,Cobb,3235.0,279.0,866.0,588.0,0.0,1733.0,1733.0,53.6,1733.0
Sweetwater 02,Cobb,3367.0,310.0,668.0,653.0,17.0,1648.0,1648.0,48.9,1648.0
