Precinct,County,Registered Voters,Bo Hatchett (Rep)_Election Day Votes,Bo Hatchett (Rep)_Advanced Voting Votes,Bo Hatchett (Rep)_Absentee by Mail Votes,Bo Hatchett (Rep)_Provisional Votes,Bo Hatchett (Rep)_Choice Total,Dee Daley (Dem)_Election Day Votes,Dee Daley (Dem)_Advanced Voting Votes,Dee Daley (Dem)_Absentee by Mail Votes,Dee Daley (Dem)_Provisional Votes,Dee Daley (Dem)_Choice Total,Total,calc_participation
Habersham North,Habersham,9096.0,657.0,4192.0,1041.0,10.0,5900.0,80.0,513.0,406.0,0.0,999.0,6899.0,75.8
Habersham South,Habersham,6171.0,536.0,2201.0,631.0,4.0,3372.0,125.0,341.0,251.0,1.0,718.0,4090.0,66.3
Demorest,Habersham,4963.0,490.0,2107.0,549.0,1.0,3147.0,66.0,222.0,149.0,1.0,438.0,3585.0,72.2
Town of Mt Airy,Habersham,790.0,102.0,245.0,67.0,2.0,416.0,19.0,49.0,29.0,0.0,97.0,513.0,64.9
City of Baldwin,Habersham,1252.0,149.0,310.0,87.0,0.0,546.0,37.0,66.0,56.0,0.0,159.0,705.0,56.3
Mud Creek,Habersham,4435.0,478.0,1651.0,467.0,2.0,2598.0,82.0,173.0,153.0,0.0,408.0,3006.0,67.8
Amys Creek,Habersham,1557.0,271.0,568.0,180.0,0.0,1019.0,29.0,91.0,100.0,0.0,220.0,1239.0,79.6
Senior Center,Stephens,0.0,1211.0,6728.0,1428.0,4.0,9371.0,294.0,1145.0,681.0,0.0,2120.0,11491.0,
Carnesville,Franklin,2382.0,252.0,1088.0,221.0,0.0,1561.0,27.0,82.0,66.0,0.0,175.0,1736.0,72.9
West Franklin,Franklin,1764.0,315.0,568.0,169.0,0.0,1052.0,36.0,45.0,42.0,0.0,123.0,1175.0,66.6
Northeast Franklin,Franklin,2935.0,435.0,999.0,310.0,2.0,1746.0,51.0,105.0,131.0,0.0,287.0,2033.0,69.3
Lavonia,Franklin,2355.0,298.0,731.0,185.0,0.0,1214.0,94.0,131.0,131.0,0.0,356.0,1570.0,66.7
Canon,Franklin,1244.0,280.0,401.0,110.0,0.0,791.0,32.0,41.0,29.0,0.0,102.0,893.0,71.8
Royston,Franklin,2034.0,291.0,621.0,220.0,0.0,1132.0,59.0,106.0,96.0,0.0,261.0,1393.0,68.5
Southwest Franklin,Franklin,2432.0,408.0,936.0,213.0,0.0,1557.0,18.0,80.0,65.0,0.0,163.0,1720.0,70.7
Young Harris,Towns,3323.0,366.0,1165.0,378.0,0.0,1909.0,57.0,231.0,212.0,1.0,501.0,2410.0,72.5
Macedonia,Towns,3828.0,327.0,1503.0,423.0,3.0,2256.0,34.0,205.0,212.0,0.0,451.0,2707.0,70.7
Hiawassee,Towns,3542.0,269.0,1421.0,432.0,4.0,2126.0,30.0,213.0,229.0,0.0,472.0,2598.0,73.3
Rabun County,Rabun,13072.0,1180.0,4544.0,1690.0,0.0,7414.0,205.0,888.0,849.0,0.0,1942.0,9356.0,71.6
Tadmore,Hall,0.0,165.0,388.0,119.0,4.0,676.0,140.0,230.0,124.0,1.0,495.0,1171.0,
Gillsville,Hall,0.0,311.0,356.0,78.0,1.0,746.0,31.0,56.0,37.0,0.0,124.0,870.0,
Anderson,Banks,1533.0,214.0,568.0,100.0,1.0,883.0,9.0,47.0,45.0,0.0,101.0,984.0,64.2
Baldwin,Banks,876.0,80.0,320.0,125.0,0.0,525.0,20.0,39.0,36.0,0.0,95.0,620.0,70.8
Berlin,Banks,415.0,45.0,188.0,29.0,1.0,263.0,1.0,16.0,4.0,0.0,21.0,284.0,68.4
Bushville,Banks,816.0,118.0,294.0,44.0,1.0,457.0,7.0,19.0,14.0,0.0,40.0,497.0,60.9
Columbia,Banks,363.0,62.0,164.0,29.0,0.0,255.0,5.0,8.0,6.0,1.0,20.0,275.0,75.8
Davids,Banks,1977.0,237.0,719.0,128.0,4.0,1088.0,25.0,83.0,51.0,0.0,159.0,1247.0,63.1
Golden Hill,Banks,1008.0,125.0,334.0,71.0,0.0,530.0,13.0,30.0,32.0,2.0,77.0,607.0,60.2
Grove River,Banks,600.0,91.0,227.0,65.0,0.0,383.0,9.0,16.0,8.0,0.0,33.0,416.0,69.3
Hollingsworth,Banks,667.0,85.0,284.0,56.0,1.0,426.0,4.0,21.0,22.0,0.0,47.0,473.0,70.9
Homer,Banks,1544.0,173.0,657.0,118.0,1.0,949.0,18.0,43.0,32.0,0.0,93.0,1042.0,67.5
Poplar Springs,Banks,1775.0,217.0,716.0,165.0,1.0,1099.0,21.0,51.0,43.0,0.0,115.0,1214.0,68.4
Washington,Banks,704.0,81.0,299.0,52.0,1.0,433.0,8.0,27.0,16.0,0.0,51.0,484.0,68.8
Wilmonts,Banks,620.0,75.0,259.0,53.0,0.0,387.0,3.0,15.0,10.0,0.0,28.0,415.0,66.9
Central Jackson,Jackson,16263.0,1052.0,4624.0,870.0,0.0,6546.0,205.0,768.0,473.0,0.0,1446.0,7992.0,49.1
North Jackson,Jackson,12699.0,1258.0,4488.0,1173.0,1.0,6920.0,243.0,743.0,570.0,0.0,1556.0,8476.0,66.7
