Precinct,County,Registered Voters,Chuck Payne (I) (Rep)_Election Day Votes,Chuck Payne (I) (Rep)_Advanced Voting Votes,Chuck Payne (I) (Rep)_Absentee by Mail Votes,Chuck Payne (I) (Rep)_Provisional Votes,Chuck Payne (I) (Rep)_Choice Total,Total,calc_participation
1A,Whitfield,2533.0,272.0,447.0,231.0,3.0,953.0,953.0,37.6
2A,Whitfield,3090.0,402.0,1042.0,305.0,5.0,1754.0,1754.0,56.8
3A,Whitfield,2221.0,297.0,693.0,263.0,0.0,1253.0,1253.0,56.4
4A,Whitfield,2586.0,329.0,873.0,286.0,0.0,1488.0,1488.0,57.5
5A,Whitfield,2238.0,248.0,310.0,125.0,4.0,687.0,687.0,30.7
6A,Whitfield,1690.0,190.0,229.0,73.0,1.0,493.0,493.0,29.2
AN,Whitfield,2474.0,324.0,496.0,163.0,4.0,987.0,987.0,39.9
CA,Whitfield,1953.0,505.0,432.0,127.0,2.0,1066.0,1066.0,54.6
CO,Whitfield,1431.0,463.0,329.0,102.0,6.0,900.0,900.0,62.9
DG,Whitfield,3295.0,618.0,925.0,334.0,4.0,1881.0,1881.0,57.1
ES,Whitfield,1702.0,292.0,353.0,127.0,0.0,772.0,772.0,45.4
FI,Whitfield,2146.0,447.0,540.0,132.0,1.0,1120.0,1120.0,52.2
GL,Whitfield,2510.0,441.0,609.0,205.0,2.0,1257.0,1257.0,50.1
LT,Whitfield,1148.0,285.0,411.0,80.0,1.0,777.0,777.0,67.7
MC,Whitfield,1659.0,481.0,489.0,109.0,1.0,1080.0,1080.0,65.1
NI,Whitfield,2456.0,633.0,676.0,199.0,2.0,1510.0,1510.0,61.5
PG,Whitfield,4721.0,721.0,1539.0,476.0,6.0,2742.0,2742.0,58.1
TH,Whitfield,3836.0,739.0,1189.0,338.0,2.0,2268.0,2268.0,59.1
TI,Whitfield,775.0,275.0,137.0,44.0,1.0,457.0,457.0,59.0
TR,Whitfield,1335.0,348.0,452.0,130.0,0.0,930.0,930.0,69.7
UT,Whitfield,1053.0,370.0,256.0,76.0,0.0,702.0,702.0,66.7
VA,Whitfield,5250.0,1002.0,1717.0,481.0,1.0,3201.0,3201.0,61.0
WS,Whitfield,2647.0,520.0,867.0,282.0,4.0,1673.0,1673.0,63.2
Sonoraville,Gordon,5380.0,1170.0,1727.0,443.0,0.0,3340.0,3340.0,62.1
Pine Chapel,Gordon,1071.0,321.0,268.0,66.0,0.0,655.0,655.0,61.2
Oakman,Gordon,1439.0,437.0,257.0,103.0,0.0,797.0,797.0,55.4
Fairmount,Gordon,1991.0,685.0,359.0,180.0,2.0,1226.0,1226.0,61.6
Red Bud,Gordon,2965.0,655.0,951.0,181.0,1.0,1788.0,1788.0,60.3
Resaca,Gordon,1532.0,391.0,312.0,105.0,0.0,808.0,808.0,52.7
McDonald,Murray,2524.0,343.0,975.0,168.0,0.0,1486.0,1486.0,58.9
Shuck Pen,Murray,2940.0,659.0,942.0,167.0,0.0,1768.0,1768.0,60.1
Southwest,Murray,3215.0,687.0,851.0,213.0,0.0,1751.0,1751.0,54.5
Spring Place,Murray,3671.0,552.0,1393.0,247.0,0.0,2192.0,2192.0,59.7
Town,Murray,5766.0,698.0,2399.0,484.0,0.0,3581.0,3581.0,62.1
Carters-Doolittle,Murray,2045.0,448.0,596.0,131.0,0.0,1175.0,1175.0,57.5
North,Murray,2123.0,545.0,681.0,150.0,0.0,1376.0,1376.0,64.8
Hill,Pickens,2042.0,556.0,603.0,188.0,2.0,1349.0,1349.0,66.1
Hinton,Pickens,825.0,320.0,152.0,30.0,0.0,502.0,502.0,60.8
Jerusalem,Pickens,1145.0,498.0,201.0,71.0,0.0,770.0,770.0,67.2
Ludville,Pickens,721.0,307.0,95.0,36.0,0.0,438.0,438.0,60.7
Talking Rock,Pickens,1781.0,466.0,488.0,148.0,3.0,1105.0,1105.0,62.0
Jasper,Pickens,2517.0,1.0,0.0,0.0,1.0,2.0,2.0,0.1
Tate,Pickens,2651.0,670.0,821.0,216.0,1.0,1708.0,1708.0,64.4
