,Precinct,County,Registered Voters,Mark P. Jones (Dem)_Election Day Votes,Mark P. Jones (Dem)_Advanced Voting Votes,Mark P. Jones (Dem)_Absentee by Mail Votes,Mark P. Jones (Dem)_Provisional Votes,Mark P. Jones (Dem)_Choice Total,Total,calc_participation
49,Activity Center,Chattahoochee,0.0,305.0,567.0,219.0,3.0,1094.0,1094.0,
0,Cataula,Harris,2898.0,425.0,623.0,268.0,1.0,1317.0,1317.0,45.4
1,Ellerslie,Harris,4211.0,519.0,971.0,509.0,0.0,1999.0,1999.0,47.5
2,Goodman,Harris,1649.0,255.0,294.0,176.0,1.0,726.0,726.0,44.0
3,Hamilton,Harris,2739.0,366.0,669.0,303.0,2.0,1340.0,1340.0,48.9
4,Lower 19th,Harris,2570.0,396.0,510.0,258.0,1.0,1165.0,1165.0,45.3
5,Mulberry Grove,Harris,2908.0,345.0,663.0,263.0,0.0,1271.0,1271.0,43.7
6,Pine Mountain Valley,Harris,1121.0,263.0,154.0,75.0,2.0,494.0,494.0,44.1
7,Skinner,Harris,894.0,257.0,88.0,107.0,2.0,454.0,454.0,50.8
8,Upper 19th,Harris,1628.0,266.0,290.0,116.0,1.0,673.0,673.0,41.3
9,Valley Plains,Harris,785.0,211.0,86.0,77.0,0.0,374.0,374.0,47.6
10,Waverly Hall,Harris,2853.0,425.0,517.0,382.0,1.0,1325.0,1325.0,46.4
11,Whitesville,Harris,1370.0,288.0,191.0,141.0,0.0,620.0,620.0,45.3
44,Pineknot,Marion,971.0,169.0,162.0,55.0,0.0,386.0,386.0,39.8
45,Buena Vista,Marion,2343.0,221.0,760.0,398.0,0.0,1379.0,1379.0,58.9
48,Fort Perry,Marion,883.0,128.0,157.0,76.0,0.0,361.0,361.0,40.9
47,Brantley,Marion,396.0,49.0,86.0,36.0,0.0,171.0,171.0,43.2
46,Tazewell,Marion,320.0,66.0,62.0,24.0,0.0,152.0,152.0,47.5
29,Moon/Morningside,Muscogee,5415.0,502.0,1299.0,725.0,1.0,2527.0,2527.0,46.7
36,Psalmond/Mathews,Muscogee,7331.0,420.0,2319.0,1193.0,1.0,3933.0,3933.0,53.6
35,Edgewood Baptist,Muscogee,3235.0,263.0,903.0,481.0,3.0,1650.0,1650.0,51.0
34,Marianna Gallops,Muscogee,3095.0,243.0,567.0,351.0,5.0,1166.0,1166.0,37.7
33,Epworth UMC,Muscogee,4512.0,382.0,848.0,491.0,0.0,1721.0,1721.0,38.1
32,First African,Muscogee,1955.0,123.0,314.0,265.0,4.0,706.0,706.0,36.1
31,Salvation Army,Muscogee,3192.0,299.0,849.0,430.0,0.0,1578.0,1578.0,49.4
30,St Andrews/Midland,Muscogee,7959.0,697.0,2180.0,1194.0,0.0,4071.0,4071.0,51.1
28,St Paul/Clubview,Muscogee,5677.0,403.0,1455.0,727.0,0.0,2585.0,2585.0,45.5
26,Holsey/Buena Vista,Muscogee,7613.0,500.0,2324.0,1314.0,0.0,4138.0,4138.0,54.4
12,Wynnton/Britt,Muscogee,5289.0,390.0,1258.0,797.0,0.0,2445.0,2445.0,46.2
25,Canaan,Muscogee,7078.0,481.0,1912.0,1170.0,0.0,3563.0,3563.0,50.3
24,Faith Tabernacle,Muscogee,4461.0,371.0,1420.0,862.0,0.0,2653.0,2653.0,59.5
23,Mt Pilgrim,Muscogee,6022.0,451.0,1883.0,1174.0,0.0,3508.0,3508.0,58.3
22,Our Lady of Lourdes,Muscogee,10204.0,721.0,1802.0,1380.0,3.0,3906.0,3906.0,38.3
21,Cusseta Rd,Muscogee,6169.0,549.0,1232.0,870.0,3.0,2654.0,2654.0,43.0
20,Wynnbrook,Muscogee,2692.0,178.0,662.0,440.0,0.0,1280.0,1280.0,47.5
19,St Mark/Heiferhorn,Muscogee,6492.0,439.0,1787.0,886.0,8.0,3120.0,3120.0,48.1
18,Columbus Tech,Muscogee,4464.0,388.0,763.0,409.0,0.0,1560.0,1560.0,34.9
14,St John/Belvedere,Muscogee,5341.0,295.0,1731.0,1165.0,2.0,3193.0,3193.0,59.8
13,Carver/Mack,Muscogee,4374.0,264.0,1150.0,831.0,0.0,2245.0,2245.0,51.3
15,Britt David,Muscogee,2747.0,303.0,648.0,315.0,0.0,1266.0,1266.0,46.1
27,Gentian/Reese,Muscogee,5612.0,477.0,1415.0,742.0,0.0,2634.0,2634.0,46.9
16,St Peter,Muscogee,3265.0,325.0,778.0,431.0,1.0,1535.0,1535.0,47.0
17,Cornerstone,Muscogee,6684.0,586.0,1699.0,835.0,0.0,3120.0,3120.0,46.7
40,Geneva,Talbot,482.0,69.0,83.0,122.0,1.0,275.0,275.0,57.1
42,Box Springs,Talbot,469.0,95.0,59.0,74.0,0.0,228.0,228.0,48.6
41,Talbotton,Talbot,884.0,129.0,175.0,216.0,0.0,520.0,520.0,58.8
39,Junction City,Talbot,437.0,69.0,55.0,108.0,0.0,232.0,232.0,53.1
37,ONeal,Talbot,555.0,93.0,141.0,100.0,0.0,334.0,334.0,60.2
43,Flint Hill,Talbot,1048.0,197.0,257.0,199.0,0.0,653.0,653.0,62.3
38,Valley,Talbot,688.0,127.0,149.0,135.0,0.0,411.0,411.0,59.7
51,Precinct 5,Taylor,2219.0,142.0,691.0,135.0,3.0,971.0,971.0,43.8
50,Precinct 1,Taylor,1108.0,133.0,315.0,135.0,2.0,585.0,585.0,52.8
52,Precinct 6,Taylor,2073.0,191.0,570.0,318.0,2.0,1081.0,1081.0,52.1
