,Precinct,County,Registered Voters,Darius Pattillo (I) (Dem)_Election Day Votes,Darius Pattillo (I) (Dem)_Advanced Voting Votes,Darius Pattillo (I) (Dem)_Absentee by Mail Votes,Darius Pattillo (I) (Dem)_Provisional Votes,Darius Pattillo (I) (Dem)_Choice Total,Total,calc_participation
0,Locust Grove,Henry,6978.0,493.0,2561.0,1003.0,2.0,4059.0,4059.0,58.2
20,Shakerag,Henry,4047.0,259.0,1727.0,689.0,2.0,2677.0,2677.0,66.1
21,Ellenwood,Henry,4275.0,201.0,1831.0,788.0,1.0,2821.0,2821.0,66.0
22,Unity Grove,Henry,4850.0,316.0,1396.0,457.0,2.0,2171.0,2171.0,44.8
23,Shiloh,Henry,4077.0,378.0,1287.0,539.0,6.0,2210.0,2210.0,54.2
24,Pates Creek,Henry,5214.0,251.0,1597.0,869.0,6.0,2723.0,2723.0,52.2
25,Oakland,Henry,4508.0,323.0,1435.0,654.0,1.0,2413.0,2413.0,53.5
26,Lake Dow,Henry,5049.0,365.0,1621.0,674.0,1.0,2661.0,2661.0,52.7
27,Flippen,Henry,4430.0,245.0,1680.0,848.0,0.0,2773.0,2773.0,62.6
28,Stockbridge Central,Henry,4416.0,315.0,1401.0,572.0,2.0,2290.0,2290.0,51.9
29,Kelleytown,Henry,3452.0,314.0,1239.0,410.0,0.0,1963.0,1963.0,56.9
30,Lighthouse,Henry,3693.0,233.0,1327.0,525.0,0.0,2085.0,2085.0,56.5
31,Dutchtown,Henry,2751.0,194.0,794.0,411.0,2.0,1401.0,1401.0,50.9
32,Mt Bethel,Henry,3535.0,495.0,942.0,302.0,1.0,1740.0,1740.0,49.2
33,Grove Park,Henry,4079.0,329.0,1197.0,409.0,2.0,1937.0,1937.0,47.5
34,Lake Haven,Henry,4260.0,325.0,1432.0,515.0,0.0,2272.0,2272.0,53.3
19,Swan Lake,Henry,3642.0,245.0,1067.0,401.0,1.0,1714.0,1714.0,47.1
35,McDonough Central,Henry,4250.0,266.0,1412.0,623.0,0.0,2301.0,2301.0,54.1
18,Austin Road,Henry,3374.0,172.0,1366.0,464.0,2.0,2004.0,2004.0,59.4
16,Cotton Indian,Henry,4785.0,289.0,1659.0,531.0,4.0,2483.0,2483.0,51.9
1,Tussahaw,Henry,3409.0,339.0,804.0,258.0,0.0,1401.0,1401.0,41.1
2,Sandy Ridge,Henry,4875.0,495.0,1438.0,387.0,4.0,2324.0,2324.0,47.7
3,Westside,Henry,6971.0,607.0,1796.0,997.0,7.0,3407.0,3407.0,48.9
4,Lowes,Henry,9878.0,705.0,3272.0,1572.0,7.0,5556.0,5556.0,56.2
5,South Hampton,Henry,5476.0,396.0,1885.0,646.0,2.0,2929.0,2929.0,53.5
6,North Hampton,Henry,7156.0,466.0,2471.0,948.0,2.0,3887.0,3887.0,54.3
7,Mt Carmel,Henry,5335.0,348.0,2180.0,953.0,1.0,3482.0,3482.0,65.3
8,Red Oak,Henry,5610.0,390.0,2349.0,912.0,1.0,3652.0,3652.0,65.1
9,Wesley Lakes,Henry,6144.0,482.0,2290.0,907.0,3.0,3682.0,3682.0,59.9
10,McDonough,Henry,2838.0,224.0,967.0,456.0,5.0,1652.0,1652.0,58.2
11,McMullen,Henry,3719.0,374.0,1129.0,381.0,0.0,1884.0,1884.0,50.7
12,East Lake,Henry,3389.0,234.0,1091.0,407.0,0.0,1732.0,1732.0,51.1
13,Hickory Flat,Henry,5122.0,371.0,1926.0,798.0,1.0,3096.0,3096.0,60.4
14,Stockbridge East-West,Henry,6541.0,433.0,2316.0,1155.0,4.0,3908.0,3908.0,59.7
15,Stagecoach,Henry,3546.0,259.0,1127.0,435.0,1.0,1822.0,1822.0,51.4
17,Pleasant Grove,Henry,4135.0,191.0,1387.0,540.0,5.0,2123.0,2123.0,51.3
36,Timberridge,Henry,2096.0,208.0,709.0,246.0,1.0,1164.0,1164.0,55.5
