,Precinct,County,Registered Voters,"Daniel J. """"Danny"""" Porter (I) (Rep)_Election Day Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Advanced Voting Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Absentee by Mail Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Provisional Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Choice Total",Patsy Austin-Gatson (Dem)_Election Day Votes,Patsy Austin-Gatson (Dem)_Advanced Voting Votes,Patsy Austin-Gatson (Dem)_Absentee by Mail Votes,Patsy Austin-Gatson (Dem)_Provisional Votes,Patsy Austin-Gatson (Dem)_Choice Total,Total,calc_participation
0,HARBINS A,Gwinnett,7182.0,376.0,1568.0,530.0,4.0,2478.0,327.0,1521.0,839.0,3.0,2690.0,5168.0,72.0
100,PINCKNEYVILLE U,Gwinnett,2090.0,205.0,213.0,164.0,0.0,582.0,215.0,398.0,264.0,5.0,882.0,1464.0,70.0
101,PUCKETTS B,Gwinnett,3096.0,296.0,904.0,285.0,1.0,1486.0,111.0,459.0,260.0,0.0,830.0,2316.0,74.8
102,BERKSHIRE L,Gwinnett,3265.0,162.0,268.0,174.0,0.0,604.0,331.0,677.0,421.0,1.0,1430.0,2034.0,62.3
103,ROCKBRIDGE F,Gwinnett,5795.0,84.0,466.0,246.0,1.0,797.0,306.0,2121.0,836.0,4.0,3267.0,4064.0,70.1
104,SUGAR HILL F,Gwinnett,4112.0,404.0,893.0,373.0,5.0,1675.0,198.0,588.0,447.0,2.0,1235.0,2910.0,70.8
105,SUWANEE C,Gwinnett,5675.0,360.0,1089.0,570.0,6.0,2025.0,198.0,960.0,787.0,2.0,1947.0,3972.0,70.0
106,CATES O,Gwinnett,1434.0,167.0,241.0,153.0,3.0,564.0,90.0,252.0,193.0,2.0,537.0,1101.0,76.8
107,BAYCREEK E,Gwinnett,3265.0,197.0,451.0,204.0,1.0,853.0,214.0,735.0,409.0,4.0,1362.0,2215.0,67.8
108,BERKSHIRE M,Gwinnett,1864.0,182.0,365.0,218.0,2.0,767.0,96.0,304.0,235.0,0.0,635.0,1402.0,75.2
