,Precinct,County,Registered Voters,Donald Ayres (I)_Election Day Votes,Donald Ayres (I)_Advanced Voting Votes,Donald Ayres (I)_Absentee by Mail Votes,Donald Ayres (I)_Provisional Votes,Donald Ayres (I)_Choice Total,"Robert L. Hosack, Jr. (I)_Election Day Votes","Robert L. Hosack, Jr. (I)_Advanced Voting Votes","Robert L. Hosack, Jr. (I)_Absentee by Mail Votes","Robert L. Hosack, Jr. (I)_Provisional Votes","Robert L. Hosack, Jr. (I)_Choice Total",Total,calc_participation
0,Acworth 1A,Cobb,5458.0,371.0,1486.0,1079.0,2.0,2938.0,359.0,1435.0,1008.0,2.0,2804.0,5742.0,105.2
92,Mt Bethel 04,Cobb,2981.0,301.0,727.0,862.0,0.0,1890.0,291.0,684.0,811.0,0.0,1786.0,3676.0,123.3
93,North Cobb 01,Cobb,2317.0,259.0,597.0,411.0,0.0,1267.0,253.0,579.0,382.0,0.0,1214.0,2481.0,107.1
94,Nickajack 01,Cobb,4889.0,347.0,1263.0,809.0,3.0,2422.0,349.0,1250.0,790.0,2.0,2391.0,4813.0,98.4
95,Norton Park 01,Cobb,4922.0,428.0,866.0,905.0,6.0,2205.0,417.0,846.0,882.0,6.0,2151.0,4356.0,88.5
96,Nicholson 01,Cobb,2455.0,354.0,571.0,488.0,1.0,1414.0,347.0,548.0,462.0,0.0,1357.0,2771.0,112.9
97,Oakdale 01,Cobb,3944.0,341.0,974.0,950.0,0.0,2265.0,327.0,949.0,912.0,0.0,2188.0,4453.0,112.9
91,Mt Bethel 03,Cobb,3294.0,251.0,906.0,883.0,0.0,2040.0,232.0,887.0,843.0,0.0,1962.0,4002.0,121.5
98,Oregon 01,Cobb,1614.0,223.0,511.0,333.0,2.0,1069.0,215.0,468.0,318.0,2.0,1003.0,2072.0,128.4
100,Oregon 03,Cobb,5713.0,489.0,880.0,699.0,5.0,2073.0,481.0,864.0,704.0,7.0,2056.0,4129.0,72.3
101,Oregon 04,Cobb,4673.0,345.0,988.0,817.0,1.0,2151.0,359.0,975.0,833.0,2.0,2169.0,4320.0,92.4
102,Oregon 05,Cobb,3846.0,376.0,1119.0,709.0,0.0,2204.0,356.0,1088.0,679.0,1.0,2124.0,4328.0,112.5
103,Pebblebrook 01,Cobb,5218.0,379.0,1094.0,729.0,5.0,2207.0,398.0,1065.0,717.0,5.0,2185.0,4392.0,84.2
104,Powers Ferry 01,Cobb,3504.0,425.0,758.0,698.0,0.0,1881.0,409.0,726.0,652.0,2.0,1789.0,3670.0,104.7
105,Pine Mountain 01,Cobb,3491.0,414.0,1164.0,738.0,3.0,2319.0,381.0,1116.0,703.0,3.0,2203.0,4522.0,129.5
99,Oregon 02,Cobb,5671.0,452.0,1160.0,983.0,0.0,2595.0,457.0,1155.0,959.0,2.0,2573.0,5168.0,91.1
106,Pine Mountain 02,Cobb,3127.0,418.0,974.0,711.0,2.0,2105.0,387.0,921.0,688.0,2.0,1998.0,4103.0,131.2
90,Mt Bethel 01,Cobb,4125.0,435.0,995.0,1251.0,6.0,2687.0,414.0,958.0,1186.0,4.0,2562.0,5249.0,127.2
88,Mars Hill 01,Cobb,3633.0,454.0,1175.0,622.0,0.0,2251.0,415.0,1099.0,582.0,1.0,2097.0,4348.0,119.7
74,McClure 01,Cobb,3290.0,427.0,1025.0,611.0,3.0,2066.0,398.0,976.0,588.0,2.0,1964.0,4030.0,122.5
75,Marietta 1A,Cobb,4468.0,397.0,728.0,537.0,3.0,1665.0,398.0,730.0,527.0,5.0,1660.0,3325.0,74.4
76,Marietta 2A,Cobb,2059.0,329.0,503.0,507.0,0.0,1339.0,307.0,470.0,478.0,0.0,1255.0,2594.0,126.0
77,Marietta 2B,Cobb,4447.0,427.0,974.0,787.0,1.0,2189.0,442.0,946.0,767.0,2.0,2157.0,4346.0,97.7
78,Marietta 3A,Cobb,4388.0,400.0,991.0,874.0,2.0,2267.0,387.0,987.0,845.0,2.0,2221.0,4488.0,102.3
79,Marietta 3B,Cobb,2218.0,152.0,373.0,330.0,0.0,855.0,152.0,375.0,332.0,1.0,860.0,1715.0,77.3
89,Mars Hill 02,Cobb,2916.0,349.0,799.0,477.0,0.0,1625.0,331.0,767.0,465.0,0.0,1563.0,3188.0,109.3
80,Marietta 4A,Cobb,1956.0,404.0,421.0,466.0,0.0,1291.0,387.0,405.0,436.0,0.0,1228.0,2519.0,128.8
82,Marietta 4C,Cobb,2781.0,331.0,843.0,631.0,0.0,1805.0,314.0,798.0,590.0,0.0,1702.0,3507.0,126.1
83,Marietta 5A,Cobb,3324.0,323.0,566.0,471.0,1.0,1361.0,326.0,560.0,471.0,2.0,1359.0,2720.0,81.8
