,Precinct,County,Registered Voters,John L. Corbett (I) (Rep)_Election Day Votes,John L. Corbett (I) (Rep)_Advanced Voting Votes,John L. Corbett (I) (Rep)_Absentee by Mail Votes,John L. Corbett (I) (Rep)_Provisional Votes,John L. Corbett (I) (Rep)_Choice Total,Total,calc_participation
0,Browntown,Camden,698.0,129.0,220.0,58.0,0.0,407.0,407.0,58.3
1,West Kingsland,Camden,2782.0,342.0,1030.0,218.0,0.0,1590.0,1590.0,57.2
2,Kingsland,Camden,2274.0,219.0,633.0,146.0,0.0,998.0,998.0,43.9
14,Folkston Fire,Charlton,767.0,77.0,369.0,56.0,0.0,502.0,502.0,65.4
13,Homeland,Charlton,864.0,164.0,337.0,52.0,0.0,553.0,553.0,64.0
12,American Legion,Charlton,748.0,128.0,329.0,65.0,0.0,522.0,522.0,69.8
10,GA Bend,Charlton,509.0,224.0,59.0,42.0,0.0,325.0,325.0,63.9
9,Folkston,Charlton,2420.0,227.0,600.0,173.0,0.0,1000.0,1000.0,41.3
11,St George,Charlton,661.0,215.0,135.0,52.0,1.0,403.0,403.0,61.0
7,Homerville,Clinch,3262.0,282.0,1148.0,204.0,0.0,1634.0,1634.0,50.1
6,Fargo,Clinch,270.0,147.0,20.0,10.0,0.0,177.0,177.0,65.6
5,Dupont,Clinch,338.0,112.0,73.0,19.0,1.0,205.0,205.0,60.7
4,Argyle,Clinch,367.0,99.0,109.0,20.0,0.0,228.0,228.0,62.1
3,Arabia,Clinch,108.0,60.0,12.0,4.0,0.0,76.0,76.0,70.4
8,Statenville,Echols,2156.0,231.0,954.0,137.0,0.0,1322.0,1322.0,61.3
21,Dasher,Lowndes,4255.0,609.0,1445.0,289.0,18.0,2361.0,2361.0,55.5
19,Rainwater,Lowndes,9877.0,7.0,8.0,2.0,0.0,17.0,17.0,0.2
20,Clyattville,Lowndes,4755.0,582.0,1078.0,296.0,11.0,1967.0,1967.0,41.4
22,S Lowndes,Lowndes,3967.0,793.0,1305.0,327.0,17.0,2442.0,2442.0,61.6
15,100,Ware,4740.0,119.0,330.0,209.0,1.0,659.0,659.0,13.9
16,200B,Ware,976.0,4.0,25.0,9.0,0.0,38.0,38.0,3.9
17,304,Ware,1269.0,193.0,438.0,79.0,1.0,711.0,711.0,56.0
18,407,Ware,505.0,202.0,116.0,29.0,0.0,347.0,347.0,68.7
