,Precinct,County,Registered Voters,Rob Leverett (Rep)_Election Day Votes,Rob Leverett (Rep)_Advanced Voting Votes,Rob Leverett (Rep)_Absentee by Mail Votes,Rob Leverett (Rep)_Provisional Votes,Rob Leverett (Rep)_Choice Total,Kerry Dornell Hamm (Dem)_Election Day Votes,Kerry Dornell Hamm (Dem)_Advanced Voting Votes,Kerry Dornell Hamm (Dem)_Absentee by Mail Votes,Kerry Dornell Hamm (Dem)_Provisional Votes,Kerry Dornell Hamm (Dem)_Choice Total,Total,calc_participation
9,Damascus Baptist Church,Columbia,1023.0,358.0,305.0,70.0,1.0,734.0,28.0,30.0,25.0,0.0,83.0,817.0,79.9
29,Centerville,Elbert,1011.0,205.0,326.0,82.0,0.0,613.0,27.0,58.0,46.0,0.0,131.0,744.0,73.6
27,Goshen,Elbert,1612.0,343.0,497.0,128.0,0.0,968.0,65.0,80.0,80.0,0.0,225.0,1193.0,74.0
26,Gaines,Elbert,570.0,182.0,122.0,62.0,0.0,366.0,20.0,23.0,21.0,0.0,64.0,430.0,75.4
25,Pike,Elbert,1596.0,224.0,414.0,140.0,0.0,778.0,55.0,159.0,188.0,0.0,402.0,1180.0,73.9
24,Moss-Ruckersville,Elbert,468.0,108.0,130.0,41.0,0.0,279.0,14.0,17.0,40.0,0.0,71.0,350.0,74.8
23,Wyche,Elbert,1095.0,130.0,422.0,108.0,0.0,660.0,41.0,90.0,62.0,0.0,193.0,853.0,77.9
22,Petersburg,Elbert,377.0,107.0,99.0,53.0,0.0,259.0,9.0,7.0,22.0,0.0,38.0,297.0,78.8
21,Eliam,Elbert,748.0,159.0,252.0,79.0,0.0,490.0,21.0,48.0,52.0,0.0,121.0,611.0,81.7
20,Longstreet,Elbert,622.0,109.0,199.0,62.0,0.0,370.0,22.0,38.0,32.0,0.0,92.0,462.0,74.3
19,Elberton,Elbert,3798.0,184.0,956.0,314.0,0.0,1454.0,214.0,537.0,371.0,0.0,1122.0,2576.0,67.8
28,Webbsboro,Elbert,408.0,92.0,120.0,38.0,0.0,250.0,14.0,31.0,25.0,0.0,70.0,320.0,78.4
0,Midway,Lincoln,587.0,99.0,165.0,45.0,0.0,309.0,31.0,27.0,65.0,0.0,123.0,432.0,73.6
1,Lincoln Club House,Lincoln,799.0,69.0,135.0,28.0,0.0,232.0,54.0,108.0,153.0,2.0,317.0,549.0,68.7
2,Lincoln Center,Lincoln,1489.0,174.0,560.0,130.0,0.0,864.0,45.0,100.0,91.0,0.0,236.0,1100.0,73.9
3,Faith Temple of Lincoln,Lincoln,489.0,76.0,122.0,32.0,0.0,230.0,22.0,50.0,48.0,0.0,120.0,350.0,71.6
4,Tabernacle,Lincoln,1003.0,131.0,238.0,56.0,0.0,425.0,54.0,102.0,136.0,0.0,292.0,717.0,71.5
5,Bethany Church,Lincoln,575.0,115.0,173.0,57.0,0.0,345.0,9.0,30.0,24.0,0.0,63.0,408.0,71.0
6,Martins Crossroad,Lincoln,1234.0,242.0,450.0,104.0,1.0,797.0,24.0,71.0,76.0,0.0,171.0,968.0,78.4
13,Danielsville,Madison,3003.0,288.0,1189.0,297.0,0.0,1774.0,48.0,154.0,115.0,0.0,317.0,2091.0,69.6
12,Comer,Madison,1441.0,238.0,374.0,96.0,0.0,708.0,89.0,118.0,129.0,0.0,336.0,1044.0,72.4
14,Fork,Madison,566.0,170.0,81.0,24.0,0.0,275.0,25.0,55.0,43.0,0.0,123.0,398.0,70.3
10,Colbert,Madison,3342.0,454.0,991.0,240.0,1.0,1686.0,149.0,296.0,212.0,0.0,657.0,2343.0,70.1
18,Pittman,Madison,1949.0,366.0,557.0,218.0,0.0,1141.0,65.0,108.0,103.0,0.0,276.0,1417.0,72.7
17,Paoli,Madison,267.0,103.0,65.0,23.0,0.0,191.0,9.0,6.0,11.0,0.0,26.0,217.0,81.3
16,Mill,Madison,1646.0,40.0,81.0,21.0,1.0,143.0,2.0,8.0,10.0,0.0,20.0,163.0,9.9
15,Hull,Madison,4376.0,544.0,1070.0,367.0,0.0,1981.0,210.0,431.0,277.0,1.0,919.0,2900.0,66.3
11,Collins,Madison,647.0,193.0,165.0,44.0,0.0,402.0,11.0,25.0,21.0,0.0,57.0,459.0,70.9
8,Metasville Fire Sta,Wilkes,610.0,106.0,170.0,50.0,0.0,326.0,26.0,32.0,65.0,0.0,123.0,449.0,73.6
7,Young Farmers Bldg,Wilkes,1173.0,123.0,445.0,149.0,1.0,718.0,39.0,90.0,62.0,0.0,191.0,909.0,77.5
