,Precinct,County,Registered Voters,Mike Glanton (I) (Dem)_Election Day Votes,Mike Glanton (I) (Dem)_Advanced Voting Votes,Mike Glanton (I) (Dem)_Absentee by Mail Votes,Mike Glanton (I) (Dem)_Provisional Votes,Mike Glanton (I) (Dem)_Choice Total,Total,calc_participation
0,Jonesboro 1,Clayton,3244.0,297.0,968.0,612.0,4.0,1881.0,1881.0,58.0
1,Jonesboro 3,Clayton,4107.0,266.0,1191.0,748.0,2.0,2207.0,2207.0,53.7
2,Jonesboro 4,Clayton,2574.0,238.0,548.0,283.0,4.0,1073.0,1073.0,41.7
3,Jonesboro 7,Clayton,3174.0,296.0,961.0,507.0,6.0,1770.0,1770.0,55.8
4,Jonesboro 10,Clayton,3398.0,353.0,700.0,417.0,3.0,1473.0,1473.0,43.3
5,Jonesboro 11,Clayton,3863.0,196.0,747.0,527.0,0.0,1470.0,1470.0,38.1
6,Jonesboro 13,Clayton,2140.0,251.0,689.0,371.0,3.0,1314.0,1314.0,61.4
7,Jonesboro 17,Clayton,3359.0,318.0,805.0,510.0,6.0,1639.0,1639.0,48.8
8,Jonesboro 18,Clayton,3301.0,342.0,955.0,442.0,5.0,1744.0,1744.0,52.8
9,Jonesboro 19,Clayton,3299.0,307.0,907.0,515.0,8.0,1737.0,1737.0,52.7
10,Lovejoy 1,Clayton,4061.0,301.0,1285.0,579.0,2.0,2167.0,2167.0,53.4
11,Lovejoy 5,Clayton,3451.0,205.0,677.0,357.0,9.0,1248.0,1248.0,36.2
12,Morrow 4,Clayton,2112.0,213.0,509.0,280.0,3.0,1005.0,1005.0,47.6
13,Morrow 7,Clayton,2142.0,284.0,471.0,249.0,3.0,1007.0,1007.0,47.0
