,Precinct,County,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total,calc_participation
41,Scottsboro,Baldwin,1101.0,130.0,229.0,50.0,3.0,412.0,58.0,119.0,93.0,0.0,270.0,682.0,61.9
33,South Milledgeville,Baldwin,1259.0,39.0,120.0,31.0,0.0,190.0,94.0,285.0,189.0,0.0,568.0,758.0,60.2
34,City Hall Annex,Baldwin,957.0,42.0,81.0,39.0,0.0,162.0,61.0,138.0,107.0,1.0,307.0,469.0,49.0
35,Boddie,Baldwin,1381.0,38.0,77.0,22.0,0.0,137.0,134.0,234.0,165.0,0.0,533.0,670.0,48.5
36,Courthouse,Baldwin,506.0,29.0,72.0,13.0,0.0,114.0,29.0,69.0,62.0,0.0,160.0,274.0,54.2
37,Fire Dept,Baldwin,1481.0,41.0,141.0,36.0,0.0,218.0,91.0,344.0,250.0,0.0,685.0,903.0,61.0
46,Coopers,Baldwin,1574.0,268.0,429.0,75.0,0.0,772.0,61.0,134.0,104.0,0.0,299.0,1071.0,68.0
45,West Hardwick,Baldwin,2903.0,69.0,269.0,75.0,0.0,413.0,251.0,613.0,486.0,0.0,1350.0,1763.0,60.7
44,East Hardwick,Baldwin,1313.0,48.0,64.0,29.0,0.0,141.0,117.0,206.0,174.0,0.0,497.0,638.0,48.6
38,North Milledgeville,Baldwin,2211.0,141.0,539.0,169.0,1.0,850.0,128.0,439.0,225.0,0.0,792.0,1642.0,74.3
43,West Baldwin,Baldwin,1862.0,177.0,474.0,108.0,0.0,759.0,92.0,275.0,190.0,0.0,557.0,1316.0,70.7
42,North Baldwin,Baldwin,3515.0,317.0,1372.0,267.0,0.0,1956.0,79.0,373.0,273.0,0.0,725.0,2681.0,76.3
39,Meriweather,Baldwin,2832.0,264.0,908.0,231.0,0.0,1403.0,107.0,449.0,215.0,0.0,771.0,2174.0,76.8
40,East Baldwin,Baldwin,3826.0,277.0,1071.0,226.0,0.0,1574.0,176.0,620.0,323.0,0.0,1119.0,2693.0,70.4
64,02 Bethlehem Church - 211,Barrow,6784.0,753.0,2560.0,722.0,0.0,4035.0,128.0,400.0,351.0,1.0,880.0,4915.0,72.4
63,01 Bethlehem Community Center,Barrow,3359.0,492.0,996.0,241.0,0.0,1729.0,106.0,256.0,169.0,0.0,531.0,2260.0,67.3
70,16 The Church at Winder,Barrow,10348.0,986.0,2793.0,669.0,1.0,4449.0,383.0,1230.0,784.0,3.0,2400.0,6849.0,66.2
69,13 Winder Community Center,Barrow,9393.0,692.0,2394.0,609.0,0.0,3695.0,333.0,1033.0,586.0,0.0,1952.0,5647.0,60.1
68,08 First Baptist Church Winder,Barrow,7009.0,716.0,2515.0,576.0,0.0,3807.0,165.0,524.0,344.0,0.0,1033.0,4840.0,69.1
67,05 Fire Station 1 (Statham),Barrow,8336.0,945.0,2668.0,643.0,0.0,4256.0,248.0,783.0,599.0,0.0,1630.0,5886.0,70.6
66,04 Covenant Life Sanctuary,Barrow,4012.0,439.0,1173.0,288.0,0.0,1900.0,113.0,280.0,202.0,0.0,595.0,2495.0,62.2
65,03 Hmong New Hope Alliance Church,Barrow,6364.0,894.0,1702.0,497.0,1.0,3094.0,178.0,402.0,335.0,0.0,915.0,4009.0,63.0
146,Butts County Admin Bldg,Butts,17154.0,806.0,6367.0,1145.0,2.0,8320.0,368.0,1822.0,921.0,1.0,3112.0,11432.0,66.6
126,1C,Clarke,2242.0,161.0,290.0,176.0,0.0,627.0,129.0,512.0,551.0,0.0,1192.0,1819.0,81.1
127,1D,Clarke,2830.0,202.0,387.0,313.0,1.0,903.0,137.0,551.0,700.0,0.0,1388.0,2291.0,81.0
128,2B,Clarke,5136.0,121.0,161.0,67.0,1.0,350.0,416.0,1106.0,733.0,4.0,2259.0,2609.0,50.8
129,3A,Clarke,2938.0,52.0,100.0,47.0,1.0,200.0,252.0,569.0,436.0,4.0,1261.0,1461.0,49.7
125,1B,Clarke,3645.0,154.0,431.0,276.0,3.0,864.0,186.0,711.0,722.0,0.0,1619.0,2483.0,68.1
131,4A,Clarke,2072.0,81.0,200.0,83.0,0.0,364.0,170.0,448.0,324.0,1.0,943.0,1307.0,63.1
130,3B,Clarke,4122.0,134.0,258.0,87.0,1.0,480.0,244.0,948.0,557.0,3.0,1752.0,2232.0,54.1
145,8C,Clarke,3910.0,177.0,352.0,198.0,1.0,728.0,270.0,782.0,705.0,3.0,1760.0,2488.0,63.6
144,8B,Clarke,2317.0,116.0,182.0,169.0,0.0,467.0,175.0,429.0,472.0,0.0,1076.0,1543.0,66.6
143,8A,Clarke,3319.0,133.0,278.0,235.0,0.0,646.0,189.0,633.0,672.0,2.0,1496.0,2142.0,64.5
142,7C,Clarke,2733.0,185.0,375.0,219.0,2.0,781.0,153.0,581.0,509.0,0.0,1243.0,2024.0,74.1
141,7B,Clarke,3166.0,141.0,469.0,252.0,0.0,862.0,146.0,588.0,578.0,2.0,1314.0,2176.0,68.7
139,6D,Clarke,1701.0,110.0,155.0,82.0,0.0,347.0,110.0,444.0,374.0,0.0,928.0,1275.0,75.0
140,7A,Clarke,2968.0,174.0,418.0,274.0,1.0,867.0,171.0,545.0,554.0,0.0,1270.0,2137.0,72.0
137,6B,Clarke,3865.0,186.0,471.0,344.0,0.0,1001.0,220.0,707.0,753.0,1.0,1681.0,2682.0,69.4
136,6A,Clarke,3780.0,221.0,658.0,380.0,1.0,1260.0,187.0,598.0,601.0,3.0,1389.0,2649.0,70.1
135,5C,Clarke,2053.0,62.0,85.0,48.0,0.0,195.0,128.0,784.0,473.0,1.0,1386.0,1581.0,77.0
134,5B,Clarke,3030.0,139.0,284.0,212.0,1.0,636.0,236.0,631.0,618.0,0.0,1485.0,2121.0,70.0
133,5A,Clarke,3007.0,114.0,385.0,221.0,1.0,721.0,175.0,823.0,589.0,0.0,1587.0,2308.0,76.8
132,4B,Clarke,4096.0,234.0,468.0,169.0,1.0,872.0,240.0,973.0,618.0,1.0,1832.0,2704.0,66.0
