,Precinct,County,Registered Voters,Marjorie Taylor Greene (Rep)_Election Day Votes,Marjorie Taylor Greene (Rep)_Advanced Voting Votes,Marjorie Taylor Greene (Rep)_Absentee by Mail Votes,Marjorie Taylor Greene (Rep)_Provisional Votes,Marjorie Taylor Greene (Rep)_Choice Total,Kevin Van Ausdal (Dem)_Election Day Votes,Kevin Van Ausdal (Dem)_Advanced Voting Votes,Kevin Van Ausdal (Dem)_Absentee by Mail Votes,Kevin Van Ausdal (Dem)_Provisional Votes,Kevin Van Ausdal (Dem)_Choice Total,Total,calc_participation
30,Graysville,Catoosa,4501.0,552.0,1602.0,249.0,3.0,2406.0,111.0,336.0,189.0,0.0,636.0,3042.0,67.6
28,Chambers,Catoosa,2552.0,327.0,1106.0,186.0,4.0,1623.0,59.0,187.0,91.0,0.0,337.0,1960.0,76.8
27,Catoosa Keith,Catoosa,2611.0,493.0,850.0,167.0,0.0,1510.0,50.0,171.0,90.0,0.0,311.0,1821.0,69.7
26,Boynton,Catoosa,6027.0,679.0,2416.0,377.0,2.0,3474.0,130.0,544.0,268.0,1.0,943.0,4417.0,73.3
25,Blackstock,Catoosa,1952.0,379.0,581.0,112.0,0.0,1072.0,47.0,109.0,55.0,1.0,212.0,1284.0,65.8
31,Lakeview,Catoosa,3572.0,337.0,1075.0,199.0,2.0,1613.0,90.0,256.0,132.0,1.0,479.0,2092.0,58.6
32,Poplar Springs,Catoosa,4191.0,467.0,1655.0,260.0,0.0,2382.0,78.0,322.0,176.0,1.0,577.0,2959.0,70.6
33,Ringgold,Catoosa,7414.0,578.0,2929.0,515.0,3.0,4025.0,153.0,736.0,377.0,0.0,1266.0,5291.0,71.4
34,Westside,Catoosa,5895.0,396.0,2084.0,403.0,2.0,2885.0,91.0,534.0,238.0,0.0,863.0,3748.0,63.6
35,Woodstation,Catoosa,2946.0,521.0,1156.0,151.0,3.0,1831.0,79.0,186.0,105.0,0.0,370.0,2201.0,74.7
29,Ft Oglethorpe,Catoosa,4054.0,367.0,1286.0,291.0,1.0,1945.0,104.0,360.0,218.0,0.0,682.0,2627.0,64.8
36,Coldwater,Chattooga,248.0,25.0,80.0,14.0,0.0,119.0,10.0,27.0,24.0,0.0,61.0,180.0,72.6
37,Dirtseller,Chattooga,186.0,44.0,57.0,5.0,0.0,106.0,4.0,10.0,5.0,0.0,19.0,125.0,67.2
38,Haywood,Chattooga,169.0,70.0,23.0,3.0,0.0,96.0,12.0,1.0,5.0,1.0,19.0,115.0,68.0
39,Lyerly,Chattooga,934.0,208.0,257.0,50.0,1.0,516.0,39.0,47.0,24.0,0.0,110.0,626.0,67.0
40,Trion,Chattooga,3496.0,561.0,1116.0,244.0,1.0,1922.0,74.0,172.0,119.0,0.0,365.0,2287.0,65.4
42,Teloga,Chattooga,593.0,88.0,246.0,63.0,0.0,397.0,5.0,19.0,23.0,0.0,47.0,444.0,74.9
43,Dirttown,Chattooga,897.0,248.0,257.0,70.0,0.0,575.0,33.0,44.0,40.0,0.0,117.0,692.0,77.1
44,Seminole,Chattooga,138.0,34.0,41.0,17.0,0.0,92.0,3.0,6.0,2.0,0.0,11.0,103.0,74.6
45,Subligna,Chattooga,489.0,166.0,122.0,49.0,1.0,338.0,11.0,12.0,17.0,0.0,40.0,378.0,77.3
46,Alpine,Chattooga,872.0,255.0,207.0,64.0,0.0,526.0,29.0,38.0,31.0,0.0,98.0,624.0,71.6
47,Cloudland,Chattooga,378.0,73.0,102.0,31.0,0.0,206.0,8.0,37.0,30.0,0.0,75.0,281.0,74.3
48,Pennville,Chattooga,588.0,64.0,189.0,37.0,0.0,290.0,9.0,30.0,12.0,0.0,51.0,341.0,58.0
41,Summerville,Chattooga,5155.0,524.0,1572.0,393.0,1.0,2490.0,155.0,428.0,275.0,1.0,859.0,3349.0,65.0
72,South Dade,Dade,969.0,189.0,280.0,49.0,0.0,518.0,24.0,64.0,28.0,0.0,116.0,634.0,65.4
73,New Salem,Dade,1255.0,267.0,346.0,96.0,1.0,710.0,43.0,87.0,62.0,0.0,192.0,902.0,71.9
74,Davis,Dade,2012.0,408.0,673.0,86.0,1.0,1168.0,36.0,56.0,22.0,0.0,114.0,1282.0,63.7
75,New Home,Dade,711.0,206.0,145.0,50.0,0.0,401.0,22.0,20.0,18.0,1.0,61.0,462.0,65.0
77,Trenton,Dade,3573.0,321.0,1059.0,168.0,3.0,1551.0,42.0,187.0,67.0,0.0,296.0,1847.0,51.7
