Precinct,County,Registered Voters,Omeeka Loggins (I) (Dem)_Election Day Votes,Omeeka Loggins (I) (Dem)_Advanced Voting Votes,Omeeka Loggins (I) (Dem)_Absentee by Mail Votes,Omeeka Loggins (I) (Dem)_Provisional Votes,Omeeka Loggins (I) (Dem)_Choice Total,Total,calc_participation
101,Richmond,896.0,132.0,205.0,150.0,3.0,490.0,490.0,54.7
102,Richmond,1278.0,152.0,185.0,201.0,3.0,541.0,541.0,42.3
103,Richmond,1428.0,157.0,293.0,272.0,2.0,724.0,724.0,50.7
104,Richmond,2976.0,427.0,536.0,552.0,3.0,1518.0,1518.0,51.0
105,Richmond,832.0,112.0,224.0,165.0,1.0,502.0,502.0,60.3
106,Richmond,1182.0,163.0,132.0,133.0,1.0,429.0,429.0,36.3
107,Richmond,1800.0,222.0,373.0,322.0,1.0,918.0,918.0,51.0
108,Richmond,517.0,73.0,110.0,109.0,0.0,292.0,292.0,56.5
109,Richmond,1052.0,114.0,258.0,175.0,1.0,548.0,548.0,52.1
111,Richmond,1578.0,196.0,277.0,288.0,1.0,762.0,762.0,48.3
112,Richmond,882.0,58.0,162.0,186.0,2.0,408.0,408.0,46.3
114,Richmond,856.0,118.0,141.0,146.0,1.0,406.0,406.0,47.4
201,Richmond,581.0,233.0,264.0,226.0,4.0,727.0,727.0,125.1
115,Richmond,1332.0,64.0,69.0,68.0,0.0,201.0,201.0,15.1
202,Richmond,4492.0,610.0,866.0,613.0,7.0,2096.0,2096.0,46.7
203,Richmond,991.0,131.0,162.0,191.0,2.0,486.0,486.0,49.0
204,Richmond,1578.0,219.0,338.0,238.0,3.0,798.0,798.0,50.6
207,Richmond,2705.0,349.0,436.0,415.0,8.0,1208.0,1208.0,44.7
208,Richmond,2651.0,339.0,519.0,415.0,4.0,1277.0,1277.0,48.2
210,Richmond,1507.0,168.0,344.0,364.0,4.0,880.0,880.0,58.4
301,Richmond,2409.0,310.0,599.0,400.0,2.0,1311.0,1311.0,54.4
302,Richmond,1032.0,157.0,238.0,131.0,0.0,526.0,526.0,51.0
303,Richmond,1417.0,128.0,372.0,218.0,1.0,719.0,719.0,50.7
304,Richmond,365.0,49.0,86.0,60.0,0.0,195.0,195.0,53.4
305,Richmond,428.0,35.0,127.0,83.0,0.0,245.0,245.0,57.2
306,Richmond,3934.0,406.0,1006.0,670.0,3.0,2085.0,2085.0,53.0
307,Richmond,1642.0,163.0,366.0,288.0,0.0,817.0,817.0,49.8
308,Richmond,622.0,71.0,147.0,90.0,1.0,309.0,309.0,49.7
309,Richmond,3340.0,348.0,1150.0,773.0,3.0,2274.0,2274.0,68.1
310,Richmond,5163.0,540.0,1545.0,1024.0,3.0,3112.0,3112.0,60.3
401,Richmond,2093.0,248.0,708.0,499.0,0.0,1455.0,1455.0,69.5
402,Richmond,3311.0,463.0,564.0,538.0,4.0,1569.0,1569.0,47.4
404,Richmond,1748.0,247.0,477.0,370.0,4.0,1098.0,1098.0,62.8
405,Richmond,4424.0,364.0,1490.0,1125.0,2.0,2981.0,2981.0,67.4
406,Richmond,3221.0,345.0,1029.0,806.0,4.0,2184.0,2184.0,67.8
501,Richmond,3549.0,402.0,757.0,775.0,2.0,1936.0,1936.0,54.6
502,Richmond,4138.0,507.0,984.0,883.0,7.0,2381.0,2381.0,57.5
503,Richmond,4021.0,409.0,960.0,792.0,5.0,2166.0,2166.0,53.9
504,Richmond,2339.0,320.0,419.0,320.0,5.0,1064.0,1064.0,45.5
506,Richmond,416.0,48.0,89.0,47.0,2.0,186.0,186.0,44.7
507,Richmond,968.0,162.0,234.0,145.0,1.0,542.0,542.0,56.0
509,Richmond,2172.0,229.0,631.0,453.0,5.0,1318.0,1318.0,60.7
601,Richmond,3988.0,409.0,911.0,591.0,13.0,1924.0,1924.0,48.2
603,Richmond,3570.0,486.0,659.0,500.0,2.0,1647.0,1647.0,46.1
604,Richmond,1811.0,268.0,342.0,264.0,0.0,874.0,874.0,48.3
605,Richmond,3880.0,451.0,789.0,636.0,1.0,1877.0,1877.0,48.4
607,Richmond,1812.0,197.0,537.0,418.0,1.0,1153.0,1153.0,63.6
608,Richmond,1472.0,211.0,300.0,209.0,1.0,721.0,721.0,49.0
701,Richmond,2403.0,279.0,553.0,405.0,2.0,1239.0,1239.0,51.6
702,Richmond,1943.0,272.0,432.0,248.0,0.0,952.0,952.0,49.0
703,Richmond,4644.0,539.0,1061.0,598.0,6.0,2204.0,2204.0,47.5
705,Richmond,2276.0,237.0,561.0,412.0,1.0,1211.0,1211.0,53.2
706,Richmond,3315.0,274.0,924.0,557.0,2.0,1757.0,1757.0,53.0
707,Richmond,2122.0,313.0,534.0,255.0,2.0,1104.0,1104.0,52.0
708,Richmond,305.0,17.0,90.0,34.0,0.0,141.0,141.0,46.2
709,Richmond,576.0,52.0,141.0,113.0,0.0,306.0,306.0,53.1
801,Richmond,523.0,100.0,48.0,71.0,1.0,220.0,220.0,42.1
801B,Richmond,523.0,119.0,36.0,64.0,0.0,219.0,219.0,41.9
802,Richmond,3251.0,559.0,461.0,408.0,2.0,1430.0,1430.0,44.0
803,Richmond,252.0,31.0,37.0,29.0,1.0,98.0,98.0,38.9
804,Richmond,2096.0,255.0,516.0,314.0,0.0,1085.0,1085.0,51.8
804H,Richmond,2863.0,381.0,621.0,452.0,5.0,1459.0,1459.0,51.0
805,Richmond,798.0,101.0,229.0,128.0,1.0,459.0,459.0,57.5
