Precinct,County,Registered Voters,Dave Belton (I) (Rep)_Election Day Votes,Dave Belton (I) (Rep)_Advanced Voting Votes,Dave Belton (I) (Rep)_Absentee by Mail Votes,Dave Belton (I) (Rep)_Provisional Votes,Dave Belton (I) (Rep)_Choice Total,Total,calc_participation
City Pond,Newton,1833.0,247.0,223.0,177.0,0.0,647.0,647.0,35.3
Alcovy,Newton,4620.0,729.0,1010.0,614.0,1.0,2354.0,2354.0,51.0
Covington Mills,Newton,3111.0,403.0,394.0,303.0,0.0,1100.0,1100.0,35.4
Brewers,Newton,3538.0,974.0,435.0,249.0,1.0,1659.0,1659.0,46.9
Brick Store,Newton,2623.0,827.0,501.0,356.0,0.0,1684.0,1684.0,64.2
Gum Creek,Newton,4135.0,1019.0,960.0,625.0,1.0,2605.0,2605.0,63.0
Leguinn,Newton,2177.0,781.0,343.0,253.0,2.0,1379.0,1379.0,63.3
Mansfield,Newton,1524.0,805.0,174.0,148.0,0.0,1127.0,1127.0,74.0
Newborn,Newton,784.0,412.0,64.0,64.0,0.0,540.0,540.0,68.9
Oxford,Newton,2418.0,612.0,445.0,361.0,0.0,1418.0,1418.0,58.6
Hub,Newton,2374.0,918.0,486.0,343.0,1.0,1748.0,1748.0,73.6
Northeast Morgan,Morgan,2919.0,200.0,1027.0,289.0,0.0,1516.0,1516.0,51.9
East Morgan,Morgan,2228.0,460.0,972.0,190.0,2.0,1624.0,1624.0,72.9
Beth/Springfield,Morgan,862.0,158.0,356.0,91.0,0.0,605.0,605.0,70.2
Central Morgan,Morgan,2761.0,265.0,1301.0,283.0,0.0,1849.0,1849.0,67.0
Clacks Chapel,Morgan,709.0,140.0,347.0,55.0,0.0,542.0,542.0,76.4
West Morgan,Morgan,2655.0,455.0,1233.0,203.0,0.0,1891.0,1891.0,71.2
North Morgan,Morgan,2690.0,505.0,1044.0,255.0,1.0,1805.0,1805.0,67.1
