Precinct,County,Registered Voters,Jon G. Burns (I) (Rep)_Election Day Votes,Jon G. Burns (I) (Rep)_Advanced Voting Votes,Jon G. Burns (I) (Rep)_Absentee by Mail Votes,Jon G. Burns (I) (Rep)_Provisional Votes,Jon G. Burns (I) (Rep)_Choice Total,Total,calc_participation
1B,Effingham,3005.0,673.0,998.0,245.0,1.0,1917.0,1917.0,63.8
3A,Effingham,1398.0,352.0,464.0,114.0,0.0,930.0,930.0,66.5
3B,Effingham,1553.0,335.0,457.0,121.0,0.0,913.0,913.0,58.8
3C,Effingham,2060.0,342.0,777.0,145.0,2.0,1266.0,1266.0,61.5
3D,Effingham,3125.0,554.0,1146.0,217.0,3.0,1920.0,1920.0,61.4
4A,Effingham,3726.0,544.0,1424.0,300.0,0.0,2268.0,2268.0,60.9
4B,Effingham,1888.0,185.0,362.0,104.0,0.0,651.0,651.0,34.5
4C,Effingham,2837.0,474.0,1039.0,246.0,0.0,1759.0,1759.0,62.0
Sylvania,Screven,0.0,106.0,359.0,156.0,0.0,621.0,621.0,
Hunters,Screven,0.0,104.0,117.0,47.0,8.0,276.0,276.0,
Newington,Screven,0.0,266.0,271.0,74.0,0.0,611.0,611.0,
Jenk Hill Fire Sta,Screven,0.0,142.0,326.0,104.0,1.0,573.0,573.0,
Rocky Ford,Screven,0.0,120.0,153.0,53.0,0.0,326.0,326.0,
Bay Branch,Screven,0.0,206.0,376.0,72.0,1.0,655.0,655.0,
Hiltonia,Screven,0.0,126.0,263.0,56.0,0.0,445.0,445.0,
Screven Rec Dept,Screven,0.0,46.0,103.0,36.0,1.0,186.0,186.0,
Greenhill Church,Screven,0.0,193.0,288.0,73.0,0.0,554.0,554.0,
Sr Citizens Center,Screven,0.0,110.0,301.0,106.0,0.0,517.0,517.0,
Jackson Fire Station,Screven,0.0,116.0,94.0,39.0,0.0,249.0,249.0,
Cooperville Fire Station,Screven,0.0,29.0,53.0,31.0,1.0,114.0,114.0,
Lockhart,Bulloch,720.0,259.0,129.0,55.0,0.0,443.0,443.0,61.5
Church,Bulloch,5793.0,592.0,1427.0,650.0,3.0,2672.0,2672.0,46.1
Blitch,Bulloch,1947.0,485.0,597.0,216.0,1.0,1299.0,1299.0,66.7
Hagin,Bulloch,2403.0,333.0,331.0,144.0,3.0,811.0,811.0,33.7
