Precinct,County,Registered Voters,Derek J. Mallow (Dem)_Election Day Votes,Derek J. Mallow (Dem)_Advanced Voting Votes,Derek J. Mallow (Dem)_Absentee by Mail Votes,Derek J. Mallow (Dem)_Provisional Votes,Derek J. Mallow (Dem)_Choice Total,Total,calc_participation
1-01C First Presbyterian Church,Chatham,3187.0,351.0,817.0,742.0,0.0,1910.0,1910.0,59.9
1-05C JEA Building,Chatham,2106.0,247.0,503.0,429.0,1.0,1180.0,1180.0,56.0
1-06C Central Church of Christ,Chatham,2035.0,261.0,354.0,374.0,3.0,992.0,992.0,48.7
1-08C Grace United Methodist Church,Chatham,1667.0,242.0,307.0,259.0,1.0,809.0,809.0,48.5
1-13C The Sanctuary,Chatham,1396.0,203.0,224.0,213.0,0.0,640.0,640.0,45.8
2-02C Blackshear Community Center,Chatham,1714.0,231.0,280.0,234.0,9.0,754.0,754.0,44.0
2-03C W W Law Center,Chatham,1609.0,222.0,261.0,246.0,2.0,731.0,731.0,45.4
2-05C Holy Spirit Lutheran Church,Chatham,2079.0,298.0,500.0,360.0,3.0,1161.0,1161.0,55.8
2-12C Williams Court Apts,Chatham,1683.0,207.0,349.0,294.0,4.0,854.0,854.0,50.7
3-02C Temple Mickve Israel,Chatham,1598.0,132.0,368.0,324.0,2.0,826.0,826.0,51.7
5-02C Senior Citizens Center,Chatham,783.0,123.0,117.0,122.0,1.0,363.0,363.0,46.4
5-03C Butler Presbyterian Church,Chatham,1078.0,195.0,162.0,187.0,3.0,547.0,547.0,50.7
5-05C Liberty City Comm Ctr,Chatham,2574.0,432.0,565.0,585.0,3.0,1585.0,1585.0,61.6
5-10C Tatumville Community Center,Chatham,3507.0,555.0,679.0,681.0,3.0,1918.0,1918.0,54.7
8-01C Civic Center,Chatham,850.0,73.0,115.0,96.0,3.0,287.0,287.0,33.8
8-02C Hellenic Center,Chatham,1709.0,225.0,379.0,250.0,0.0,854.0,854.0,50.0
8-05C W Broad St YMCA,Chatham,1543.0,278.0,214.0,167.0,1.0,660.0,660.0,42.8
8-06C Tompkins Rec Center,Chatham,1055.0,198.0,152.0,162.0,2.0,514.0,514.0,48.7
8-11C Butler Elementary,Chatham,1386.0,256.0,310.0,362.0,0.0,928.0,928.0,67.0
8-12C Beach High School,Chatham,1310.0,188.0,239.0,158.0,1.0,586.0,586.0,44.7
