Precinct,County,Registered Voters,Sheila Jones (I) (Dem)_Election Day Votes,Sheila Jones (I) (Dem)_Advanced Voting Votes,Sheila Jones (I) (Dem)_Absentee by Mail Votes,Sheila Jones (I) (Dem)_Provisional Votes,Sheila Jones (I) (Dem)_Choice Total,Total,calc_participation
08E,Fulton,2568.0,84.0,782.0,486.0,0.0,1352.0,1352.0,52.6
09A,Fulton,3856.0,193.0,1529.0,577.0,9.0,2308.0,2308.0,59.9
09B,Fulton,464.0,30.0,77.0,68.0,0.0,175.0,175.0,37.7
09C,Fulton,3353.0,261.0,866.0,460.0,25.0,1612.0,1612.0,48.1
09D,Fulton,2299.0,220.0,432.0,286.0,9.0,947.0,947.0,41.2
09E,Fulton,3261.0,275.0,946.0,314.0,2.0,1537.0,1537.0,47.1
09F,Fulton,3917.0,167.0,1453.0,663.0,4.0,2287.0,2287.0,58.4
09K,Fulton,4002.0,267.0,875.0,472.0,11.0,1625.0,1625.0,40.6
09K1,Fulton,1518.0,112.0,319.0,40.0,1.0,472.0,472.0,31.1
09M,Fulton,2578.0,102.0,1206.0,347.0,0.0,1655.0,1655.0,64.2
10D,Fulton,4968.0,313.0,1140.0,533.0,147.0,2133.0,2133.0,42.9
10E,Fulton,1084.0,93.0,303.0,185.0,3.0,584.0,584.0,53.9
10F,Fulton,1208.0,115.0,300.0,198.0,13.0,626.0,626.0,51.8
10H1,Fulton,439.0,30.0,148.0,79.0,14.0,271.0,271.0,61.7
10P,Fulton,1607.0,148.0,334.0,239.0,2.0,723.0,723.0,45.0
10R,Fulton,928.0,98.0,199.0,84.0,9.0,390.0,390.0,42.0
Nickajack 01,Cobb,4889.0,418.0,1555.0,1064.0,0.0,3037.0,3037.0,62.1
Oakdale 01,Cobb,3944.0,54.0,180.0,129.0,0.0,363.0,363.0,9.2
Smyrna 7A,Cobb,6378.0,116.0,594.0,615.0,0.0,1325.0,1325.0,20.8
Vinings 03,Cobb,4407.0,163.0,604.0,426.0,0.0,1193.0,1193.0,27.1
