Precinct,County,Registered Voters,Sandra Givens Scott (I) (Dem)_Election Day Votes,Sandra Givens Scott (I) (Dem)_Advanced Voting Votes,Sandra Givens Scott (I) (Dem)_Absentee by Mail Votes,Sandra Givens Scott (I) (Dem)_Provisional Votes,Sandra Givens Scott (I) (Dem)_Choice Total,Total,calc_participation
Ellenwood 1,Clayton,3020.0,230.0,1174.0,655.0,4.0,2063.0,2063.0,68.3
Ellenwood 2,Clayton,3273.0,256.0,1321.0,593.0,4.0,2174.0,2174.0,66.4
Lake City,Clayton,3217.0,121.0,425.0,260.0,2.0,808.0,808.0,25.1
Morrow 1,Clayton,3328.0,416.0,768.0,363.0,0.0,1547.0,1547.0,46.5
Morrow 3,Clayton,2407.0,192.0,627.0,373.0,1.0,1193.0,1193.0,49.6
Morrow 5,Clayton,3056.0,285.0,1104.0,593.0,3.0,1985.0,1985.0,65.0
Morrow 6,Clayton,3030.0,323.0,944.0,445.0,4.0,1716.0,1716.0,56.6
Morrow 8,Clayton,3185.0,281.0,1115.0,544.0,9.0,1949.0,1949.0,61.2
Morrow 10,Clayton,2342.0,173.0,823.0,281.0,2.0,1279.0,1279.0,54.6
Morrow 11,Clayton,2295.0,246.0,683.0,290.0,0.0,1219.0,1219.0,53.1
Swan Lake,Henry,3642.0,150.0,632.0,247.0,1.0,1030.0,1030.0,28.3
Shakerag,Henry,4047.0,255.0,1715.0,699.0,0.0,2669.0,2669.0,66.0
Ellenwood,Henry,4275.0,197.0,1828.0,798.0,1.0,2824.0,2824.0,66.1
Lighthouse,Henry,3693.0,228.0,1324.0,525.0,0.0,2077.0,2077.0,56.2
